Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
3(369)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  31,  7,  9,  137, 1, 3, 492452, 14505.53, 0, 0.00, 1: 73; 2: 26; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 414,  4, 14,  157, 1, 6, 443520, 14505.53, 0, 0.00, 1: 62; 2: 32; 3: 7; 4: 1; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 678,  4, 14,  158, 1, 6, 443520, 14505.53, 0, 0.00, 1: 63; 2: 28; 3: 11; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 696,  4, 14,  158, 1, 6, 443520, 14505.53, 0, 0.00, 1: 62; 2: 32; 3: 6; 4: 2; 6: 1; 
MAPK_Cancer_Cell_Fate_Network, 864,  4, 14,  154, 1, 7, 443520, 14505.53, 7, 0.00, 1: 62; 2: 35; 3: 5; 7: 1; 
MAPK_Cancer_Cell_Fate_Network, 213,  4, 14,  155, 1, 7, 443520, 14505.53, 85, 0.00, 1: 67; 2: 25; 3: 9; 4: 1; 7: 1; 
Number of not routing: 20 (2.00%)
after: 
3(2)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network, 222,  7,  8,  160, 1, 3, 443520, 14505.53, 0, 64.16, 1: 56; 2: 37; 3: 10; 
MAPK_Cancer_Cell_Fate_Network, 222,  7,  8,  160, 1, 3, 443520, 14505.53, 0, 64.16, 1: 56; 2: 37; 3: 10; 
MAPK_Cancer_Cell_Fate_Network, 537,  6, 10,  165, 1, 3, 473547, 14505.53, 0, 64.16, 1: 51; 2: 42; 3: 10; 
MAPK_Cancer_Cell_Fate_Network, 321,  6, 10,  156, 1, 4, 473231, 14505.53, 0, 64.16, 1: 55; 2: 44; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 475,  6, 10,  157, 1, 4, 473612, 14505.53, 1, 64.16, 1: 61; 2: 31; 3: 10; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 816,  6, 10,  162, 1, 4, 473605, 14505.53, 1, 64.16, 1: 60; 2: 30; 3: 10; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 665,  6, 10,  162, 1, 4, 473858, 14505.53, 1, 64.16, 1: 60; 2: 30; 3: 10; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 885,  5, 12,  163, 1, 4, 473348, 14505.53, 0, 64.16, 1: 57; 2: 33; 3: 12; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 741,  6, 10,  163, 1, 4, 473303, 14505.53, 1, 64.16, 1: 58; 2: 32; 3: 11; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 976,  6, 10,  164, 1, 4, 473535, 14505.53, 1, 64.16, 1: 60; 2: 28; 3: 12; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 723, 10,  6,  164, 1, 4, 473688, 14505.53, 0, 64.16, 1: 56; 2: 37; 3: 6; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 453,  5, 12,  166, 1, 4, 473261, 14505.53, 1, 64.16, 1: 59; 2: 29; 3: 11; 4: 4; 
MAPK_Cancer_Cell_Fate_Network,  83,  5, 12,  168, 1, 4, 473523, 14505.53, 0, 64.16, 1: 54; 2: 35; 3: 12; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 369,  7,  8,  168, 1, 4, 443520, 14505.53, 1, 64.16, 1: 61; 2: 25; 3: 11; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 367,  6, 10,  168, 1, 4, 473548, 14505.53, 1, 64.16, 1: 59; 2: 30; 3: 7; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 220,  4, 14,  168, 1, 4, 443520, 14505.53, 1, 64.16, 1: 57; 2: 32; 3: 9; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 102,  6, 10,  168, 1, 4, 473682, 14505.53, 1, 64.16, 1: 57; 2: 32; 3: 9; 4: 5; 
MAPK_Cancer_Cell_Fate_Network,  86,  5, 12,  168, 1, 4, 473376, 14505.53, 1, 64.16, 1: 57; 2: 31; 3: 11; 4: 4; 
MAPK_Cancer_Cell_Fate_Network,  79,  7,  8,  168, 1, 4, 443520, 14505.53, 1, 64.16, 1: 57; 2: 32; 3: 9; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 389, 10,  6,  169, 1, 4, 473209, 14505.53, 1, 64.16, 1: 59; 2: 29; 3: 8; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 679,  7,  8,  169, 1, 4, 443520, 14505.53, 1, 64.16, 1: 58; 2: 29; 3: 11; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 423,  6, 10,  169, 1, 4, 473464, 14505.53, 1, 64.16, 1: 57; 2: 30; 3: 12; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 147,  4, 14,  169, 1, 4, 443520, 14505.53, 1, 64.16, 1: 57; 2: 31; 3: 10; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 699,  6, 10,  169, 1, 4, 473516, 14505.53, 1, 64.16, 1: 59; 2: 26; 3: 14; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 420,  6, 10,  169, 1, 4, 473805, 14505.53, 1, 64.16, 1: 62; 2: 22; 3: 13; 4: 6; 
MAPK_Cancer_Cell_Fate_Network,   8,  8,  7,  169, 1, 4, 443520, 14505.53, 1, 64.16, 1: 53; 2: 37; 3: 10; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 464,  7,  9,  170, 1, 4, 493146, 14505.53, 1, 64.16, 1: 54; 2: 36; 3: 8; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 416,  4, 14,  172, 1, 4, 443520, 14505.53, 1, 64.16, 1: 56; 2: 31; 3: 10; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 310,  5, 12,  172, 1, 4, 473517, 14505.53, 1, 64.16, 1: 54; 2: 34; 3: 10; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 682,  5, 12,  173, 1, 4, 473687, 14505.53, 1, 64.16, 1: 57; 2: 28; 3: 12; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 253,  5, 13,  173, 1, 4, 504567, 14505.53, 1, 64.16, 1: 55; 2: 33; 3: 8; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 661,  8,  7,  174, 1, 4, 443520, 14505.53, 1, 64.16, 1: 53; 2: 34; 3: 11; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 596,  8,  7,  174, 1, 4, 443520, 14505.53, 1, 64.16, 1: 55; 2: 30; 3: 13; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 609,  7,  9,  175, 1, 4, 493233, 14505.53, 1, 64.16, 1: 49; 2: 40; 3: 10; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 364,  4, 14,  175, 1, 4, 443520, 14505.53, 1, 64.16, 1: 58; 2: 25; 3: 13; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 282,  4, 14,  175, 1, 4, 443520, 14505.53, 1, 64.16, 1: 53; 2: 33; 3: 12; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 713,  5, 13,  175, 1, 4, 505214, 14505.53, 1, 64.16, 1: 57; 2: 29; 3: 8; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 622,  8,  7,  175, 1, 4, 443520, 14505.53, 1, 64.16, 1: 52; 2: 37; 3: 7; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 819, 10,  6,  176, 1, 4, 473208, 14505.53, 1, 64.16, 1: 57; 2: 26; 3: 13; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 623,  4, 14,  176, 1, 4, 443520, 14505.53, 1, 64.16, 1: 54; 2: 32; 3: 10; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 408,  5, 12,  176, 1, 4, 473472, 14505.53, 1, 64.16, 1: 54; 2: 32; 3: 10; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 641,  5, 13,  177, 1, 4, 504698, 14505.53, 0, 64.16, 1: 46; 2: 45; 3: 7; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 433,  7,  9,  177, 1, 4, 492901, 14505.53, 1, 64.16, 1: 49; 2: 41; 3: 6; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 545,  7,  9,  177, 1, 4, 492665, 14505.53, 1, 64.16, 1: 51; 2: 35; 3: 12; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 365,  5, 13,  177, 1, 4, 504933, 14505.53, 0, 64.16, 1: 46; 2: 43; 3: 11; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 515,  7,  9,  178, 1, 4, 492040, 14505.53, 1, 64.16, 1: 52; 2: 32; 3: 14; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 872,  7,  9,  178, 1, 4, 492768, 14505.53, 1, 64.16, 1: 50; 2: 35; 3: 14; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 747,  7,  9,  179, 1, 4, 492400, 14505.53, 1, 64.16, 1: 53; 2: 29; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 193,  5, 12,  179, 1, 4, 473702, 14505.53, 1, 64.16, 1: 50; 2: 38; 3: 7; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 856,  5, 11,  179, 1, 4, 435105, 14505.53, 1, 64.16, 1: 48; 2: 39; 3: 11; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 821,  8,  7,  179, 1, 4, 443520, 14505.53, 1, 64.16, 1: 43; 2: 47; 3: 10; 4: 3; 
MAPK_Cancer_Cell_Fate_Network,  42,  5, 13,  180, 1, 4, 504370, 14505.53, 1, 64.16, 1: 51; 2: 32; 3: 15; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 458,  5, 13,  180, 1, 4, 504370, 14505.53, 1, 64.16, 1: 47; 2: 40; 3: 11; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 576,  8,  7,  180, 1, 4, 443520, 14505.53, 1, 64.16, 1: 55; 2: 27; 3: 13; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 990,  4, 14,  180, 1, 4, 443520, 14505.53, 1, 64.16, 1: 55; 2: 30; 3: 7; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 958,  5, 12,  180, 1, 4, 473422, 14505.53, 1, 64.16, 1: 47; 2: 39; 3: 13; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 540,  7,  9,  181, 1, 4, 493366, 14505.53, 1, 64.16, 1: 48; 2: 38; 3: 11; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 766,  7,  9,  181, 1, 4, 492890, 14505.53, 0, 64.16, 1: 45; 2: 43; 3: 10; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 697,  5, 13,  182, 1, 4, 503955, 14505.53, 1, 64.16, 1: 49; 2: 36; 3: 11; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 771,  7,  9,  182, 1, 4, 492445, 14505.53, 1, 64.16, 1: 48; 2: 37; 3: 12; 4: 6; 
MAPK_Cancer_Cell_Fate_Network,  70,  5, 13,  182, 1, 4, 504528, 14505.53, 1, 64.16, 1: 46; 2: 42; 3: 8; 4: 7; 
MAPK_Cancer_Cell_Fate_Network,  67,  5, 12,  183, 1, 4, 473593, 14505.53, 1, 64.16, 1: 54; 2: 27; 3: 13; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 865,  8,  7,  184, 1, 4, 443520, 14505.53, 1, 64.16, 1: 51; 2: 31; 3: 13; 4: 8; 
MAPK_Cancer_Cell_Fate_Network,  12,  5, 11,  185, 1, 4, 435105, 14505.53, 1, 64.16, 1: 49; 2: 35; 3: 10; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 374,  5, 13,  185, 1, 4, 503443, 14505.53, 1, 64.16, 1: 45; 2: 39; 3: 14; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 912,  5, 13,  185, 1, 4, 504698, 14505.53, 1, 64.16, 1: 50; 2: 30; 3: 17; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 275,  7,  9,  186, 1, 4, 492578, 14505.53, 1, 64.16, 1: 45; 2: 37; 3: 17; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 680,  8,  7,  186, 1, 4, 443520, 14505.53, 0, 64.16, 1: 46; 2: 39; 3: 10; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 586,  8,  7,  186, 1, 4, 443520, 14505.53, 1, 64.16, 1: 46; 2: 38; 3: 12; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 442,  8,  7,  187, 1, 4, 443520, 14505.53, 1, 64.16, 1: 48; 2: 33; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 797,  5, 13,  187, 1, 4, 504136, 14505.53, 1, 64.16, 1: 50; 2: 33; 3: 9; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 379,  5, 13,  188, 1, 4, 504810, 14505.53, 1, 64.16, 1: 50; 2: 30; 3: 14; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 171,  5, 11,  190, 1, 4, 435105, 14505.53, 1, 64.16, 1: 46; 2: 35; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 916,  8,  7,  191, 1, 4, 443520, 14505.53, 1, 64.16, 1: 44; 2: 37; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 890,  5, 13,  193, 1, 4, 503235, 14505.53, 1, 64.16, 1: 45; 2: 37; 3: 10; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 888,  5, 13,  194, 1, 4, 504555, 14505.53, 1, 64.16, 1: 45; 2: 34; 3: 15; 4: 9; 
MAPK_Cancer_Cell_Fate_Network,  88,  8,  7,  194, 1, 4, 443520, 14505.53, 1, 64.16, 1: 42; 2: 39; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 424,  5, 11,  197, 1, 4, 435105, 14505.53, 1, 64.16, 1: 40; 2: 41; 3: 13; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 514,  7,  8,  160, 1, 5, 443520, 14505.53, 1, 64.16, 1: 63; 2: 28; 3: 8; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 276,  6, 10,  160, 1, 5, 473510, 14505.53, 1, 64.16, 1: 64; 2: 27; 3: 7; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 742,  6, 10,  161, 1, 5, 473916, 14505.53, 1, 64.16, 1: 58; 2: 35; 3: 8; 4: 1; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 873,  6, 10,  161, 1, 5, 473421, 14505.53, 1, 64.16, 1: 68; 2: 21; 3: 7; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 417,  6, 10,  161, 1, 5, 473148, 14505.53, 1, 64.16, 1: 61; 2: 32; 3: 6; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 941,  6, 10,  162, 1, 5, 473338, 14505.53, 1, 64.16, 1: 64; 2: 28; 3: 3; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 295,  6, 10,  162, 1, 5, 472883, 14505.53, 1, 64.16, 1: 61; 2: 32; 3: 4; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 581,  6, 10,  164, 1, 5, 473637, 14505.53, 1, 64.16, 1: 62; 2: 27; 3: 10; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 945,  6, 10,  164, 1, 5, 473764, 14505.53, 1, 64.16, 1: 61; 2: 27; 3: 12; 4: 2; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 961,  6, 10,  164, 1, 5, 473730, 14505.53, 1, 64.16, 1: 61; 2: 28; 3: 10; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 605, 10,  6,  164, 1, 5, 473621, 14505.53, 1, 64.16, 1: 66; 2: 23; 3: 7; 4: 4; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 929,  6, 10,  164, 1, 5, 472848, 14505.53, 1, 64.16, 1: 60; 2: 32; 3: 6; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network,  92, 10,  6,  165, 1, 5, 473320, 14505.53, 1, 64.16, 1: 57; 2: 35; 3: 7; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 838,  5, 12,  166, 1, 5, 473180, 14505.53, 1, 64.16, 1: 64; 2: 24; 3: 9; 4: 3; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 172,  6, 10,  166, 1, 5, 473512, 14505.53, 1, 64.16, 1: 61; 2: 27; 3: 10; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 745,  6, 10,  166, 1, 5, 473545, 14505.53, 1, 64.16, 1: 62; 2: 26; 3: 11; 4: 1; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 986, 10,  6,  166, 1, 5, 473509, 14505.53, 1, 64.16, 1: 57; 2: 34; 3: 8; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 624, 10,  6,  167, 1, 5, 473350, 14505.53, 1, 64.16, 1: 59; 2: 31; 3: 7; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 485,  6, 10,  167, 1, 5, 473328, 14505.53, 1, 64.16, 1: 63; 2: 23; 3: 11; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,  91,  6, 10,  167, 1, 5, 473504, 14505.53, 1, 64.16, 1: 56; 2: 35; 3: 8; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 839,  6, 10,  167, 1, 5, 473711, 14505.53, 1, 64.16, 1: 56; 2: 34; 3: 10; 4: 2; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 101,  5, 12,  167, 1, 5, 473486, 14505.53, 1, 64.16, 1: 60; 2: 29; 3: 9; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 199,  6, 10,  167, 1, 5, 473506, 14505.53, 1, 64.16, 1: 61; 2: 26; 3: 11; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 235,  7,  8,  167, 1, 5, 443520, 14505.53, 1, 64.16, 1: 58; 2: 31; 3: 10; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,   6,  5, 12,  168, 1, 5, 473390, 14505.53, 1, 64.16, 1: 59; 2: 29; 3: 10; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 616,  5, 12,  168, 1, 5, 473597, 14505.53, 1, 64.16, 1: 59; 2: 31; 3: 7; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 366, 10,  6,  168, 1, 5, 473648, 14505.53, 1, 64.16, 1: 59; 2: 29; 3: 11; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 118,  7,  8,  168, 1, 5, 443520, 14505.53, 1, 64.16, 1: 59; 2: 30; 3: 8; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 181,  6, 10,  168, 1, 5, 473270, 14505.53, 1, 64.16, 1: 59; 2: 29; 3: 11; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network,   0,  6, 10,  168, 1, 5, 473444, 14505.53, 1, 64.16, 1: 60; 2: 31; 3: 5; 4: 4; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 562,  7,  8,  168, 1, 5, 443520, 14505.53, 1, 64.16, 1: 61; 2: 28; 3: 6; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,  11,  5, 12,  169, 1, 5, 473361, 14505.53, 1, 64.16, 1: 62; 2: 25; 3: 9; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 837,  6, 10,  169, 1, 5, 473306, 14505.53, 1, 64.16, 1: 58; 2: 30; 3: 10; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 441,  6, 10,  169, 1, 5, 472957, 14505.53, 1, 64.16, 1: 62; 2: 25; 3: 9; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 145,  5, 12,  169, 1, 5, 473657, 14505.53, 1, 64.16, 1: 61; 2: 24; 3: 13; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 943,  6, 10,  169, 1, 5, 473608, 14505.53, 1, 64.16, 1: 63; 2: 23; 3: 11; 4: 3; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 305,  5, 12,  169, 1, 5, 472609, 14505.53, 1, 64.16, 1: 63; 2: 24; 3: 8; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 906,  7,  8,  169, 1, 5, 443520, 14505.53, 1, 64.16, 1: 55; 2: 36; 3: 7; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 894,  7,  8,  169, 1, 5, 443520, 14505.53, 1, 64.16, 1: 59; 2: 29; 3: 9; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 715,  7,  8,  169, 1, 5, 443520, 14505.53, 1, 64.16, 1: 60; 2: 29; 3: 7; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network,  84,  6, 10,  169, 1, 5, 473202, 14505.53, 1, 64.16, 1: 60; 2: 28; 3: 9; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 613,  6, 10,  169, 1, 5, 473299, 14505.53, 1, 64.16, 1: 57; 2: 34; 3: 6; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 972,  6, 10,  170, 1, 5, 473369, 14505.53, 1, 64.16, 1: 65; 2: 20; 3: 12; 4: 1; 5: 5; 
MAPK_Cancer_Cell_Fate_Network, 817,  7,  9,  170, 1, 5, 493166, 14505.53, 1, 64.16, 1: 56; 2: 32; 3: 11; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 529,  4, 14,  170, 1, 5, 443520, 14505.53, 1, 64.16, 1: 60; 2: 27; 3: 10; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 693,  6, 10,  170, 1, 5, 473450, 14505.53, 1, 64.16, 1: 57; 2: 30; 3: 12; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 161,  7,  8,  170, 1, 5, 443520, 14505.53, 1, 64.16, 1: 58; 2: 30; 3: 9; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 731,  5, 12,  170, 1, 5, 473332, 14505.53, 1, 64.16, 1: 60; 2: 26; 3: 12; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 473,  7,  8,  170, 1, 5, 443520, 14505.53, 1, 64.16, 1: 61; 2: 25; 3: 12; 4: 2; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 513,  4, 14,  170, 1, 5, 443520, 14505.53, 1, 64.16, 1: 56; 2: 33; 3: 9; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,  38,  7,  8,  170, 1, 5, 443520, 14505.53, 1, 64.16, 1: 56; 2: 30; 3: 15; 4: 1; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 224,  4, 14,  170, 1, 5, 443520, 14505.53, 0, 64.16, 1: 57; 2: 28; 3: 16; 4: 1; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,  26,  6, 10,  170, 1, 5, 472915, 14505.53, 1, 64.16, 1: 59; 2: 28; 3: 11; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 971,  6, 10,  170, 1, 5, 473096, 14505.53, 0, 64.16, 1: 60; 2: 30; 3: 5; 4: 5; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 337, 10,  6,  170, 1, 5, 473330, 14505.53, 1, 64.16, 1: 56; 2: 35; 3: 6; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 899,  6, 10,  171, 1, 5, 473032, 14505.53, 1, 64.16, 1: 60; 2: 25; 3: 12; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 258,  6, 10,  171, 1, 5, 473619, 14505.53, 1, 64.16, 1: 63; 2: 25; 3: 7; 4: 3; 5: 5; 
MAPK_Cancer_Cell_Fate_Network, 116,  7,  8,  171, 1, 5, 443520, 14505.53, 1, 64.16, 1: 56; 2: 36; 3: 4; 4: 4; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 533,  6, 10,  171, 1, 5, 473596, 14505.53, 1, 64.16, 1: 55; 2: 34; 3: 9; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 448,  6, 10,  171, 1, 5, 473335, 14505.53, 1, 64.16, 1: 58; 2: 28; 3: 13; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network,  30,  7,  8,  171, 1, 5, 443520, 14505.53, 1, 64.16, 1: 59; 2: 28; 3: 9; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 178, 10,  6,  171, 1, 5, 473742, 14505.53, 1, 64.16, 1: 62; 2: 24; 3: 9; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 382,  4, 14,  171, 1, 5, 443520, 14505.53, 1, 64.16, 1: 61; 2: 23; 3: 13; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 863,  6, 10,  172, 1, 5, 473539, 14505.53, 1, 64.16, 1: 58; 2: 28; 3: 11; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 234,  7,  8,  172, 1, 5, 443520, 14505.53, 1, 64.16, 1: 54; 2: 35; 3: 9; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 577,  5, 12,  172, 1, 5, 473304, 14505.53, 1, 64.16, 1: 57; 2: 30; 3: 10; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 981,  7,  8,  172, 1, 5, 443520, 14505.53, 1, 64.16, 1: 57; 2: 29; 3: 12; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 729,  5, 12,  172, 1, 5, 473740, 14505.53, 1, 64.16, 1: 59; 2: 27; 3: 10; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 578,  6, 10,  172, 1, 5, 473751, 14505.53, 1, 64.16, 1: 54; 2: 35; 3: 9; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 183,  5, 12,  172, 1, 5, 472963, 14505.53, 1, 64.16, 1: 52; 2: 38; 3: 10; 4: 1; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 274,  6, 10,  172, 1, 5, 473346, 14505.53, 1, 64.16, 1: 61; 2: 25; 3: 10; 4: 4; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 604,  6, 10,  172, 1, 5, 473631, 14505.53, 1, 64.16, 1: 59; 2: 25; 3: 14; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 326, 10,  6,  172, 1, 5, 473359, 14505.53, 1, 64.16, 1: 58; 2: 30; 3: 8; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 722,  6, 10,  172, 1, 5, 473464, 14505.53, 1, 64.16, 1: 60; 2: 25; 3: 13; 4: 2; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 490,  7,  8,  173, 1, 5, 443520, 14505.53, 1, 64.16, 1: 58; 2: 28; 3: 11; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 917,  6, 10,  173, 1, 5, 473663, 14505.53, 1, 64.16, 1: 52; 2: 39; 3: 6; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,  36,  7,  8,  173, 1, 5, 443520, 14505.53, 0, 64.16, 1: 52; 2: 38; 3: 8; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 711,  6, 10,  173, 1, 5, 473598, 14505.53, 1, 64.16, 1: 61; 2: 25; 3: 8; 4: 7; 5: 2; 
