Seed 1656949570
ARCH 0|F_ID 2|LIMIT 3
before: 
03(801)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 336,  7,  7,  125, 1, 3, 383569, 12185.27, 176, 0.00, 1: 43; 2: 23; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 326,  6,  8,  132, 1, 5, 376904, 12185.27, 1, 48.56, 1: 41; 2: 22; 3: 14; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 336,  7,  7,  133, 1, 5, 383569, 12185.27, 1, 48.56, 1: 43; 2: 20; 3: 11; 4: 3; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling,   7,  7,  7,  133, 1, 5, 383603, 12185.27, 0, 48.56, 1: 40; 2: 24; 3: 12; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 668,  5, 10,  133, 1, 5, 390759, 12185.27, 1, 48.56, 1: 39; 2: 25; 3: 13; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 253,  8,  6,  133, 1, 5, 377025, 12185.27, 1, 48.56, 1: 41; 2: 25; 3: 9; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 751,  6,  8,  133, 1, 5, 376959, 12185.27, 0, 48.56, 1: 40; 2: 23; 3: 14; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 254,  7,  7,  133, 1, 5, 383656, 12185.27, 1, 48.56, 1: 44; 2: 18; 3: 13; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling,   6,  5,  9,  133, 1, 5, 355410, 12185.27, 1, 48.56, 1: 39; 2: 25; 3: 13; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 903,  8,  6,  134, 1, 5, 376973, 12185.27, 1, 48.56, 1: 43; 2: 19; 3: 13; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 115,  7,  7,  135, 1, 5, 383645, 12185.27, 1, 48.56, 1: 43; 2: 19; 3: 12; 4: 2; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 125,  5,  9,  135, 1, 5, 355410, 12185.27, 1, 48.56, 1: 38; 2: 25; 3: 14; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 832,  8,  6,  135, 1, 5, 377028, 12185.27, 1, 48.56, 1: 41; 2: 19; 3: 17; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 613,  6,  8,  135, 1, 5, 376991, 12185.27, 1, 48.56, 1: 40; 2: 23; 3: 13; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 961,  7,  7,  135, 1, 5, 383600, 12185.27, 1, 48.56, 1: 38; 2: 26; 3: 12; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 221,  8,  6,  135, 1, 5, 376988, 12185.27, 0, 48.56, 1: 43; 2: 17; 3: 15; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 628,  8,  6,  135, 1, 5, 377000, 12185.27, 1, 48.56, 1: 37; 2: 28; 3: 11; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 545,  7,  7,  136, 1, 5, 383615, 12185.27, 1, 48.56, 1: 38; 2: 26; 3: 11; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 824,  5, 10,  136, 1, 5, 390797, 12185.27, 1, 48.56, 1: 41; 2: 18; 3: 18; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 243,  7,  7,  136, 1, 5, 383617, 12185.27, 1, 48.56, 1: 42; 2: 19; 3: 13; 4: 3; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 383,  5, 10,  136, 1, 5, 390818, 12185.27, 1, 48.56, 1: 41; 2: 21; 3: 13; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 685,  8,  6,  136, 1, 5, 376999, 12185.27, 1, 48.56, 1: 37; 2: 29; 3: 9; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 403,  8,  6,  137, 1, 5, 376965, 12185.27, 1, 48.56, 1: 38; 2: 26; 3: 11; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 431,  7,  7,  137, 1, 5, 383666, 12185.27, 1, 48.56, 1: 41; 2: 21; 3: 12; 4: 2; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 139,  6,  8,  137, 1, 5, 376962, 12185.27, 1, 48.56, 1: 39; 2: 24; 3: 12; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 470,  6,  8,  137, 1, 5, 376899, 12185.27, 1, 48.56, 1: 38; 2: 26; 3: 11; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 380,  5,  9,  137, 1, 5, 355410, 12185.27, 1, 48.56, 1: 42; 2: 15; 3: 20; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 347,  8,  6,  137, 1, 5, 376948, 12185.27, 1, 48.56, 1: 39; 2: 24; 3: 12; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 349,  7,  7,  137, 1, 5, 383588, 12185.27, 1, 48.56, 1: 38; 2: 24; 3: 14; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 299,  8,  6,  137, 1, 5, 376963, 12185.27, 1, 48.56, 1: 37; 2: 27; 3: 12; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling,   0,  6,  8,  137, 1, 5, 376995, 12185.27, 1, 48.56, 1: 38; 2: 25; 3: 12; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 158,  5, 10,  137, 1, 5, 390821, 12185.27, 1, 48.56, 1: 40; 2: 20; 3: 16; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 710,  7,  7,  137, 1, 5, 383643, 12185.27, 1, 48.56, 1: 40; 2: 22; 3: 13; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling,  74,  5, 10,  137, 1, 5, 390669, 12185.27, 1, 48.56, 1: 40; 2: 22; 3: 13; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 847,  6,  8,  137, 1, 5, 376982, 12185.27, 1, 48.56, 1: 39; 2: 23; 3: 13; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  16,  9,  5,  137, 1, 5, 355410, 12185.27, 1, 48.56, 1: 37; 2: 26; 3: 13; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 537,  6,  8,  138, 1, 5, 377024, 12185.27, 1, 48.56, 1: 39; 2: 21; 3: 16; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 408,  7,  7,  138, 1, 5, 383631, 12185.27, 1, 48.56, 1: 42; 2: 20; 3: 11; 4: 2; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 795,  6,  8,  138, 1, 5, 377013, 12185.27, 1, 48.56, 1: 40; 2: 22; 3: 12; 4: 2; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 793,  5, 10,  138, 1, 5, 390859, 12185.27, 1, 48.56, 1: 35; 2: 28; 3: 14; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 964,  7,  7,  138, 1, 5, 383601, 12185.27, 1, 48.56, 1: 42; 2: 21; 3: 9; 4: 3; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling,  93,  6,  8,  138, 1, 5, 376962, 12185.27, 1, 48.56, 1: 38; 2: 24; 3: 14; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 293,  6,  8,  138, 1, 5, 377068, 12185.27, 1, 48.56, 1: 40; 2: 19; 3: 17; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 108,  7,  7,  138, 1, 5, 383599, 12185.27, 1, 48.56, 1: 39; 2: 21; 3: 16; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 160,  5, 10,  138, 1, 5, 390830, 12185.27, 1, 48.56, 1: 38; 2: 24; 3: 13; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 574,  7,  7,  138, 1, 5, 383627, 12185.27, 1, 48.56, 1: 41; 2: 19; 3: 15; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 579,  6,  8,  138, 1, 5, 376999, 12185.27, 1, 48.56, 1: 39; 2: 22; 3: 14; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 700,  7,  7,  138, 1, 5, 383583, 12185.27, 0, 48.56, 1: 40; 2: 21; 3: 14; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 213,  7,  7,  138, 1, 5, 383603, 12185.27, 1, 48.56, 1: 39; 2: 21; 3: 16; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 667,  6,  8,  138, 1, 5, 376994, 12185.27, 1, 48.56, 1: 38; 2: 23; 3: 15; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  17,  7,  7,  139, 1, 5, 383590, 12185.27, 0, 48.56, 1: 36; 2: 27; 3: 13; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 505,  6,  8,  139, 1, 5, 376988, 12185.27, 1, 48.56, 1: 36; 2: 26; 3: 14; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 492,  7,  7,  139, 1, 5, 383599, 12185.27, 1, 48.56, 1: 37; 2: 24; 3: 15; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 308,  8,  6,  139, 1, 5, 376970, 12185.27, 1, 48.56, 1: 41; 2: 18; 3: 16; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 519,  6,  8,  139, 1, 5, 377031, 12185.27, 1, 48.56, 1: 38; 2: 26; 3: 9; 4: 3; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 744,  6,  8,  139, 1, 5, 376986, 12185.27, 1, 48.56, 1: 43; 2: 17; 3: 13; 4: 2; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 473,  7,  7,  139, 1, 5, 383593, 12185.27, 1, 48.56, 1: 38; 2: 26; 3: 10; 4: 1; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 662,  6,  8,  139, 1, 5, 376990, 12185.27, 1, 48.56, 1: 39; 2: 24; 3: 11; 4: 1; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 656,  6,  8,  139, 1, 5, 376985, 12185.27, 1, 48.56, 1: 39; 2: 22; 3: 14; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 263,  5, 10,  139, 1, 5, 390841, 12185.27, 1, 48.56, 1: 39; 2: 20; 3: 17; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 820,  7,  7,  139, 1, 5, 383643, 12185.27, 1, 48.56, 1: 40; 2: 22; 3: 11; 4: 3; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 366,  5,  9,  139, 1, 5, 355410, 12185.27, 1, 48.56, 1: 36; 2: 28; 3: 11; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 127,  5,  9,  139, 1, 5, 355410, 12185.27, 1, 48.56, 1: 41; 2: 17; 3: 18; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 110,  6,  8,  139, 1, 5, 376988, 12185.27, 1, 48.56, 1: 37; 2: 25; 3: 14; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 123,  5, 10,  140, 1, 5, 390743, 12185.27, 1, 48.56, 1: 39; 2: 19; 3: 18; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 684,  7,  7,  140, 1, 5, 383601, 12185.27, 0, 48.56, 1: 37; 2: 23; 3: 16; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 589,  6,  8,  140, 1, 5, 376999, 12185.27, 1, 48.56, 1: 40; 2: 22; 3: 12; 5: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 376,  5,  9,  140, 1, 5, 355410, 12185.27, 1, 48.56, 1: 38; 2: 23; 3: 14; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 890,  8,  6,  140, 1, 5, 377024, 12185.27, 1, 48.56, 1: 41; 2: 20; 3: 11; 4: 4; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 516,  7,  7,  140, 1, 5, 383576, 12185.27, 1, 48.56, 1: 36; 2: 26; 3: 14; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 638,  9,  5,  140, 1, 5, 355410, 12185.27, 1, 48.56, 1: 40; 2: 16; 3: 21; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 752,  9,  5,  140, 1, 5, 355410, 12185.27, 1, 48.56, 1: 38; 2: 24; 3: 12; 4: 2; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 422,  5,  9,  140, 1, 5, 355410, 12185.27, 1, 48.56, 1: 33; 2: 31; 3: 12; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 983,  8,  6,  140, 1, 5, 376983, 12185.27, 1, 48.56, 1: 34; 2: 31; 3: 10; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling,  97,  6,  8,  140, 1, 5, 377009, 12185.27, 1, 48.56, 1: 41; 2: 17; 3: 16; 4: 3; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 332,  5, 10,  141, 1, 5, 390764, 12185.27, 1, 48.56, 1: 34; 2: 28; 3: 14; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling,   5,  7,  7,  141, 1, 5, 383610, 12185.27, 1, 48.56, 1: 36; 2: 28; 3: 10; 4: 1; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 291,  7,  7,  141, 1, 5, 383595, 12185.27, 1, 48.56, 1: 37; 2: 25; 3: 12; 4: 2; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 875,  6,  8,  141, 1, 5, 376949, 12185.27, 1, 48.56, 1: 39; 2: 25; 3: 8; 4: 2; 5: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 619,  5,  9,  141, 1, 5, 355410, 12185.27, 1, 48.56, 1: 38; 2: 25; 3: 10; 4: 2; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 343,  7,  7,  141, 1, 5, 383582, 12185.27, 1, 48.56, 1: 35; 2: 29; 3: 10; 4: 2; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 958,  7,  7,  141, 1, 5, 383589, 12185.27, 0, 48.56, 1: 36; 2: 24; 3: 16; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 971,  7,  7,  141, 1, 5, 383578, 12185.27, 1, 48.56, 1: 36; 2: 24; 3: 16; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 646,  6,  8,  141, 1, 5, 376969, 12185.27, 1, 48.56, 1: 39; 2: 22; 3: 13; 4: 1; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling,  76,  6,  8,  141, 1, 5, 376969, 12185.27, 1, 48.56, 1: 41; 2: 20; 3: 12; 4: 1; 5: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 736,  8,  6,  141, 1, 5, 376987, 12185.27, 1, 48.56, 1: 37; 2: 24; 3: 13; 4: 3; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 602,  6,  8,  142, 1, 5, 376970, 12185.27, 1, 48.56, 1: 36; 2: 24; 3: 15; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 169,  5,  9,  142, 1, 5, 355410, 12185.27, 1, 48.56, 1: 38; 2: 21; 3: 16; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 594,  6,  8,  142, 1, 5, 376984, 12185.27, 1, 48.56, 1: 40; 2: 17; 3: 17; 4: 3; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 770,  6,  8,  142, 1, 5, 376992, 12185.27, 1, 48.56, 1: 36; 2: 25; 3: 14; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling,  85,  7,  7,  142, 1, 5, 383581, 12185.27, 1, 48.56, 1: 32; 2: 32; 3: 11; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 607,  6,  8,  142, 1, 5, 377087, 12185.27, 1, 48.56, 1: 37; 2: 25; 3: 12; 4: 1; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 129,  5, 10,  142, 1, 5, 390812, 12185.27, 1, 48.56, 1: 37; 2: 25; 3: 12; 4: 1; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 415,  5, 10,  142, 1, 5, 390833, 12185.27, 1, 48.56, 1: 35; 2: 29; 3: 9; 4: 3; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 583,  9,  5,  142, 1, 5, 355410, 12185.27, 1, 48.56, 1: 37; 2: 26; 3: 10; 4: 2; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 922,  7,  7,  142, 1, 5, 383635, 12185.27, 1, 48.56, 1: 40; 2: 19; 3: 15; 4: 1; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 734,  6,  8,  142, 1, 5, 376991, 12185.27, 1, 48.56, 1: 37; 2: 23; 3: 15; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 976,  5, 10,  142, 1, 5, 390851, 12185.27, 1, 48.56, 1: 35; 2: 29; 3: 10; 4: 1; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 851,  6,  8,  142, 1, 5, 376974, 12185.27, 1, 48.56, 1: 37; 2: 24; 3: 14; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 800,  7,  7,  142, 1, 5, 383633, 12185.27, 1, 48.56, 1: 36; 2: 27; 3: 10; 4: 3; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 863,  8,  6,  142, 1, 5, 376966, 12185.27, 0, 48.56, 1: 39; 2: 22; 3: 12; 4: 2; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 949,  7,  7,  142, 1, 5, 383661, 12185.27, 1, 48.56, 1: 35; 2: 27; 3: 13; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 773,  8,  6,  142, 1, 5, 377007, 12185.27, 1, 48.56, 1: 31; 2: 34; 3: 10; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  78,  5, 10,  142, 1, 5, 391053, 12185.27, 1, 48.56, 1: 36; 2: 26; 3: 13; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 945,  8,  6,  142, 1, 5, 376973, 12185.27, 0, 48.56, 1: 38; 2: 22; 3: 14; 4: 2; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 206,  7,  7,  143, 1, 5, 383605, 12185.27, 1, 48.56, 1: 34; 2: 28; 3: 13; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling,  73,  5,  9,  143, 1, 5, 355410, 12185.27, 1, 48.56, 1: 38; 2: 18; 3: 20; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 898,  6,  8,  143, 1, 5, 377025, 12185.27, 1, 48.56, 1: 40; 2: 19; 3: 13; 4: 4; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 227,  7,  7,  143, 1, 5, 383589, 12185.27, 1, 48.56, 1: 38; 2: 20; 3: 16; 4: 3; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  61,  8,  6,  143, 1, 5, 376778, 12185.27, 1, 48.56, 1: 34; 2: 27; 3: 15; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 910,  5,  9,  143, 1, 5, 355410, 12185.27, 1, 48.56, 1: 35; 2: 25; 3: 15; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 996,  8,  6,  143, 1, 5, 376983, 12185.27, 1, 48.56, 1: 40; 2: 20; 3: 12; 4: 3; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 564,  6,  8,  143, 1, 5, 376997, 12185.27, 1, 48.56, 1: 37; 2: 23; 3: 14; 4: 2; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling,   3,  9,  5,  143, 1, 5, 355410, 12185.27, 1, 48.56, 1: 39; 2: 22; 3: 12; 4: 1; 5: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 362,  6,  8,  143, 1, 5, 376988, 12185.27, 1, 48.56, 1: 38; 2: 19; 3: 18; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 529,  8,  6,  143, 1, 5, 377000, 12185.27, 1, 48.56, 1: 34; 2: 26; 3: 16; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 282,  6,  8,  143, 1, 5, 376968, 12185.27, 1, 48.56, 1: 35; 2: 27; 3: 12; 4: 2; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 511,  7,  7,  143, 1, 5, 383615, 12185.27, 1, 48.56, 1: 31; 2: 32; 3: 13; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  12,  8,  6,  143, 1, 5, 377012, 12185.27, 1, 48.56, 1: 39; 2: 19; 3: 16; 4: 2; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 812,  5, 10,  143, 1, 5, 390782, 12185.27, 1, 48.56, 1: 33; 2: 30; 3: 11; 4: 3; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 695,  6,  8,  143, 1, 5, 376960, 12185.27, 1, 48.56, 1: 34; 2: 27; 3: 14; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 799,  8,  6,  143, 1, 5, 376971, 12185.27, 1, 48.56, 1: 36; 2: 27; 3: 10; 4: 2; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling,  82,  7,  7,  143, 1, 5, 383638, 12185.27, 1, 48.56, 1: 42; 2: 14; 3: 18; 4: 1; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 152,  7,  7,  143, 1, 5, 383597, 12185.27, 1, 48.56, 1: 35; 2: 29; 3: 9; 4: 2; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 466,  7,  7,  144, 1, 5, 383558, 12185.27, 1, 48.56, 1: 40; 2: 22; 3: 10; 5: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 831,  7,  7,  144, 1, 5, 383620, 12185.27, 1, 48.56, 1: 37; 2: 25; 3: 11; 4: 1; 5: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 399,  8,  6,  144, 1, 5, 376982, 12185.27, 1, 48.56, 1: 34; 2: 26; 3: 15; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 572,  8,  6,  144, 1, 5, 376995, 12185.27, 1, 48.56, 1: 35; 2: 25; 3: 14; 4: 3; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  28,  6,  8,  144, 1, 5, 377002, 12185.27, 1, 48.56, 1: 36; 2: 26; 3: 12; 5: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 187,  6,  8,  144, 1, 5, 377004, 12185.27, 1, 48.56, 1: 39; 2: 20; 3: 15; 5: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 448,  9,  5,  144, 1, 5, 355410, 12185.27, 1, 48.56, 1: 34; 2: 27; 3: 14; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 852,  7,  7,  144, 1, 5, 383613, 12185.27, 1, 48.56, 1: 37; 2: 22; 3: 15; 4: 2; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 660,  4, 12,  144, 1, 5, 377022, 12185.27, 1, 48.56, 1: 33; 2: 28; 3: 15; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 559,  7,  7,  144, 1, 5, 383627, 12185.27, 1, 48.56, 1: 41; 2: 15; 3: 17; 4: 3; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 727,  6,  8,  144, 1, 5, 376998, 12185.27, 1, 48.56, 1: 34; 2: 26; 3: 16; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling,  77,  7,  7,  144, 1, 5, 383596, 12185.27, 1, 48.56, 1: 35; 2: 23; 3: 18; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 837,  8,  6,  144, 1, 5, 376992, 12185.27, 1, 48.56, 1: 34; 2: 24; 3: 19; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  22,  7,  7,  145, 1, 5, 383604, 12185.27, 1, 48.56, 1: 36; 2: 25; 3: 12; 4: 2; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 521,  7,  7,  145, 1, 5, 383599, 12185.27, 1, 48.56, 1: 39; 2: 15; 3: 22; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 809,  7,  7,  145, 1, 5, 383590, 12185.27, 1, 48.56, 1: 31; 2: 32; 3: 12; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 726,  6,  8,  145, 1, 5, 377007, 12185.27, 1, 48.56, 1: 34; 2: 23; 3: 20; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 219,  4, 11,  145, 1, 5, 347182, 12185.27, 1, 48.56, 1: 35; 2: 22; 3: 19; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 711,  8,  6,  145, 1, 5, 376977, 12185.27, 1, 48.56, 1: 36; 2: 26; 3: 11; 4: 1; 5: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 455,  5, 10,  145, 1, 5, 390778, 12185.27, 1, 48.56, 1: 34; 2: 24; 3: 18; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 754,  5,  9,  145, 1, 5, 355410, 12185.27, 1, 48.56, 1: 35; 2: 23; 3: 18; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 498,  6,  8,  145, 1, 5, 376987, 12185.27, 1, 48.56, 1: 35; 2: 27; 3: 11; 4: 2; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 688,  9,  5,  145, 1, 5, 355410, 12185.27, 1, 48.56, 1: 36; 2: 25; 3: 12; 4: 2; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling,  11,  5, 10,  145, 1, 5, 390826, 12185.27, 1, 48.56, 1: 33; 2: 27; 3: 15; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 382,  6,  8,  145, 1, 5, 376998, 12185.27, 1, 48.56, 1: 32; 2: 29; 3: 14; 4: 2; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 289,  8,  6,  145, 1, 5, 376956, 12185.27, 0, 48.56, 1: 35; 2: 24; 3: 16; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 112,  8,  6,  145, 1, 5, 377011, 12185.27, 1, 48.56, 1: 33; 2: 26; 3: 17; 4: 1; 5: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 200,  5, 10,  145, 1, 5, 390987, 12185.27, 1, 48.56, 1: 35; 2: 26; 3: 13; 4: 1; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 720,  8,  6,  145, 1, 5, 377000, 12185.27, 1, 48.56, 1: 36; 2: 22; 3: 17; 4: 1; 5: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 192,  7,  7,  145, 1, 5, 383588, 12185.27, 1, 48.56, 1: 38; 2: 21; 3: 14; 4: 2; 5: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 869,  5, 10,  146, 1, 5, 390764, 12185.27, 1, 48.56, 1: 33; 2: 26; 3: 17; 5: 2; 
