Seed 1656949570
ARCH 2|F_ID 1|LIMIT 3
before: 
62(348)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 710,  7,  7,  100, 1, 2, 383575, 11290.84, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 176,  6,  8,  125, 1, 4, 376939, 11290.84, 1, 43.38, 1: 42; 2: 28; 3: 5; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling,  42,  8,  6,  125, 1, 4, 377077, 11290.84, 1, 43.38, 1: 44; 2: 24; 3: 7; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 393,  6,  8,  125, 1, 4, 376782, 11290.84, 1, 43.38, 1: 44; 2: 23; 3: 9; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 602,  6,  8,  125, 1, 4, 377187, 11290.84, 1, 43.38, 1: 46; 2: 20; 3: 9; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 383,  5, 10,  125, 1, 4, 390982, 11290.84, 1, 43.38, 1: 43; 2: 26; 3: 6; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 905,  4, 12,  125, 1, 4, 376941, 11290.84, 1, 43.38, 1: 45; 2: 22; 3: 8; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 907,  8,  6,  125, 1, 4, 377063, 11290.84, 1, 43.38, 1: 44; 2: 24; 3: 7; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 635,  5, 10,  125, 1, 4, 390993, 11290.84, 1, 43.38, 1: 42; 2: 28; 3: 5; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 793,  5, 10,  125, 1, 4, 390694, 11290.84, 0, 43.38, 1: 42; 2: 28; 3: 5; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 492,  7,  7,  125, 1, 4, 383882, 11290.84, 1, 43.38, 1: 41; 2: 29; 3: 6; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 637,  5,  9,  125, 1, 4, 355410, 11290.84, 1, 43.38, 1: 44; 2: 23; 3: 9; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 202,  4, 12,  125, 1, 4, 377037, 11290.84, 1, 43.38, 1: 45; 2: 20; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 653,  4, 11,  125, 1, 4, 347182, 11290.84, 0, 43.38, 1: 40; 2: 30; 3: 7; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 692,  4, 12,  125, 1, 4, 377060, 11290.84, 1, 43.38, 1: 45; 2: 21; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 715,  5,  9,  125, 1, 4, 355410, 11290.84, 1, 43.38, 1: 46; 2: 21; 3: 7; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 796,  7,  7,  125, 1, 4, 383644, 11290.84, 1, 43.38, 1: 44; 2: 27; 3: 1; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 397,  5, 10,  126, 1, 4, 390966, 11290.84, 1, 43.38, 1: 47; 2: 18; 3: 9; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 377,  7,  7,  126, 1, 4, 383660, 11290.84, 1, 43.38, 1: 43; 2: 26; 3: 5; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 588,  4, 12,  126, 1, 4, 376992, 11290.84, 1, 43.38, 1: 45; 2: 22; 3: 7; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 263,  5, 10,  126, 1, 4, 390725, 11290.84, 1, 43.38, 1: 38; 2: 35; 3: 2; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 601,  4, 12,  126, 1, 4, 376883, 11290.84, 1, 43.38, 1: 45; 2: 21; 3: 9; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 260,  5, 10,  126, 1, 4, 391006, 11290.84, 1, 43.38, 1: 45; 2: 22; 3: 7; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 437,  4, 12,  126, 1, 4, 376875, 11290.84, 1, 43.38, 1: 44; 2: 24; 3: 6; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 697,  5,  9,  126, 1, 4, 355410, 11290.84, 1, 43.38, 1: 40; 2: 30; 3: 6; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 190,  8,  6,  126, 1, 4, 376980, 11290.84, 1, 43.38, 1: 47; 2: 19; 3: 7; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 647,  9,  5,  126, 1, 4, 355410, 11290.84, 1, 43.38, 1: 41; 2: 28; 3: 7; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 725,  5, 10,  126, 1, 4, 390742, 11290.84, 1, 43.38, 1: 39; 2: 32; 3: 5; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 217,  5,  9,  126, 1, 4, 355410, 11290.84, 0, 43.38, 1: 42; 2: 26; 3: 8; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 824,  5, 10,  126, 1, 4, 391021, 11290.84, 1, 43.38, 1: 43; 2: 26; 3: 5; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling,  97,  6,  8,  126, 1, 4, 377120, 11290.84, 1, 43.38, 1: 43; 2: 25; 3: 7; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 800,  7,  7,  126, 1, 4, 383624, 11290.84, 1, 43.38, 1: 41; 2: 28; 3: 7; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 113,  5, 10,  126, 1, 4, 390757, 11290.84, 1, 43.38, 1: 46; 2: 22; 3: 4; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling,  79,  5, 10,  126, 1, 4, 391036, 11290.84, 0, 43.38, 1: 46; 2: 21; 3: 6; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 884,  8,  6,  126, 1, 4, 377054, 11290.84, 1, 43.38, 1: 42; 2: 28; 3: 4; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 543,  4, 12,  127, 1, 4, 376762, 11290.84, 1, 43.38, 1: 44; 2: 21; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 310,  4, 12,  127, 1, 4, 376953, 11290.84, 1, 43.38, 1: 44; 2: 23; 3: 7; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 294,  4, 12,  127, 1, 4, 377152, 11290.84, 1, 43.38, 1: 43; 2: 24; 3: 8; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 904,  4, 12,  127, 1, 4, 376865, 11290.84, 1, 43.38, 1: 43; 2: 24; 3: 8; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 280,  5,  9,  127, 1, 4, 355410, 11290.84, 1, 43.38, 1: 39; 2: 30; 3: 8; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 808,  6,  8,  127, 1, 4, 377078, 11290.84, 1, 43.38, 1: 46; 2: 22; 3: 3; 4: 7; 
Guard_Cell_Abscisic_Acid_Signaling,  17,  7,  7,  127, 1, 4, 383600, 11290.84, 1, 43.38, 1: 43; 2: 26; 3: 4; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 859,  9,  5,  127, 1, 4, 355410, 11290.84, 1, 43.38, 1: 43; 2: 24; 3: 8; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 364,  8,  6,  127, 1, 4, 377090, 11290.84, 1, 43.38, 1: 43; 2: 25; 3: 6; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 758,  7,  7,  127, 1, 4, 383740, 11290.84, 1, 43.38, 1: 45; 2: 21; 3: 8; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 672,  5, 10,  127, 1, 4, 390944, 11290.84, 1, 43.38, 1: 43; 2: 25; 3: 6; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 388,  6,  8,  127, 1, 4, 377012, 11290.84, 1, 43.38, 1: 48; 2: 18; 3: 5; 4: 7; 
Guard_Cell_Abscisic_Acid_Signaling, 160,  5, 10,  127, 1, 4, 390785, 11290.84, 1, 43.38, 1: 44; 2: 23; 3: 7; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 713,  5, 10,  128, 1, 4, 390829, 11290.84, 1, 43.38, 1: 41; 2: 28; 3: 5; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling,  53,  7,  7,  128, 1, 4, 383672, 11290.84, 1, 43.38, 1: 39; 2: 31; 3: 5; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 551,  9,  5,  128, 1, 4, 355410, 11290.84, 1, 43.38, 1: 40; 2: 29; 3: 6; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling,  46,  5, 10,  128, 1, 4, 390818, 11290.84, 1, 43.38, 1: 44; 2: 23; 3: 6; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 119,  4, 12,  128, 1, 4, 377042, 11290.84, 1, 43.38, 1: 42; 2: 25; 3: 8; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 687,  5, 10,  128, 1, 4, 390915, 11290.84, 1, 43.38, 1: 45; 2: 19; 3: 11; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 710,  7,  7,  128, 1, 4, 383575, 11290.84, 1, 43.38, 1: 40; 2: 29; 3: 6; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 281,  4, 12,  128, 1, 4, 376978, 11290.84, 1, 43.38, 1: 45; 2: 19; 3: 11; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 231,  5, 10,  128, 1, 4, 390579, 11290.84, 1, 43.38, 1: 41; 2: 27; 3: 7; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling,  64,  4, 12,  128, 1, 4, 377065, 11290.84, 1, 43.38, 1: 41; 2: 28; 3: 5; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 664,  5,  9,  128, 1, 4, 355410, 11290.84, 1, 43.38, 1: 46; 2: 20; 3: 6; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 205,  4, 12,  128, 1, 4, 377062, 11290.84, 1, 43.38, 1: 46; 2: 18; 3: 10; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 527,  9,  5,  128, 1, 4, 355410, 11290.84, 1, 43.38, 1: 40; 2: 31; 3: 2; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 761,  9,  5,  128, 1, 4, 355410, 11290.84, 1, 43.38, 1: 40; 2: 28; 3: 8; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 996,  8,  6,  128, 1, 4, 377017, 11290.84, 1, 43.38, 1: 46; 2: 20; 3: 6; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 987,  8,  6,  128, 1, 4, 376931, 11290.84, 1, 43.38, 1: 44; 2: 22; 3: 8; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 362,  6,  8,  128, 1, 4, 377078, 11290.84, 1, 43.38, 1: 44; 2: 22; 3: 8; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 772,  5, 10,  128, 1, 4, 390478, 11290.84, 1, 43.38, 1: 41; 2: 27; 3: 7; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 337,  7,  7,  128, 1, 4, 383683, 11290.84, 1, 43.38, 1: 42; 2: 25; 3: 8; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling,  33,  5, 10,  128, 1, 4, 390933, 11290.84, 1, 43.38, 1: 42; 2: 26; 3: 6; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 318,  9,  5,  128, 1, 4, 355410, 11290.84, 1, 43.38, 1: 36; 2: 36; 3: 4; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 514,  6,  8,  128, 1, 4, 376883, 11290.84, 1, 43.38, 1: 46; 2: 20; 3: 6; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 930,  9,  5,  128, 1, 4, 355410, 11290.84, 0, 43.38, 1: 36; 2: 36; 3: 4; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 861,  4, 12,  129, 1, 4, 377050, 11290.84, 1, 43.38, 1: 41; 2: 27; 3: 6; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 309,  9,  5,  129, 1, 4, 355410, 11290.84, 1, 43.38, 1: 38; 2: 34; 3: 1; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 975,  9,  5,  129, 1, 4, 355410, 11290.84, 1, 43.38, 1: 41; 2: 27; 3: 6; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 933,  4, 12,  129, 1, 4, 376980, 11290.84, 1, 43.38, 1: 45; 2: 19; 3: 10; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 816,  5, 10,  129, 1, 4, 390972, 11290.84, 1, 43.38, 1: 43; 2: 23; 3: 8; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 741,  4, 11,  129, 1, 4, 347182, 11290.84, 1, 43.38, 1: 42; 2: 27; 3: 3; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 787,  5, 10,  129, 1, 4, 390659, 11290.84, 1, 43.38, 1: 40; 2: 29; 3: 5; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 737,  8,  6,  129, 1, 4, 376849, 11290.84, 1, 43.38, 1: 46; 2: 19; 3: 7; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 172,  5,  9,  129, 1, 4, 355410, 11290.84, 1, 43.38, 1: 38; 2: 32; 3: 5; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 418,  5,  9,  130, 1, 4, 355410, 11290.84, 1, 43.38, 1: 41; 2: 28; 3: 3; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling,  92,  5, 10,  130, 1, 4, 390710, 11290.84, 1, 43.38, 1: 39; 2: 31; 3: 3; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling,  90,  4, 12,  130, 1, 4, 376908, 11290.84, 1, 43.38, 1: 42; 2: 25; 3: 6; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 243,  7,  7,  130, 1, 4, 383583, 11290.84, 1, 43.38, 1: 37; 2: 32; 3: 7; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 108,  7,  7,  130, 1, 4, 383798, 11290.84, 1, 43.38, 1: 41; 2: 26; 3: 7; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 395,  4, 12,  130, 1, 4, 377146, 11290.84, 1, 43.38, 1: 43; 2: 21; 3: 11; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 617,  7,  7,  130, 1, 4, 383431, 11290.84, 1, 43.38, 1: 39; 2: 30; 3: 5; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 447,  4, 12,  130, 1, 4, 377096, 11290.84, 1, 43.38, 1: 40; 2: 28; 3: 6; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 575,  4, 11,  130, 1, 4, 347182, 11290.84, 1, 43.38, 1: 38; 2: 29; 3: 10; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 599,  9,  5,  130, 1, 4, 355410, 11290.84, 1, 43.38, 1: 41; 2: 27; 3: 5; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 167,  5,  9,  130, 1, 4, 355410, 11290.84, 1, 43.38, 1: 41; 2: 27; 3: 5; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 353,  5,  9,  130, 1, 4, 355410, 11290.84, 1, 43.38, 1: 39; 2: 29; 3: 7; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 803,  4, 12,  130, 1, 4, 376897, 11290.84, 1, 43.38, 1: 43; 2: 22; 3: 9; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling,  19,  7,  7,  130, 1, 4, 383661, 11290.84, 1, 43.38, 1: 40; 2: 28; 3: 6; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 961,  7,  7,  130, 1, 4, 383353, 11290.84, 1, 43.38, 1: 43; 2: 22; 3: 9; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 198,  7,  7,  130, 1, 4, 383655, 11290.84, 1, 43.38, 1: 41; 2: 25; 3: 9; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 574,  7,  7,  131, 1, 4, 383640, 11290.84, 1, 43.38, 1: 38; 2: 31; 3: 5; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 549,  4, 11,  131, 1, 4, 347182, 11290.84, 1, 43.38, 1: 43; 2: 23; 3: 6; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 604,  5,  9,  131, 1, 4, 355410, 11290.84, 1, 43.38, 1: 39; 2: 27; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 251,  5,  9,  131, 1, 4, 355410, 11290.84, 1, 43.38, 1: 39; 2: 30; 3: 4; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling,  84,  9,  5,  131, 1, 4, 355410, 11290.84, 1, 43.38, 1: 37; 2: 33; 3: 4; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 510,  4, 11,  131, 1, 4, 347182, 11290.84, 1, 43.38, 1: 41; 2: 24; 3: 10; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 459,  7,  7,  131, 1, 4, 383422, 11290.84, 1, 43.38, 1: 38; 2: 32; 3: 3; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling,  63,  5,  9,  131, 1, 4, 355410, 11290.84, 1, 43.38, 1: 38; 2: 30; 3: 7; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 876,  7,  7,  131, 1, 4, 383678, 11290.84, 1, 43.38, 1: 42; 2: 23; 3: 9; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 723,  9,  5,  131, 1, 4, 355410, 11290.84, 1, 43.38, 1: 38; 2: 29; 3: 9; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 755,  4, 11,  131, 1, 4, 347182, 11290.84, 1, 43.38, 1: 44; 2: 18; 3: 13; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 207,  7,  7,  131, 1, 4, 383980, 11290.84, 1, 43.38, 1: 41; 2: 24; 3: 10; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 765,  5, 10,  131, 1, 4, 390585, 11290.84, 1, 43.38, 1: 40; 2: 26; 3: 9; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 698,  4, 11,  131, 1, 4, 347182, 11290.84, 1, 43.38, 1: 41; 2: 23; 3: 12; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 503,  7,  7,  132, 1, 4, 383778, 11290.84, 1, 43.38, 1: 38; 2: 29; 3: 8; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling,  15,  9,  5,  132, 1, 4, 355410, 11290.84, 1, 43.38, 1: 43; 2: 21; 3: 9; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 211,  9,  5,  132, 1, 4, 355410, 11290.84, 1, 43.38, 1: 40; 2: 27; 3: 6; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 213,  7,  7,  132, 1, 4, 383447, 11290.84, 1, 43.38, 1: 36; 2: 32; 3: 8; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling,  14,  4, 11,  132, 1, 4, 347182, 11290.84, 1, 43.38, 1: 43; 2: 20; 3: 11; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 366,  5,  9,  132, 1, 4, 355410, 11290.84, 1, 43.38, 1: 37; 2: 31; 3: 7; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 136,  9,  5,  132, 1, 4, 355410, 11290.84, 1, 43.38, 1: 39; 2: 28; 3: 7; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 462,  5,  9,  132, 1, 4, 355410, 11290.84, 1, 43.38, 1: 38; 2: 30; 3: 6; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 899,  4, 11,  132, 1, 4, 347182, 11290.84, 1, 43.38, 1: 41; 2: 24; 3: 9; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 885,  9,  5,  132, 1, 4, 355410, 11290.84, 1, 43.38, 1: 39; 2: 28; 3: 7; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 817,  5, 10,  132, 1, 4, 390742, 11290.84, 0, 43.38, 1: 39; 2: 28; 3: 7; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 763,  7,  7,  132, 1, 4, 383568, 11290.84, 1, 43.38, 1: 40; 2: 25; 3: 10; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 404,  9,  5,  133, 1, 4, 355410, 11290.84, 1, 43.38, 1: 39; 2: 25; 3: 12; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 173,  4, 11,  133, 1, 4, 347182, 11290.84, 1, 43.38, 1: 40; 2: 25; 3: 9; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 858,  4, 11,  133, 1, 4, 347182, 11290.84, 1, 43.38, 1: 40; 2: 25; 3: 9; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling,  80,  7,  7,  133, 1, 4, 383703, 11290.84, 1, 43.38, 1: 39; 2: 26; 3: 10; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 938,  7,  7,  133, 1, 4, 383454, 11290.84, 0, 43.38, 1: 37; 2: 29; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 714,  4, 12,  133, 1, 4, 377105, 11290.84, 1, 43.38, 1: 40; 2: 24; 3: 11; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 151,  9,  5,  133, 1, 4, 355410, 11290.84, 1, 43.38, 1: 42; 2: 22; 3: 9; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 583,  9,  5,  133, 1, 4, 355410, 11290.84, 1, 43.38, 1: 36; 2: 30; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 538,  8,  6,  133, 1, 4, 376856, 11290.84, 1, 43.38, 1: 37; 2: 31; 3: 6; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 334,  4, 11,  133, 1, 4, 347182, 11290.84, 1, 43.38, 1: 42; 2: 21; 3: 11; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 548,  5,  9,  133, 1, 4, 355410, 11290.84, 1, 43.38, 1: 40; 2: 26; 3: 7; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 724,  4, 11,  133, 1, 4, 347182, 11290.84, 1, 43.38, 1: 43; 2: 20; 3: 10; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 993,  5,  9,  133, 1, 4, 355410, 11290.84, 1, 43.38, 1: 40; 2: 27; 3: 5; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 528,  5,  9,  133, 1, 4, 355410, 11290.84, 1, 43.38, 1: 40; 2: 24; 3: 11; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 556,  4, 11,  133, 1, 4, 347182, 11290.84, 1, 43.38, 1: 39; 2: 26; 3: 10; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 573,  5, 10,  134, 1, 4, 390542, 11290.84, 1, 43.38, 1: 39; 2: 27; 3: 7; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling,   3,  9,  5,  134, 1, 4, 355410, 11290.84, 1, 43.38, 1: 40; 2: 26; 3: 6; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 683,  4, 11,  134, 1, 4, 347182, 11290.84, 1, 43.38, 1: 41; 2: 21; 3: 13; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 745,  5,  9,  134, 1, 4, 355410, 11290.84, 1, 43.38, 1: 40; 2: 24; 3: 10; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 375,  7,  7,  134, 1, 4, 383618, 11290.84, 0, 43.38, 1: 37; 2: 31; 3: 5; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 229,  4, 11,  134, 1, 4, 347182, 11290.84, 1, 43.38, 1: 37; 2: 27; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 731,  5,  9,  134, 1, 4, 355410, 11290.84, 1, 43.38, 1: 38; 2: 29; 3: 6; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 400,  9,  5,  134, 1, 4, 355410, 11290.84, 1, 43.38, 1: 40; 2: 25; 3: 8; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 536,  4, 11,  135, 1, 4, 347182, 11290.84, 1, 43.38, 1: 39; 2: 25; 3: 10; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 756,  5,  9,  135, 1, 4, 355410, 11290.84, 1, 43.38, 1: 41; 2: 23; 3: 8; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 307,  9,  5,  135, 1, 4, 355410, 11290.84, 1, 43.38, 1: 41; 2: 25; 3: 4; 4: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 950,  7,  7,  135, 1, 4, 383687, 11290.84, 1, 43.38, 1: 41; 2: 22; 3: 10; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 908,  4, 11,  135, 1, 4, 347182, 11290.84, 1, 43.38, 1: 41; 2: 23; 3: 8; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 951,  4, 11,  135, 1, 4, 347182, 11290.84, 1, 43.38, 1: 38; 2: 27; 3: 9; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 408,  7,  7,  135, 1, 4, 383654, 11290.84, 1, 43.38, 1: 38; 2: 27; 3: 9; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 154,  4, 11,  135, 1, 4, 347182, 11290.84, 1, 43.38, 1: 40; 2: 25; 3: 7; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 373,  9,  5,  135, 1, 4, 355410, 11290.84, 1, 43.38, 1: 37; 2: 28; 3: 10; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 650,  5,  9,  135, 1, 4, 355410, 11290.84, 1, 43.38, 1: 40; 2: 25; 3: 7; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 465,  9,  5,  135, 1, 4, 355410, 11290.84, 1, 43.38, 1: 35; 2: 33; 3: 6; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 693,  5,  9,  135, 1, 4, 355410, 11290.84, 1, 43.38, 1: 41; 2: 22; 3: 10; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 105,  9,  5,  135, 1, 4, 355410, 11290.84, 1, 43.38, 1: 38; 2: 27; 3: 9; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 358,  7,  7,  135, 1, 4, 383836, 11290.84, 1, 43.38, 1: 40; 2: 24; 3: 9; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling, 431,  7,  7,  135, 1, 4, 383381, 11290.84, 1, 43.38, 1: 39; 2: 24; 3: 12; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 775,  9,  5,  135, 1, 4, 355410, 11290.84, 1, 43.38, 1: 36; 2: 31; 3: 7; 4: 4; 
Guard_Cell_Abscisic_Acid_Signaling, 270,  7,  7,  136, 1, 4, 383639, 11290.84, 1, 43.38, 1: 38; 2: 27; 3: 8; 4: 5; 
Guard_Cell_Abscisic_Acid_Signaling,  87,  7,  7,  136, 1, 4, 383724, 11290.84, 1, 43.38, 1: 39; 2: 26; 3: 7; 4: 6; 
Guard_Cell_Abscisic_Acid_Signaling, 248,  9,  5,  136, 1, 4, 355410, 11290.84, 1, 43.38, 1: 38; 2: 27; 3: 8; 4: 5; 
