Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
2(182)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network, 871,  7,  9,  137, 1, 2, 492709, 44429.70, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 733,  5, 13,  179, 1, 4, 504138, 44429.70, 1, 65.73, 1: 46; 2: 39; 3: 17; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 798,  5, 11,  180, 1, 4, 435105, 44429.70, 1, 65.73, 1: 47; 2: 40; 3: 11; 4: 5; 
MAPK_Cancer_Cell_Fate_Network,  63,  4, 14,  180, 1, 4, 443520, 44429.70, 1, 65.73, 1: 46; 2: 41; 3: 12; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 848,  4, 14,  180, 1, 4, 443520, 44429.70, 1, 65.73, 1: 49; 2: 36; 3: 13; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 853,  5, 11,  180, 1, 4, 435105, 44429.70, 1, 65.73, 1: 48; 2: 37; 3: 14; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 119,  6, 10,  180, 1, 4, 473478, 44429.70, 1, 65.73, 1: 54; 2: 28; 3: 14; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 821,  8,  7,  180, 1, 4, 443520, 44429.70, 1, 65.73, 1: 50; 2: 34; 3: 14; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 101,  5, 12,  180, 1, 4, 473567, 44429.70, 1, 65.73, 1: 48; 2: 40; 3: 8; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 152,  6, 10,  180, 1, 4, 473640, 44429.70, 1, 65.73, 1: 54; 2: 28; 3: 14; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 201,  8,  7,  180, 1, 4, 443520, 44429.70, 1, 65.73, 1: 49; 2: 36; 3: 13; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 406,  5, 12,  180, 1, 4, 473425, 44429.70, 1, 65.73, 1: 48; 2: 40; 3: 8; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 654,  7,  8,  181, 1, 4, 443520, 44429.70, 1, 65.73, 1: 52; 2: 32; 3: 11; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 449,  7,  9,  181, 1, 4, 492853, 44429.70, 1, 65.73, 1: 47; 2: 39; 3: 12; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 859,  8,  7,  181, 1, 4, 443520, 44429.70, 1, 65.73, 1: 48; 2: 36; 3: 15; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 476,  8,  7,  181, 1, 4, 443520, 44429.70, 1, 65.73, 1: 48; 2: 39; 3: 9; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 864,  4, 14,  181, 1, 4, 443520, 44429.70, 1, 65.73, 1: 50; 2: 33; 3: 15; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 451,  4, 14,  181, 1, 4, 443520, 44429.70, 1, 65.73, 1: 45; 2: 41; 3: 14; 4: 3; 
MAPK_Cancer_Cell_Fate_Network,  54,  7,  9,  182, 1, 4, 492649, 44429.70, 1, 65.73, 1: 42; 2: 48; 3: 8; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 444,  5, 12,  182, 1, 4, 473367, 44429.70, 1, 65.73, 1: 50; 2: 35; 3: 10; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 260,  5, 13,  182, 1, 4, 504575, 44429.70, 1, 65.73, 1: 47; 2: 39; 3: 11; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 185,  5, 11,  182, 1, 4, 435105, 44429.70, 0, 65.73, 1: 46; 2: 40; 3: 12; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 600,  7,  9,  182, 1, 4, 492727, 44429.70, 1, 65.73, 1: 50; 2: 35; 3: 10; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 935,  4, 14,  182, 1, 4, 443520, 44429.70, 0, 65.73, 1: 47; 2: 37; 3: 15; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 538,  8,  7,  182, 1, 4, 443520, 44429.70, 1, 65.73, 1: 48; 2: 38; 3: 10; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 567,  5, 11,  182, 1, 4, 435105, 44429.70, 1, 65.73, 1: 49; 2: 34; 3: 15; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 200,  4, 14,  183, 1, 4, 443520, 44429.70, 1, 65.73, 1: 48; 2: 36; 3: 13; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 680,  8,  7,  183, 1, 4, 443520, 44429.70, 1, 65.73, 1: 47; 2: 37; 3: 14; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 147,  4, 14,  183, 1, 4, 443520, 44429.70, 1, 65.73, 1: 50; 2: 30; 3: 19; 4: 4; 
MAPK_Cancer_Cell_Fate_Network,  88,  8,  7,  183, 1, 4, 443520, 44429.70, 1, 65.73, 1: 47; 2: 39; 3: 10; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 604,  6, 10,  183, 1, 4, 473207, 44429.70, 1, 65.73, 1: 49; 2: 36; 3: 10; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 284,  4, 14,  183, 1, 4, 443520, 44429.70, 1, 65.73, 1: 47; 2: 36; 3: 16; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 965,  5, 13,  183, 1, 4, 504577, 44429.70, 1, 65.73, 1: 47; 2: 37; 3: 14; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 790,  5, 13,  184, 1, 4, 504711, 44429.70, 1, 65.73, 1: 49; 2: 32; 3: 17; 4: 5; 
MAPK_Cancer_Cell_Fate_Network,  60,  7,  9,  184, 1, 4, 493083, 44429.70, 1, 65.73, 1: 44; 2: 41; 3: 14; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 660,  4, 14,  184, 1, 4, 443520, 44429.70, 1, 65.73, 1: 48; 2: 33; 3: 18; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 259,  4, 14,  184, 1, 4, 443520, 44429.70, 1, 65.73, 1: 49; 2: 33; 3: 15; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 509,  4, 14,  184, 1, 4, 443520, 44429.70, 1, 65.73, 1: 44; 2: 41; 3: 14; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 426,  7,  9,  184, 1, 4, 492407, 44429.70, 1, 65.73, 1: 48; 2: 35; 3: 14; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 126,  8,  7,  185, 1, 4, 443520, 44429.70, 1, 65.73, 1: 50; 2: 31; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 125,  4, 14,  185, 1, 4, 443520, 44429.70, 1, 65.73, 1: 46; 2: 34; 3: 21; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 914,  4, 14,  185, 1, 4, 443520, 44429.70, 1, 65.73, 1: 48; 2: 35; 3: 13; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 616,  5, 12,  185, 1, 4, 473522, 44429.70, 1, 65.73, 1: 50; 2: 33; 3: 11; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 154,  7,  9,  185, 1, 4, 492486, 44429.70, 1, 65.73, 1: 46; 2: 39; 3: 11; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 205,  8,  7,  185, 1, 4, 443520, 44429.70, 1, 65.73, 1: 49; 2: 33; 3: 14; 4: 7; 
MAPK_Cancer_Cell_Fate_Network,  39,  8,  7,  185, 1, 4, 443520, 44429.70, 1, 65.73, 1: 47; 2: 36; 3: 14; 4: 6; 
MAPK_Cancer_Cell_Fate_Network,  41,  5, 13,  185, 1, 4, 504542, 44429.70, 1, 65.73, 1: 47; 2: 36; 3: 14; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 378,  7,  9,  185, 1, 4, 492882, 44429.70, 1, 65.73, 1: 48; 2: 36; 3: 11; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 710,  8,  7,  185, 1, 4, 443520, 44429.70, 1, 65.73, 1: 50; 2: 32; 3: 13; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 100,  5, 11,  185, 1, 4, 435105, 44429.70, 1, 65.73, 1: 44; 2: 40; 3: 15; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 565,  5, 11,  185, 1, 4, 435105, 44429.70, 1, 65.73, 1: 48; 2: 36; 3: 11; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 347,  8,  7,  185, 1, 4, 443520, 44429.70, 1, 65.73, 1: 45; 2: 39; 3: 14; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 433,  7,  9,  186, 1, 4, 492474, 44429.70, 1, 65.73, 1: 43; 2: 44; 3: 9; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 242,  5, 11,  186, 1, 4, 435105, 44429.70, 1, 65.73, 1: 48; 2: 36; 3: 10; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 770,  5, 11,  186, 1, 4, 435105, 44429.70, 1, 65.73, 1: 42; 2: 42; 3: 16; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 768,  8,  7,  186, 1, 4, 443520, 44429.70, 1, 65.73, 1: 49; 2: 32; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network,  82,  5, 11,  187, 1, 4, 435105, 44429.70, 1, 65.73, 1: 48; 2: 35; 3: 11; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 463,  5, 11,  187, 1, 4, 435105, 44429.70, 1, 65.73, 1: 46; 2: 37; 3: 13; 4: 7; 
MAPK_Cancer_Cell_Fate_Network,  68,  5, 12,  187, 1, 4, 473444, 44429.70, 1, 65.73, 1: 47; 2: 37; 3: 10; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 320,  7,  9,  187, 1, 4, 492979, 44429.70, 1, 65.73, 1: 47; 2: 33; 3: 18; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 700,  5, 11,  188, 1, 4, 435105, 44429.70, 1, 65.73, 1: 46; 2: 35; 3: 16; 4: 6; 
MAPK_Cancer_Cell_Fate_Network,  46,  7,  9,  188, 1, 4, 492833, 44429.70, 1, 65.73, 1: 46; 2: 38; 3: 10; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 298,  7,  9,  188, 1, 4, 492894, 44429.70, 1, 65.73, 1: 45; 2: 35; 3: 19; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 174,  8,  7,  188, 1, 4, 443520, 44429.70, 1, 65.73, 1: 44; 2: 38; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network,  58,  5, 11,  189, 1, 4, 435105, 44429.70, 1, 65.73, 1: 47; 2: 35; 3: 12; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 156,  5, 13,  189, 1, 4, 504977, 44429.70, 1, 65.73, 1: 46; 2: 37; 3: 11; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 288,  5, 12,  189, 1, 4, 473535, 44429.70, 1, 65.73, 1: 45; 2: 40; 3: 8; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 551,  7,  8,  189, 1, 4, 443520, 44429.70, 1, 65.73, 1: 47; 2: 35; 3: 12; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 322,  5, 13,  189, 1, 4, 504459, 44429.70, 0, 65.73, 1: 44; 2: 39; 3: 13; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 350,  7,  9,  189, 1, 4, 492667, 44429.70, 1, 65.73, 1: 39; 2: 47; 3: 12; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 916,  8,  7,  189, 1, 4, 443520, 44429.70, 1, 65.73, 1: 44; 2: 39; 3: 13; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 246,  8,  7,  190, 1, 4, 443520, 44429.70, 1, 65.73, 1: 43; 2: 39; 3: 15; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 923,  5, 13,  190, 1, 4, 504950, 44429.70, 1, 65.73, 1: 41; 2: 44; 3: 11; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 759,  5, 13,  191, 1, 4, 504801, 44429.70, 1, 65.73, 1: 40; 2: 42; 3: 17; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 482,  7,  9,  192, 1, 4, 492609, 44429.70, 1, 65.73, 1: 44; 2: 35; 3: 18; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 233,  8,  7,  192, 1, 4, 443520, 44429.70, 1, 65.73, 1: 45; 2: 38; 3: 9; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 291,  5, 11,  192, 1, 4, 435105, 44429.70, 1, 65.73, 1: 41; 2: 42; 3: 13; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 951,  5, 13,  192, 1, 4, 504587, 44429.70, 1, 65.73, 1: 40; 2: 44; 3: 12; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 285,  8,  7,  192, 1, 4, 443520, 44429.70, 1, 65.73, 1: 44; 2: 37; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 803,  7,  9,  193, 1, 4, 492703, 44429.70, 1, 65.73, 1: 41; 2: 39; 3: 18; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 640,  5, 11,  193, 1, 4, 435105, 44429.70, 1, 65.73, 1: 42; 2: 39; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network,  31,  7,  9,  193, 1, 4, 492337, 44429.70, 1, 65.73, 1: 44; 2: 35; 3: 17; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 800,  7,  9,  193, 1, 4, 492838, 44429.70, 1, 65.73, 1: 38; 2: 46; 3: 13; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 521,  8,  7,  193, 1, 4, 443520, 44429.70, 1, 65.73, 1: 43; 2: 38; 3: 14; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 959,  8,  7,  194, 1, 4, 443520, 44429.70, 1, 65.73, 1: 45; 2: 35; 3: 13; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 391,  5, 13,  194, 1, 4, 504450, 44429.70, 1, 65.73, 1: 43; 2: 39; 3: 11; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 849,  7,  9,  195, 1, 4, 492513, 44429.70, 1, 65.73, 1: 38; 2: 48; 3: 7; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 912,  5, 13,  196, 1, 4, 504667, 44429.70, 1, 65.73, 1: 37; 2: 47; 3: 11; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 697,  5, 13,  196, 1, 4, 504695, 44429.70, 1, 65.73, 1: 40; 2: 38; 3: 20; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 335,  5, 13,  197, 1, 4, 504382, 44429.70, 1, 65.73, 1: 44; 2: 33; 3: 17; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 652,  5, 13,  197, 1, 4, 504992, 44429.70, 1, 65.73, 1: 42; 2: 38; 3: 13; 4: 10; 
MAPK_Cancer_Cell_Fate_Network,   2,  5, 13,  199, 1, 4, 504375, 44429.70, 1, 65.73, 1: 41; 2: 37; 3: 16; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 673,  4, 14,  200, 1, 4, 443520, 44429.70, 1, 65.73, 1: 41; 2: 37; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 907, 10,  6,  159, 1, 5, 473527, 44429.70, 0, 65.73, 1: 55; 2: 43; 3: 3; 4: 1; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 948,  5, 12,  164, 1, 5, 473521, 44429.70, 1, 65.73, 1: 55; 2: 38; 3: 8; 4: 1; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 726,  6, 10,  164, 1, 5, 473578, 44429.70, 1, 65.73, 1: 57; 2: 36; 3: 6; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 687,  6, 10,  165, 1, 5, 473347, 44429.70, 1, 65.73, 1: 59; 2: 32; 3: 8; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 780,  6, 10,  166, 1, 5, 473557, 44429.70, 1, 65.73, 1: 57; 2: 35; 3: 7; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 659, 10,  6,  166, 1, 5, 473350, 44429.70, 1, 65.73, 1: 55; 2: 38; 3: 6; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 441,  6, 10,  166, 1, 5, 473042, 44429.70, 1, 65.73, 1: 58; 2: 32; 3: 10; 4: 1; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 762,  6, 10,  167, 1, 5, 473474, 44429.70, 1, 65.73, 1: 55; 2: 36; 3: 10; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 966,  6, 10,  168, 1, 5, 473375, 44429.70, 1, 65.73, 1: 56; 2: 35; 3: 7; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 369,  7,  8,  168, 1, 5, 443520, 44429.70, 0, 65.73, 1: 55; 2: 36; 3: 8; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 199,  6, 10,  168, 1, 5, 473413, 44429.70, 1, 65.73, 1: 57; 2: 32; 3: 10; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 716,  7,  8,  169, 1, 5, 443520, 44429.70, 0, 65.73, 1: 56; 2: 33; 3: 10; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 409, 10,  6,  169, 1, 5, 473547, 44429.70, 1, 65.73, 1: 59; 2: 28; 3: 11; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 436,  7,  8,  169, 1, 5, 443520, 44429.70, 1, 65.73, 1: 59; 2: 28; 3: 11; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 309,  6, 10,  169, 1, 5, 473434, 44429.70, 1, 65.73, 1: 52; 2: 41; 3: 6; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 128,  6, 10,  169, 1, 5, 473432, 44429.70, 1, 65.73, 1: 57; 2: 32; 3: 9; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 608,  6, 10,  169, 1, 5, 473805, 44429.70, 1, 65.73, 1: 56; 2: 33; 3: 11; 4: 1; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 390, 10,  6,  169, 1, 5, 473245, 44429.70, 1, 65.73, 1: 56; 2: 34; 3: 9; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 972,  6, 10,  169, 1, 5, 473540, 44429.70, 1, 65.73, 1: 58; 2: 28; 3: 14; 4: 2; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 725,  6, 10,  169, 1, 5, 473319, 44429.70, 1, 65.73, 1: 55; 2: 36; 3: 7; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 243,  7,  8,  169, 1, 5, 443520, 44429.70, 1, 65.73, 1: 58; 2: 33; 3: 4; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 930, 10,  6,  170, 1, 5, 473666, 44429.70, 1, 65.73, 1: 58; 2: 30; 3: 9; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 897,  6, 10,  170, 1, 5, 473314, 44429.70, 1, 65.73, 1: 54; 2: 35; 3: 11; 4: 2; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 775, 10,  6,  170, 1, 5, 473470, 44429.70, 0, 65.73, 1: 63; 2: 20; 3: 15; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 749,  6, 10,  170, 1, 5, 473210, 44429.70, 1, 65.73, 1: 54; 2: 35; 3: 11; 4: 2; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,  38,  7,  8,  170, 1, 5, 443520, 44429.70, 1, 65.73, 1: 52; 2: 39; 3: 9; 4: 2; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 186,  7,  8,  170, 1, 5, 443520, 44429.70, 1, 65.73, 1: 54; 2: 35; 3: 11; 4: 2; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 904, 10,  6,  170, 1, 5, 473327, 44429.70, 1, 65.73, 1: 56; 2: 34; 3: 8; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 957,  6, 10,  171, 1, 5, 473640, 44429.70, 1, 65.73, 1: 54; 2: 36; 3: 8; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 863,  6, 10,  171, 1, 5, 473513, 44429.70, 1, 65.73, 1: 58; 2: 30; 3: 9; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network,  84,  6, 10,  171, 1, 5, 473506, 44429.70, 1, 65.73, 1: 55; 2: 35; 3: 7; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 917,  6, 10,  171, 1, 5, 473188, 44429.70, 1, 65.73, 1: 56; 2: 33; 3: 8; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 668,  5, 12,  171, 1, 5, 473094, 44429.70, 1, 65.73, 1: 53; 2: 37; 3: 9; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,  15, 10,  6,  172, 1, 5, 473483, 44429.70, 1, 65.73, 1: 57; 2: 31; 3: 8; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 561,  5, 12,  172, 1, 5, 473396, 44429.70, 1, 65.73, 1: 52; 2: 38; 3: 10; 4: 1; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 816,  6, 10,  172, 1, 5, 473532, 44429.70, 1, 65.73, 1: 54; 2: 35; 3: 9; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 375,  6, 10,  172, 1, 5, 473511, 44429.70, 1, 65.73, 1: 57; 2: 30; 3: 12; 4: 1; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 624, 10,  6,  173, 1, 5, 473444, 44429.70, 1, 65.73, 1: 54; 2: 36; 3: 8; 4: 2; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 974, 10,  6,  173, 1, 5, 473305, 44429.70, 1, 65.73, 1: 56; 2: 31; 3: 10; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 706, 10,  6,  173, 1, 5, 473604, 44429.70, 1, 65.73, 1: 55; 2: 32; 3: 11; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 989,  6, 10,  173, 1, 5, 473348, 44429.70, 1, 65.73, 1: 56; 2: 30; 3: 12; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 417,  6, 10,  173, 1, 5, 473474, 44429.70, 1, 65.73, 1: 55; 2: 33; 3: 10; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 757,  6, 10,  173, 1, 5, 473419, 44429.70, 1, 65.73, 1: 54; 2: 35; 3: 8; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 214,  7,  8,  173, 1, 5, 443520, 44429.70, 1, 65.73, 1: 52; 2: 37; 3: 10; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 292,  6, 10,  173, 1, 5, 473522, 44429.70, 1, 65.73, 1: 56; 2: 31; 3: 10; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 178, 10,  6,  173, 1, 5, 473377, 44429.70, 1, 65.73, 1: 56; 2: 32; 3: 9; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 116,  7,  8,  173, 1, 5, 443520, 44429.70, 1, 65.73, 1: 52; 2: 39; 3: 6; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 683,  5, 13,  173, 1, 5, 504910, 44429.70, 1, 65.73, 1: 52; 2: 39; 3: 6; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 876,  7,  8,  174, 1, 5, 443520, 44429.70, 1, 65.73, 1: 52; 2: 38; 3: 7; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 176,  5, 12,  174, 1, 5, 473436, 44429.70, 1, 65.73, 1: 53; 2: 35; 3: 10; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 429,  5, 12,  174, 1, 5, 473313, 44429.70, 1, 65.73, 1: 57; 2: 29; 3: 11; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 160,  7,  8,  174, 1, 5, 443520, 44429.70, 0, 65.73, 1: 52; 2: 38; 3: 7; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 840, 10,  6,  174, 1, 5, 473469, 44429.70, 1, 65.73, 1: 56; 2: 31; 3: 9; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 836,  7,  8,  174, 1, 5, 443520, 44429.70, 0, 65.73, 1: 57; 2: 30; 3: 8; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 614,  7,  8,  175, 1, 5, 443520, 44429.70, 1, 65.73, 1: 59; 2: 26; 3: 10; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 507,  8,  7,  175, 1, 5, 443520, 44429.70, 1, 65.73, 1: 55; 2: 31; 3: 12; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 643,  6, 10,  175, 1, 5, 473468, 44429.70, 1, 65.73, 1: 54; 2: 33; 3: 10; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 625,  7,  8,  175, 1, 5, 443520, 44429.70, 1, 65.73, 1: 52; 2: 38; 3: 7; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network,  64,  6, 10,  175, 1, 5, 473630, 44429.70, 1, 65.73, 1: 52; 2: 36; 3: 10; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 945,  6, 10,  175, 1, 5, 473696, 44429.70, 1, 65.73, 1: 56; 2: 31; 3: 8; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 305,  5, 12,  175, 1, 5, 473254, 44429.70, 1, 65.73, 1: 55; 2: 30; 3: 13; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 870,  7,  8,  175, 1, 5, 443520, 44429.70, 1, 65.73, 1: 57; 2: 30; 3: 8; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 484,  5, 12,  175, 1, 5, 473395, 44429.70, 1, 65.73, 1: 50; 2: 42; 3: 4; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 367,  6, 10,  175, 1, 5, 473487, 44429.70, 1, 65.73, 1: 52; 2: 35; 3: 12; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 960, 10,  6,  175, 1, 5, 473550, 44429.70, 1, 65.73, 1: 58; 2: 27; 3: 11; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 688,  7,  9,  175, 1, 5, 493130, 44429.70, 1, 65.73, 1: 51; 2: 39; 3: 7; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 689,  4, 14,  176, 1, 5, 443520, 44429.70, 1, 65.73, 1: 55; 2: 32; 3: 9; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 569,  7,  8,  176, 1, 5, 443520, 44429.70, 0, 65.73, 1: 51; 2: 38; 3: 9; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 366, 10,  6,  176, 1, 5, 473555, 44429.70, 1, 65.73, 1: 50; 2: 39; 3: 9; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 769,  5, 12,  176, 1, 5, 473528, 44429.70, 1, 65.73, 1: 51; 2: 39; 3: 7; 4: 4; 5: 2; 
