Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
3(242)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 208,  9,  8,  174, 1, 3, 570556, 13022.43, 13, 0.00, 1: 95; 2: 26; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 751,  9,  8,  221, 0, 4, 569802, 13022.43, 1, 84.11, 0: 1; 1: 74; 2: 29; 3: 15; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 815, 10,  7,  221, 0, 4, 556978, 13022.43, 1, 84.11, 0: 1; 1: 67; 2: 38; 3: 18; 4: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 935,  5, 16,  223, 0, 4, 622444, 13022.43, 1, 84.11, 0: 1; 1: 67; 2: 39; 3: 14; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 418, 10,  7,  228, 0, 4, 557211, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 36; 3: 21; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 957,  8,  9,  228, 0, 4, 570531, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 38; 3: 14; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 128,  5, 14,  230, 0, 4, 557253, 13022.43, 1, 84.11, 0: 1; 1: 63; 2: 42; 3: 13; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 754,  5, 15,  230, 0, 4, 591012, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 38; 3: 18; 4: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 614,  6, 13,  232, 0, 4, 610102, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 39; 3: 14; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 731,  6, 13,  232, 0, 4, 610143, 13022.43, 1, 84.11, 0: 1; 1: 62; 2: 42; 3: 14; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo,  68,  5, 14,  234, 0, 4, 557151, 13022.43, 1, 84.11, 0: 1; 1: 67; 2: 31; 3: 19; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 398,  8,  9,  236, 0, 4, 570164, 13022.43, 1, 84.11, 0: 1; 1: 56; 2: 47; 3: 18; 4: 8; 
Bortezomib_Responses_in_U266_Human_Myelo, 892,  7, 11,  236, 0, 4, 604785, 13022.43, 1, 84.11, 0: 1; 1: 61; 2: 42; 3: 13; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 318, 10,  7,  246, 0, 4, 557222, 13022.43, 1, 84.11, 0: 1; 1: 48; 2: 56; 3: 14; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 189,  7, 10,  201, 0, 5, 556978, 13022.43, 1, 84.11, 0: 1; 1: 80; 2: 33; 3: 10; 4: 5; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 903,  6, 12,  202, 0, 5, 570498, 13022.43, 1, 84.11, 0: 1; 1: 85; 2: 23; 3: 15; 4: 4; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 396,  6, 12,  205, 0, 5, 570108, 13022.43, 1, 84.11, 0: 1; 1: 80; 2: 32; 3: 10; 4: 4; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 175,  7, 10,  206, 0, 5, 556888, 13022.43, 1, 84.11, 0: 1; 1: 76; 2: 39; 3: 5; 4: 8; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 887,  6, 12,  207, 0, 5, 570140, 13022.43, 1, 84.11, 0: 1; 1: 80; 2: 29; 3: 13; 4: 5; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 410,  6, 12,  207, 0, 5, 570595, 13022.43, 1, 84.11, 0: 1; 1: 78; 2: 33; 3: 10; 4: 7; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 666,  6, 12,  207, 0, 5, 570264, 13022.43, 1, 84.11, 0: 1; 1: 78; 2: 32; 3: 12; 4: 6; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  11,  6, 12,  208, 0, 5, 570569, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 39; 3: 12; 4: 4; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 979, 10,  7,  209, 0, 5, 557285, 13022.43, 1, 84.11, 0: 1; 1: 76; 2: 33; 3: 14; 4: 5; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 541,  9,  8,  209, 0, 5, 570609, 13022.43, 1, 84.11, 0: 1; 1: 78; 2: 31; 3: 12; 4: 7; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 621,  7, 10,  210, 0, 5, 557239, 13022.43, 1, 84.11, 0: 1; 1: 79; 2: 30; 3: 11; 4: 7; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 231,  9,  8,  210, 0, 5, 570698, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 41; 3: 6; 4: 8; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 129,  7, 10,  211, 0, 5, 557267, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 38; 3: 14; 4: 4; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 620,  6, 12,  211, 0, 5, 570461, 13022.43, 1, 84.11, 0: 1; 1: 77; 2: 32; 3: 12; 4: 6; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 331,  9,  8,  212, 0, 5, 570188, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 39; 3: 9; 4: 6; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  76,  5, 16,  212, 0, 5, 622542, 13022.43, 1, 84.11, 0: 1; 1: 75; 2: 36; 3: 10; 4: 5; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 983,  7, 10,  213, 0, 5, 557223, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 41; 3: 9; 4: 7; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 230,  6, 12,  213, 0, 5, 569853, 13022.43, 1, 84.11, 0: 1; 1: 75; 2: 34; 3: 13; 4: 4; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 817,  5, 16,  213, 0, 5, 622971, 13022.43, 1, 84.11, 0: 1; 1: 81; 2: 25; 3: 13; 4: 7; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 816,  9,  8,  213, 0, 5, 570457, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 37; 3: 11; 4: 7; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 954,  7, 10,  213, 0, 5, 557209, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 35; 3: 15; 4: 5; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 203,  6, 12,  214, 0, 5, 570135, 13022.43, 1, 84.11, 0: 1; 1: 76; 2: 32; 3: 13; 4: 5; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 162,  7, 10,  214, 0, 5, 557276, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 40; 3: 11; 4: 5; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 310,  9,  8,  214, 0, 5, 570039, 13022.43, 0, 84.11, 0: 1; 1: 68; 2: 45; 3: 9; 4: 6; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 986,  5, 16,  214, 0, 5, 622215, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 33; 3: 18; 4: 4; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 622,  7, 10,  214, 0, 5, 557031, 13022.43, 1, 84.11, 0: 1; 1: 74; 2: 34; 3: 15; 4: 3; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 922,  7, 11,  214, 0, 5, 605391, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 41; 3: 12; 4: 4; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 848,  5, 14,  214, 0, 5, 557242, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 45; 3: 10; 4: 4; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 883,  9,  8,  215, 0, 5, 570262, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 43; 3: 12; 4: 5; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 436,  6, 12,  215, 0, 5, 570242, 13022.43, 1, 84.11, 0: 1; 1: 74; 2: 35; 3: 12; 4: 5; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 389,  6, 12,  215, 0, 5, 569866, 13022.43, 1, 84.11, 0: 1; 1: 75; 2: 35; 3: 9; 4: 7; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 790,  9,  8,  215, 0, 5, 570340, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 40; 3: 11; 4: 4; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,   4,  9,  8,  215, 0, 5, 570702, 13022.43, 0, 84.11, 0: 1; 1: 69; 2: 41; 3: 13; 4: 5; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 825,  6, 12,  215, 0, 5, 570475, 13022.43, 1, 84.11, 0: 1; 1: 77; 2: 32; 3: 10; 4: 6; 5: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 257,  6, 12,  216, 0, 5, 570194, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 39; 3: 12; 4: 4; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 237,  6, 12,  216, 0, 5, 570236, 13022.43, 1, 84.11, 0: 1; 1: 76; 2: 30; 3: 15; 4: 5; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 687,  6, 12,  216, 0, 5, 570204, 13022.43, 1, 84.11, 0: 1; 1: 74; 2: 35; 3: 11; 4: 6; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 772,  9,  8,  216, 0, 5, 570482, 13022.43, 1, 84.11, 0: 1; 1: 74; 2: 33; 3: 13; 4: 8; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 468,  6, 12,  216, 0, 5, 570306, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 37; 3: 11; 4: 8; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 830,  7, 11,  216, 0, 5, 605218, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 37; 3: 14; 4: 6; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 960,  6, 12,  217, 0, 5, 570584, 13022.43, 1, 84.11, 0: 1; 1: 74; 2: 36; 3: 8; 4: 8; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 195,  8,  9,  217, 0, 5, 570436, 13022.43, 0, 84.11, 0: 1; 1: 69; 2: 41; 3: 12; 4: 5; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 441,  7, 10,  217, 0, 5, 556725, 13022.43, 1, 84.11, 0: 1; 1: 75; 2: 31; 3: 13; 4: 9; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 665,  5, 14,  217, 0, 5, 557037, 13022.43, 1, 84.11, 0: 1; 1: 76; 2: 33; 3: 9; 4: 7; 5: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 538,  9,  8,  217, 0, 5, 570275, 13022.43, 1, 84.11, 0: 1; 1: 74; 2: 34; 3: 12; 4: 6; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 931,  9,  8,  218, 0, 5, 569992, 13022.43, 1, 84.11, 0: 1; 1: 75; 2: 29; 3: 18; 4: 4; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 741,  8,  9,  218, 0, 5, 570230, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 38; 3: 14; 4: 5; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 116,  7, 10,  218, 0, 5, 557282, 13022.43, 1, 84.11, 0: 1; 1: 78; 2: 28; 3: 12; 4: 7; 5: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 564,  6, 12,  218, 0, 5, 570370, 13022.43, 1, 84.11, 0: 1; 1: 77; 2: 30; 3: 8; 4: 13; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 402,  5, 16,  218, 0, 5, 623489, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 34; 3: 14; 4: 5; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 372,  5, 16,  218, 0, 5, 621277, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 39; 3: 11; 4: 8; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 770,  6, 12,  218, 0, 5, 570253, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 36; 3: 14; 4: 7; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 673,  7, 10,  218, 0, 5, 557142, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 38; 3: 11; 4: 7; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 744,  5, 14,  218, 0, 5, 557266, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 46; 3: 15; 4: 3; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 445,  5, 14,  219, 0, 5, 557209, 13022.43, 1, 84.11, 0: 1; 1: 76; 2: 28; 3: 15; 4: 8; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 699,  9,  8,  219, 0, 5, 570179, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 35; 3: 12; 4: 9; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 704,  7, 10,  219, 0, 5, 557237, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 32; 3: 18; 4: 6; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 558,  9,  8,  219, 0, 5, 570416, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 34; 3: 12; 4: 8; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  60,  9,  8,  219, 0, 5, 569717, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 35; 3: 16; 4: 5; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,   6,  8,  9,  219, 0, 5, 570034, 13022.43, 0, 84.11, 0: 1; 1: 65; 2: 45; 3: 13; 4: 5; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 926,  5, 14,  219, 0, 5, 557162, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 33; 3: 15; 4: 5; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 347,  9,  8,  219, 0, 5, 570639, 13022.43, 1, 84.11, 0: 1; 1: 77; 2: 30; 3: 9; 4: 10; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  93,  9,  8,  219, 0, 5, 569833, 13022.43, 1, 84.11, 0: 1; 1: 76; 2: 30; 3: 13; 4: 6; 5: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 313,  8,  9,  220, 0, 5, 569938, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 31; 3: 19; 4: 6; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 857, 10,  7,  220, 0, 5, 557220, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 35; 3: 16; 4: 4; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 301, 10,  7,  220, 0, 5, 557039, 13022.43, 0, 84.11, 0: 1; 1: 68; 2: 40; 3: 13; 4: 7; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,   9,  7, 11,  220, 0, 5, 605009, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 40; 3: 13; 4: 7; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 916,  8,  9,  221, 0, 5, 570481, 13022.43, 1, 84.11, 0: 1; 1: 69; 2: 40; 3: 11; 4: 6; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 990,  5, 14,  221, 0, 5, 557286, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 33; 3: 18; 4: 5; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 774,  5, 14,  221, 0, 5, 557221, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 31; 3: 18; 4: 3; 5: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 178,  6, 12,  221, 0, 5, 569669, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 36; 3: 12; 4: 4; 5: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 247,  7, 10,  221, 0, 5, 557295, 13022.43, 1, 84.11, 0: 1; 1: 75; 2: 30; 3: 14; 4: 6; 5: 4; 
Bortezomib_Responses_in_U266_Human_Myelo,  89,  8,  9,  221, 0, 5, 570275, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 37; 3: 13; 4: 7; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 263,  7, 10,  221, 0, 5, 557299, 13022.43, 1, 84.11, 0: 1; 1: 79; 2: 25; 3: 13; 4: 7; 5: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 799,  6, 12,  221, 0, 5, 570706, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 32; 3: 15; 4: 6; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 719, 10,  7,  221, 0, 5, 557240, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 44; 3: 14; 4: 4; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 709,  6, 13,  221, 0, 5, 610237, 13022.43, 1, 84.11, 0: 1; 1: 69; 2: 41; 3: 9; 4: 7; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 303,  6, 12,  221, 0, 5, 570500, 13022.43, 1, 84.11, 0: 1; 1: 75; 2: 29; 3: 14; 4: 9; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 898,  7, 10,  221, 0, 5, 557113, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 33; 3: 19; 4: 3; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 364,  5, 14,  221, 0, 5, 557248, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 33; 3: 16; 4: 5; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 639,  8,  9,  221, 0, 5, 570028, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 34; 3: 13; 4: 8; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 164,  6, 12,  222, 0, 5, 570036, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 38; 3: 9; 4: 11; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 161,  7, 10,  222, 0, 5, 557097, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 40; 3: 8; 4: 7; 5: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 143,  5, 14,  222, 0, 5, 557203, 13022.43, 1, 84.11, 0: 1; 1: 67; 2: 42; 3: 11; 4: 7; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 891,  7, 11,  222, 0, 5, 604644, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 45; 3: 13; 4: 6; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 727,  6, 12,  222, 0, 5, 570299, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 34; 3: 12; 4: 9; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 669,  5, 14,  222, 0, 5, 556942, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 32; 3: 14; 4: 7; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  61,  6, 12,  222, 0, 5, 570481, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 37; 3: 13; 4: 6; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 602,  5, 16,  222, 0, 5, 622233, 13022.43, 1, 84.11, 0: 1; 1: 69; 2: 35; 3: 18; 4: 6; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 912,  5, 16,  222, 0, 5, 622494, 13022.43, 1, 84.11, 0: 1; 1: 69; 2: 37; 3: 14; 4: 8; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 933,  5, 16,  222, 0, 5, 623142, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 38; 3: 8; 4: 9; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 264,  9,  8,  222, 0, 5, 570292, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 37; 3: 13; 4: 6; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 863,  6, 12,  222, 0, 5, 570311, 13022.43, 1, 84.11, 0: 1; 1: 74; 2: 29; 3: 17; 4: 6; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 571,  5, 16,  222, 0, 5, 622684, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 34; 3: 14; 4: 5; 5: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 336,  7, 11,  222, 0, 5, 605124, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 44; 3: 16; 4: 3; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 939,  5, 16,  222, 0, 5, 622692, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 33; 3: 16; 4: 8; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 555,  7, 10,  223, 0, 5, 557290, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 33; 3: 12; 4: 7; 5: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 274,  6, 13,  223, 0, 5, 610282, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 36; 3: 11; 4: 8; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  99,  7, 11,  223, 0, 5, 605378, 13022.43, 1, 84.11, 0: 1; 1: 62; 2: 47; 3: 15; 4: 3; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  74,  7, 10,  223, 0, 5, 557177, 13022.43, 1, 84.11, 0: 1; 1: 69; 2: 35; 3: 17; 4: 7; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 600,  8,  9,  223, 0, 5, 570471, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 46; 3: 11; 4: 6; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 782,  5, 14,  223, 0, 5, 557124, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 34; 3: 17; 4: 6; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  63, 10,  7,  223, 0, 5, 557187, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 41; 3: 11; 4: 5; 5: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 447,  7, 10,  224, 0, 5, 557273, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 32; 3: 15; 4: 3; 5: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 533,  7, 10,  224, 0, 5, 557074, 13022.43, 1, 84.11, 0: 1; 1: 71; 2: 35; 3: 12; 4: 8; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 405,  6, 13,  224, 0, 5, 610403, 13022.43, 1, 84.11, 0: 1; 1: 64; 2: 46; 3: 10; 4: 7; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 187,  5, 14,  224, 0, 5, 557244, 13022.43, 1, 84.11, 0: 1; 1: 67; 2: 41; 3: 13; 4: 4; 5: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 502,  5, 14,  224, 0, 5, 557063, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 32; 3: 12; 4: 9; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 477,  5, 14,  224, 0, 5, 557107, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 41; 3: 15; 4: 4; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  17,  8,  9,  225, 0, 5, 570484, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 39; 3: 14; 4: 3; 5: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 995,  6, 12,  225, 0, 5, 570337, 13022.43, 1, 84.11, 0: 1; 1: 78; 2: 25; 3: 13; 4: 7; 5: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 838,  8,  9,  225, 0, 5, 570424, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 41; 3: 13; 4: 7; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 562,  8,  9,  225, 0, 5, 570310, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 43; 3: 11; 4: 9; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 191,  6, 12,  225, 0, 5, 570254, 13022.43, 1, 84.11, 0: 1; 1: 79; 2: 24; 3: 12; 4: 8; 5: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 832,  5, 14,  225, 0, 5, 557323, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 43; 3: 9; 4: 9; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  73,  6, 13,  225, 0, 5, 609503, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 39; 3: 13; 4: 5; 5: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 880,  6, 12,  225, 0, 5, 570173, 13022.43, 1, 84.11, 0: 1; 1: 72; 2: 30; 3: 18; 4: 6; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 711,  5, 14,  225, 0, 5, 557298, 13022.43, 1, 84.11, 0: 1; 1: 63; 2: 45; 3: 13; 4: 7; 5: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 242,  9,  8,  225, 0, 5, 570518, 13022.43, 1, 84.11, 0: 1; 1: 66; 2: 40; 3: 15; 4: 6; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 899,  7, 11,  226, 0, 5, 604575, 13022.43, 1, 84.11, 0: 1; 1: 62; 2: 49; 3: 8; 4: 8; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 984,  8,  9,  226, 0, 5, 570579, 13022.43, 0, 84.11, 0: 1; 1: 63; 2: 45; 3: 14; 4: 4; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 479,  6, 13,  226, 0, 5, 610766, 13022.43, 1, 84.11, 0: 1; 1: 62; 2: 45; 3: 16; 4: 4; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  66,  8,  9,  226, 0, 5, 570338, 13022.43, 1, 84.11, 0: 1; 1: 65; 2: 42; 3: 14; 4: 5; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 118, 10,  7,  226, 0, 5, 557141, 13022.43, 1, 84.11, 0: 1; 1: 68; 2: 37; 3: 15; 4: 6; 5: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 429,  7, 10,  226, 0, 5, 557250, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 36; 3: 14; 4: 3; 5: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 457,  5, 14,  226, 0, 5, 557296, 13022.43, 1, 84.11, 0: 1; 1: 74; 2: 31; 3: 11; 4: 8; 5: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 459,  8,  9,  226, 0, 5, 569545, 13022.43, 1, 84.11, 0: 1; 1: 70; 2: 37; 3: 10; 4: 8; 5: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 901,  5, 16,  226, 0, 5, 622116, 13022.43, 1, 84.11, 0: 1; 1: 69; 2: 36; 3: 13; 4: 9; 5: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 701,  5, 16,  227, 0, 5, 622325, 13022.43, 1, 84.11, 0: 1; 1: 73; 2: 32; 3: 12; 4: 6; 5: 6; 
