Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
04(519)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia, 974, 10, 10,  236, 0, 4, 795976, 55407.78, 0, 0.00, 0: 25; 1: 48; 2: 48; 3: 24; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 586,  8, 12,  268, 0, 5, 764332, 55407.78, 1, 87.21, 0: 25; 1: 38; 2: 45; 3: 31; 4: 8; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 272,  9, 11,  268, 0, 5, 786248, 55407.78, 0, 87.21, 0: 25; 1: 39; 2: 42; 3: 33; 4: 9; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 868, 12,  8,  268, 0, 5, 764410, 55407.78, 1, 87.21, 0: 25; 1: 41; 2: 46; 3: 24; 4: 7; 5: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 840, 11,  9,  269, 0, 5, 786104, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 50; 3: 25; 4: 8; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 861, 12,  8,  269, 0, 5, 764379, 55407.78, 0, 87.21, 0: 25; 1: 44; 2: 39; 3: 28; 4: 7; 5: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  85,  7, 15,  269, 0, 5, 826830, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 49; 3: 28; 4: 9; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 866,  8, 12,  269, 0, 5, 764363, 55407.78, 1, 87.21, 0: 25; 1: 41; 2: 40; 3: 31; 4: 10; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 183, 10, 10,  269, 0, 5, 795928, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 52; 3: 25; 4: 10; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 128,  7, 14,  269, 0, 5, 780751, 55407.78, 1, 87.21, 0: 25; 1: 38; 2: 44; 3: 31; 4: 10; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  74,  9, 11,  269, 0, 5, 786083, 55407.78, 1, 87.21, 0: 25; 1: 41; 2: 44; 3: 25; 4: 10; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 144, 12,  8,  269, 0, 5, 764369, 55407.78, 0, 87.21, 0: 25; 1: 37; 2: 46; 3: 31; 4: 8; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 302,  7, 13,  269, 0, 5, 728910, 55407.78, 0, 87.21, 0: 25; 1: 40; 2: 43; 3: 26; 4: 15; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 763, 11,  9,  270, 0, 5, 785992, 55407.78, 0, 87.21, 0: 25; 1: 37; 2: 47; 3: 28; 4: 10; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 520,  7, 15,  270, 0, 5, 826955, 55407.78, 0, 87.21, 0: 25; 1: 40; 2: 39; 3: 35; 4: 8; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 817,  7, 14,  270, 0, 5, 780905, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 47; 3: 30; 4: 10; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 298,  7, 13,  270, 0, 5, 728910, 55407.78, 1, 87.21, 0: 25; 1: 38; 2: 45; 3: 28; 4: 12; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 754,  7, 14,  270, 0, 5, 780694, 55407.78, 1, 87.21, 0: 25; 1: 42; 2: 40; 3: 28; 4: 11; 5: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 601, 11,  9,  270, 0, 5, 786137, 55407.78, 1, 87.21, 0: 25; 1: 41; 2: 47; 3: 20; 4: 10; 5: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 768, 11,  9,  270, 0, 5, 786194, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 53; 3: 22; 4: 8; 5: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  64,  7, 13,  271, 0, 5, 728910, 55407.78, 1, 87.21, 0: 25; 1: 40; 2: 43; 3: 25; 4: 15; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 993,  7, 15,  271, 0, 5, 826951, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 44; 3: 27; 4: 12; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 175, 12,  8,  271, 0, 5, 764376, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 50; 3: 27; 4: 6; 5: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 118, 12,  8,  271, 0, 5, 764473, 55407.78, 0, 87.21, 0: 25; 1: 36; 2: 46; 3: 32; 4: 8; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 253,  9, 11,  271, 0, 5, 786191, 55407.78, 1, 87.21, 0: 25; 1: 41; 2: 45; 3: 23; 4: 9; 5: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 962,  7, 13,  271, 0, 5, 728910, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 46; 3: 23; 4: 14; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 468,  7, 14,  272, 0, 5, 780606, 55407.78, 1, 87.21, 0: 25; 1: 38; 2: 47; 3: 25; 4: 10; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 322,  6, 17,  272, 0, 5, 805291, 55407.78, 1, 87.21, 0: 25; 1: 41; 2: 38; 3: 32; 4: 11; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 537,  6, 16,  272, 0, 5, 764366, 55407.78, 0, 87.21, 0: 25; 1: 38; 2: 46; 3: 24; 4: 15; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 349, 12,  8,  272, 0, 5, 764358, 55407.78, 0, 87.21, 0: 25; 1: 37; 2: 47; 3: 26; 4: 12; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 403,  6, 17,  272, 0, 5, 805191, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 43; 3: 33; 4: 10; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 704,  9, 11,  272, 0, 5, 786133, 55407.78, 0, 87.21, 0: 25; 1: 34; 2: 51; 3: 27; 4: 10; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 616,  7, 14,  273, 0, 5, 780774, 55407.78, 1, 87.21, 0: 25; 1: 38; 2: 41; 3: 34; 4: 9; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 784, 10, 10,  273, 0, 5, 795843, 55407.78, 1, 87.21, 0: 25; 1: 42; 2: 40; 3: 27; 4: 10; 5: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 901,  6, 18,  273, 0, 5, 846240, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 41; 3: 31; 4: 11; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 925,  6, 18,  273, 0, 5, 846145, 55407.78, 0, 87.21, 0: 25; 1: 38; 2: 40; 3: 34; 4: 12; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 364,  6, 17,  273, 0, 5, 804990, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 46; 3: 29; 4: 12; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 566,  7, 14,  274, 0, 5, 780879, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 52; 3: 23; 4: 9; 5: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 800,  7, 13,  274, 0, 5, 728910, 55407.78, 1, 87.21, 0: 25; 1: 33; 2: 51; 3: 29; 4: 8; 5: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   6,  6, 18,  274, 0, 5, 846099, 55407.78, 0, 87.21, 0: 25; 1: 35; 2: 46; 3: 30; 4: 13; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 921,  9, 11,  274, 0, 5, 786100, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 46; 3: 35; 4: 7; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 216,  7, 15,  274, 0, 5, 826719, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 51; 3: 24; 4: 10; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 664,  6, 17,  274, 0, 5, 805271, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 44; 3: 28; 4: 15; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 170,  7, 15,  274, 0, 5, 827107, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 42; 3: 29; 4: 11; 5: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 306,  7, 14,  275, 0, 5, 780691, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 46; 3: 28; 4: 12; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 266,  7, 14,  275, 0, 5, 780805, 55407.78, 1, 87.21, 0: 25; 1: 31; 2: 56; 3: 25; 4: 8; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 422,  7, 13,  275, 0, 5, 728910, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 38; 3: 35; 4: 10; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 446,  6, 16,  275, 0, 5, 764356, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 44; 3: 30; 4: 10; 5: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  73,  6, 18,  275, 0, 5, 846211, 55407.78, 0, 87.21, 0: 25; 1: 38; 2: 40; 3: 32; 4: 14; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 470,  7, 15,  275, 0, 5, 826757, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 40; 3: 32; 4: 10; 5: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 489,  7, 15,  275, 0, 5, 826692, 55407.78, 0, 87.21, 0: 25; 1: 36; 2: 43; 3: 32; 4: 13; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 438, 12,  8,  275, 0, 5, 764354, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 50; 3: 28; 4: 4; 5: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 565,  6, 18,  276, 0, 5, 846045, 55407.78, 1, 87.21, 0: 25; 1: 40; 2: 42; 3: 21; 4: 21; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  68,  7, 13,  276, 0, 5, 728910, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 42; 3: 32; 4: 11; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 576,  7, 15,  276, 0, 5, 826626, 55407.78, 1, 87.21, 0: 25; 1: 38; 2: 42; 3: 31; 4: 9; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  77,  7, 14,  276, 0, 5, 780802, 55407.78, 0, 87.21, 0: 25; 1: 35; 2: 44; 3: 34; 4: 9; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 557,  6, 16,  276, 0, 5, 764429, 55407.78, 0, 87.21, 0: 25; 1: 32; 2: 49; 3: 31; 4: 12; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 348,  6, 18,  276, 0, 5, 846464, 55407.78, 0, 87.21, 0: 25; 1: 35; 2: 45; 3: 31; 4: 12; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 476,  7, 15,  276, 0, 5, 826716, 55407.78, 1, 87.21, 0: 25; 1: 31; 2: 49; 3: 36; 4: 6; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 978,  7, 13,  277, 0, 5, 728910, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 47; 3: 29; 4: 9; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  48, 10, 10,  277, 0, 5, 795849, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 48; 3: 31; 4: 6; 5: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 939,  6, 17,  277, 0, 5, 804959, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 40; 3: 31; 4: 10; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  25,  7, 15,  277, 0, 5, 826677, 55407.78, 1, 87.21, 0: 25; 1: 40; 2: 40; 3: 29; 4: 10; 5: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 597,  6, 17,  277, 0, 5, 805151, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 42; 3: 31; 4: 12; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 338, 10, 10,  277, 0, 5, 796127, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 48; 3: 18; 4: 12; 5: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 885,  6, 18,  277, 0, 5, 846283, 55407.78, 0, 87.21, 0: 25; 1: 36; 2: 41; 3: 35; 4: 11; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 145,  7, 13,  278, 0, 5, 728910, 55407.78, 0, 87.21, 0: 25; 1: 33; 2: 46; 3: 32; 4: 13; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  42,  6, 16,  278, 0, 5, 764394, 55407.78, 0, 87.21, 0: 25; 1: 32; 2: 50; 3: 27; 4: 15; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 250,  6, 18,  279, 0, 5, 846412, 55407.78, 0, 87.21, 0: 25; 1: 38; 2: 43; 3: 24; 4: 17; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 114,  7, 13,  279, 0, 5, 728910, 55407.78, 1, 87.21, 0: 25; 1: 39; 2: 40; 3: 29; 4: 12; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 230,  7, 15,  279, 0, 5, 826635, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 40; 3: 34; 4: 10; 5: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 929,  7, 15,  279, 0, 5, 826885, 55407.78, 0, 87.21, 0: 25; 1: 30; 2: 48; 3: 36; 4: 10; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 995,  7, 14,  279, 0, 5, 780760, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 47; 3: 29; 4: 7; 5: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 871,  6, 18,  279, 0, 5, 846403, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 44; 3: 29; 4: 16; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 419,  6, 16,  279, 0, 5, 764383, 55407.78, 0, 87.21, 0: 25; 1: 34; 2: 45; 3: 30; 4: 15; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 337,  7, 15,  280, 0, 5, 826403, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 47; 3: 27; 4: 10; 5: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 753,  6, 17,  280, 0, 5, 805116, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 43; 3: 28; 4: 12; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 224,  6, 18,  281, 0, 5, 846462, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 43; 3: 32; 4: 11; 5: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 879,  7, 15,  281, 0, 5, 826695, 55407.78, 0, 87.21, 0: 25; 1: 38; 2: 39; 3: 31; 4: 13; 5: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 497,  6, 16,  281, 0, 5, 764378, 55407.78, 0, 87.21, 0: 25; 1: 37; 2: 40; 3: 30; 4: 16; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 890,  6, 18,  281, 0, 5, 846306, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 40; 3: 32; 4: 12; 5: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 580,  7, 14,  281, 0, 5, 780697, 55407.78, 0, 87.21, 0: 25; 1: 32; 2: 46; 3: 35; 4: 8; 5: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 971,  6, 16,  281, 0, 5, 764354, 55407.78, 0, 87.21, 0: 25; 1: 31; 2: 49; 3: 30; 4: 13; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 320,  7, 13,  282, 0, 5, 728910, 55407.78, 1, 87.21, 0: 25; 1: 33; 2: 47; 3: 28; 4: 14; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 682,  6, 17,  282, 0, 5, 805018, 55407.78, 0, 87.21, 0: 25; 1: 33; 2: 45; 3: 32; 4: 12; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 604,  6, 16,  282, 0, 5, 764432, 55407.78, 1, 87.21, 0: 25; 1: 36; 2: 41; 3: 33; 4: 10; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 199,  6, 18,  282, 0, 5, 846495, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 42; 3: 29; 4: 11; 5: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 648,  6, 18,  282, 0, 5, 846046, 55407.78, 0, 87.21, 0: 25; 1: 35; 2: 45; 3: 28; 4: 12; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 739,  6, 16,  282, 0, 5, 764433, 55407.78, 0, 87.21, 0: 25; 1: 34; 2: 43; 3: 33; 4: 12; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 166,  6, 17,  282, 0, 5, 804695, 55407.78, 1, 87.21, 0: 25; 1: 38; 2: 43; 3: 24; 4: 14; 5: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 824,  7, 13,  283, 0, 5, 728910, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 43; 3: 31; 4: 11; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 904,  6, 18,  284, 0, 5, 846350, 55407.78, 1, 87.21, 0: 25; 1: 31; 2: 42; 3: 40; 4: 11; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  70,  8, 12,  284, 0, 5, 764365, 55407.78, 1, 87.21, 0: 25; 1: 31; 2: 54; 3: 22; 4: 11; 5: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 838,  6, 16,  284, 0, 5, 764407, 55407.78, 1, 87.21, 0: 25; 1: 31; 2: 48; 3: 30; 4: 13; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 492,  6, 16,  284, 0, 5, 764311, 55407.78, 0, 87.21, 0: 25; 1: 37; 2: 42; 3: 29; 4: 9; 5: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 295,  7, 14,  285, 0, 5, 780753, 55407.78, 1, 87.21, 0: 25; 1: 37; 2: 40; 3: 31; 4: 10; 5: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  57,  7, 13,  285, 0, 5, 728910, 55407.78, 0, 87.21, 0: 25; 1: 32; 2: 47; 3: 31; 4: 9; 5: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 184,  6, 16,  285, 0, 5, 764410, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 43; 3: 31; 4: 13; 5: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 802,  6, 18,  286, 0, 5, 846251, 55407.78, 0, 87.21, 0: 25; 1: 27; 2: 51; 3: 33; 4: 12; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 832,  6, 16,  286, 0, 5, 764405, 55407.78, 1, 87.21, 0: 25; 1: 33; 2: 45; 3: 30; 4: 12; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 725,  6, 16,  286, 0, 5, 764404, 55407.78, 1, 87.21, 0: 25; 1: 34; 2: 40; 3: 36; 4: 11; 5: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 611,  6, 18,  286, 0, 5, 846202, 55407.78, 1, 87.21, 0: 25; 1: 31; 2: 47; 3: 30; 4: 14; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 509,  6, 18,  287, 0, 5, 846550, 55407.78, 0, 87.21, 0: 25; 1: 35; 2: 36; 3: 39; 4: 12; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 516,  7, 15,  287, 0, 5, 826637, 55407.78, 1, 87.21, 0: 25; 1: 32; 2: 44; 3: 34; 4: 10; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 657,  6, 17,  288, 0, 5, 805213, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 40; 3: 31; 4: 15; 5: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 453,  6, 18,  288, 0, 5, 846160, 55407.78, 0, 87.21, 0: 25; 1: 29; 2: 49; 3: 29; 4: 16; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 283,  7, 14,  289, 0, 5, 780718, 55407.78, 0, 87.21, 0: 25; 1: 29; 2: 44; 3: 38; 4: 12; 5: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 380,  6, 16,  289, 0, 5, 764328, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 42; 3: 27; 4: 16; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 181,  6, 16,  289, 0, 5, 764357, 55407.78, 1, 87.21, 0: 25; 1: 35; 2: 38; 3: 33; 4: 16; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 188,  6, 16,  291, 0, 5, 764289, 55407.78, 1, 87.21, 0: 25; 1: 29; 2: 48; 3: 32; 4: 10; 5: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 443,  6, 18,  292, 0, 5, 846311, 55407.78, 1, 87.21, 0: 25; 1: 31; 2: 43; 3: 34; 4: 12; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 969,  6, 18,  293, 0, 5, 846159, 55407.78, 0, 87.21, 0: 25; 1: 29; 2: 47; 3: 30; 4: 15; 5: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 208, 11,  9,  293, 0, 5, 786092, 55407.78, 1, 87.21, 0: 25; 1: 28; 2: 51; 3: 27; 4: 13; 5: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 716,  6, 18,  293, 0, 5, 846140, 55407.78, 0, 87.21, 0: 25; 1: 28; 2: 48; 3: 30; 4: 16; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 444,  6, 17,  294, 0, 5, 805257, 55407.78, 0, 87.21, 0: 25; 1: 36; 2: 42; 3: 24; 4: 13; 5: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 678,  6, 17,  295, 0, 5, 805233, 55407.78, 0, 87.21, 0: 25; 1: 30; 2: 41; 3: 36; 4: 15; 5: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 665,  6, 18,  296, 0, 5, 846105, 55407.78, 0, 87.21, 0: 25; 1: 24; 2: 49; 3: 35; 4: 16; 5: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 336,  7, 13,  297, 0, 5, 728910, 55407.78, 0, 87.21, 0: 25; 1: 29; 2: 45; 3: 32; 4: 13; 5: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 410,  6, 17,  298, 0, 5, 805258, 55407.78, 1, 87.21, 0: 25; 1: 27; 2: 48; 3: 30; 4: 15; 5: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 529,  6, 17,  300, 0, 5, 805140, 55407.78, 0, 87.21, 0: 25; 1: 34; 2: 32; 3: 41; 4: 11; 5: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  87,  6, 18,  303, 0, 5, 846416, 55407.78, 1, 87.21, 0: 25; 1: 28; 2: 44; 3: 31; 4: 16; 5: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 783,  6, 16,  308, 0, 5, 764441, 55407.78, 1, 87.21, 0: 25; 1: 31; 2: 40; 3: 29; 4: 15; 5: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 399, 12,  8,  249, 0, 6, 764355, 55407.78, 1, 87.21, 0: 25; 1: 45; 2: 47; 3: 26; 4: 4; 5: 2; 6: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 333,  8, 12,  251, 0, 6, 764408, 55407.78, 1, 87.21, 0: 25; 1: 46; 2: 45; 3: 23; 4: 10; 6: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  15,  8, 12,  253, 0, 6, 764345, 55407.78, 1, 87.21, 0: 25; 1: 44; 2: 47; 3: 26; 4: 4; 5: 3; 6: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 634,  8, 12,  254, 0, 6, 764355, 55407.78, 1, 87.21, 0: 25; 1: 45; 2: 48; 3: 19; 4: 10; 5: 2; 6: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 652, 10, 10,  254, 0, 6, 796105, 55407.78, 1, 87.21, 0: 25; 1: 44; 2: 47; 3: 24; 4: 7; 5: 2; 6: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 530, 10, 10,  254, 0, 6, 796053, 55407.78, 1, 87.21, 0: 25; 1: 51; 2: 39; 3: 22; 4: 8; 5: 3; 6: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 538, 11,  9,  254, 0, 6, 785938, 55407.78, 1, 87.21, 0: 25; 1: 44; 2: 45; 3: 27; 4: 7; 5: 1; 6: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 549, 10, 10,  255, 0, 6, 796091, 55407.78, 0, 87.21, 0: 25; 1: 47; 2: 45; 3: 19; 4: 11; 5: 1; 6: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 117, 12,  8,  255, 0, 6, 764408, 55407.78, 1, 87.21, 0: 25; 1: 47; 2: 46; 3: 18; 4: 9; 5: 4; 6: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 714, 10, 10,  255, 0, 6, 795979, 55407.78, 1, 87.21, 0: 25; 1: 44; 2: 47; 3: 25; 4: 4; 5: 4; 6: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 632, 10, 10,  256, 0, 6, 796002, 55407.78, 1, 87.21, 0: 25; 1: 49; 2: 39; 3: 24; 4: 9; 5: 3; 6: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 869, 11,  9,  256, 0, 6, 786133, 55407.78, 1, 87.21, 0: 25; 1: 44; 2: 46; 3: 25; 4: 6; 5: 3; 6: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 505,  8, 12,  257, 0, 6, 764368, 55407.78, 1, 87.21, 0: 25; 1: 43; 2: 47; 3: 25; 4: 6; 5: 3; 6: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 965,  8, 12,  257, 0, 6, 764377, 55407.78, 1, 87.21, 0: 25; 1: 44; 2: 42; 3: 30; 4: 7; 5: 1; 6: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 745,  8, 12,  257, 0, 6, 764476, 55407.78, 1, 87.21, 0: 25; 1: 48; 2: 41; 3: 22; 4: 10; 5: 3; 6: 1; 
