Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
3(148)
Melhor resultado nxn: EGFR_&_ErbB_Signaling, 775, 12,  9,  336, 1, 3, 865794, 26664.03, 0, 0.00, 1: 133; 2: 79; 3: 15; 
EGFR_&_ErbB_Signaling, 112,  6, 18,  373, 1, 5, 865769, 26664.03, 1, 159.63, 1: 138; 2: 53; 3: 19; 4: 13; 5: 4; 
EGFR_&_ErbB_Signaling, 224,  8, 14,  373, 1, 5, 891184, 26664.03, 1, 159.63, 1: 131; 2: 63; 3: 20; 4: 9; 5: 4; 
EGFR_&_ErbB_Signaling, 770,  6, 20,  373, 1, 5, 947724, 26664.03, 1, 159.63, 1: 126; 2: 68; 3: 22; 4: 10; 5: 1; 
EGFR_&_ErbB_Signaling, 660,  6, 20,  373, 1, 5, 947848, 26664.03, 1, 159.63, 1: 129; 2: 66; 3: 19; 4: 10; 5: 3; 
EGFR_&_ErbB_Signaling, 347, 11, 10,  373, 1, 5, 879027, 26664.03, 1, 159.63, 1: 129; 2: 70; 3: 13; 4: 10; 5: 5; 
EGFR_&_ErbB_Signaling, 572,  8, 14,  373, 1, 5, 891082, 26664.03, 1, 159.63, 1: 124; 2: 72; 3: 20; 4: 10; 5: 1; 
EGFR_&_ErbB_Signaling, 470,  7, 16,  373, 1, 5, 890880, 26664.03, 1, 159.63, 1: 135; 2: 55; 3: 24; 4: 9; 5: 4; 
EGFR_&_ErbB_Signaling, 841,  9, 12,  373, 1, 5, 865747, 26664.03, 1, 159.63, 1: 129; 2: 66; 3: 18; 4: 12; 5: 2; 
EGFR_&_ErbB_Signaling, 997,  7, 15,  373, 1, 5, 840840, 26664.03, 1, 159.63, 1: 132; 2: 61; 3: 21; 4: 9; 5: 4; 
EGFR_&_ErbB_Signaling, 142,  6, 20,  373, 1, 5, 947624, 26664.03, 1, 159.63, 1: 126; 2: 72; 3: 15; 4: 12; 5: 2; 
EGFR_&_ErbB_Signaling,  98,  6, 20,  373, 1, 5, 947602, 26664.03, 1, 159.63, 1: 131; 2: 59; 3: 27; 4: 7; 5: 3; 
EGFR_&_ErbB_Signaling, 661,  7, 16,  374, 1, 5, 891151, 26664.03, 1, 159.63, 1: 129; 2: 67; 3: 17; 4: 10; 5: 4; 
EGFR_&_ErbB_Signaling, 223,  7, 15,  374, 1, 5, 840840, 26664.03, 1, 159.63, 1: 130; 2: 65; 3: 18; 4: 10; 5: 4; 
EGFR_&_ErbB_Signaling, 839, 11, 10,  374, 1, 5, 879025, 26664.03, 1, 159.63, 1: 132; 2: 61; 3: 19; 4: 12; 5: 3; 
EGFR_&_ErbB_Signaling, 208,  8, 14,  374, 1, 5, 891150, 26664.03, 1, 159.63, 1: 127; 2: 70; 3: 18; 4: 7; 5: 5; 
EGFR_&_ErbB_Signaling, 380,  7, 17,  374, 1, 5, 940501, 26664.03, 1, 159.63, 1: 131; 2: 60; 3: 23; 4: 11; 5: 2; 
EGFR_&_ErbB_Signaling, 693,  8, 13,  374, 1, 5, 830180, 26664.03, 1, 159.63, 1: 133; 2: 57; 3: 26; 4: 6; 5: 5; 
EGFR_&_ErbB_Signaling, 856,  7, 17,  374, 1, 5, 940095, 26664.03, 0, 159.63, 1: 129; 2: 65; 3: 20; 4: 10; 5: 3; 
EGFR_&_ErbB_Signaling, 639,  7, 15,  374, 1, 5, 840840, 26664.03, 1, 159.63, 1: 127; 2: 66; 3: 22; 4: 11; 5: 1; 
EGFR_&_ErbB_Signaling, 795,  9, 12,  374, 1, 5, 865735, 26664.03, 1, 159.63, 1: 131; 2: 63; 3: 18; 4: 12; 5: 3; 
EGFR_&_ErbB_Signaling, 590, 11, 10,  374, 1, 5, 879034, 26664.03, 1, 159.63, 1: 128; 2: 64; 3: 26; 4: 5; 5: 4; 
EGFR_&_ErbB_Signaling, 810,  9, 12,  374, 1, 5, 865817, 26664.03, 1, 159.63, 1: 128; 2: 69; 3: 15; 4: 12; 5: 3; 
EGFR_&_ErbB_Signaling, 674,  7, 17,  374, 1, 5, 940309, 26664.03, 1, 159.63, 1: 133; 2: 63; 3: 17; 4: 6; 5: 8; 
EGFR_&_ErbB_Signaling,  93,  7, 16,  374, 1, 5, 891052, 26664.03, 1, 159.63, 1: 128; 2: 70; 3: 14; 4: 11; 5: 4; 
EGFR_&_ErbB_Signaling, 520,  7, 17,  374, 1, 5, 940448, 26664.03, 1, 159.63, 1: 132; 2: 66; 3: 12; 4: 11; 5: 6; 
EGFR_&_ErbB_Signaling, 965,  8, 13,  374, 1, 5, 830180, 26664.03, 1, 159.63, 1: 128; 2: 68; 3: 17; 4: 11; 5: 3; 
EGFR_&_ErbB_Signaling, 189,  6, 20,  375, 1, 5, 947940, 26664.03, 1, 159.63, 1: 135; 2: 58; 3: 18; 4: 10; 5: 6; 
EGFR_&_ErbB_Signaling, 890, 11, 10,  375, 1, 5, 879030, 26664.03, 1, 159.63, 1: 128; 2: 67; 3: 18; 4: 11; 5: 3; 
EGFR_&_ErbB_Signaling, 185, 10, 11,  375, 1, 5, 879092, 26664.03, 1, 159.63, 1: 129; 2: 68; 3: 16; 4: 8; 5: 6; 
EGFR_&_ErbB_Signaling, 202,  9, 12,  375, 1, 5, 865854, 26664.03, 1, 159.63, 1: 127; 2: 67; 3: 21; 4: 9; 5: 3; 
EGFR_&_ErbB_Signaling, 760,  8, 14,  375, 1, 5, 890969, 26664.03, 1, 159.63, 1: 130; 2: 65; 3: 16; 4: 13; 5: 3; 
EGFR_&_ErbB_Signaling, 307,  7, 17,  375, 1, 5, 940438, 26664.03, 1, 159.63, 1: 133; 2: 61; 3: 17; 4: 11; 5: 5; 
EGFR_&_ErbB_Signaling, 164,  9, 12,  375, 1, 5, 865839, 26664.03, 1, 159.63, 1: 131; 2: 61; 3: 22; 4: 9; 5: 4; 
EGFR_&_ErbB_Signaling, 132,  7, 17,  375, 1, 5, 940647, 26664.03, 1, 159.63, 1: 130; 2: 64; 3: 20; 4: 8; 5: 5; 
EGFR_&_ErbB_Signaling,  97,  7, 16,  375, 1, 5, 890949, 26664.03, 1, 159.63, 1: 133; 2: 62; 3: 14; 4: 14; 5: 4; 
EGFR_&_ErbB_Signaling, 360, 12,  9,  375, 1, 5, 865798, 26664.03, 1, 159.63, 1: 125; 2: 72; 3: 18; 4: 8; 5: 4; 
EGFR_&_ErbB_Signaling, 250,  9, 12,  375, 1, 5, 865750, 26664.03, 1, 159.63, 1: 133; 2: 61; 3: 19; 4: 7; 5: 7; 
EGFR_&_ErbB_Signaling, 557,  7, 17,  375, 1, 5, 940536, 26664.03, 1, 159.63, 1: 132; 2: 60; 3: 20; 4: 12; 5: 3; 
EGFR_&_ErbB_Signaling, 767,  6, 20,  376, 1, 5, 947442, 26664.03, 1, 159.63, 1: 131; 2: 63; 3: 17; 4: 12; 5: 4; 
EGFR_&_ErbB_Signaling, 786, 10, 11,  376, 1, 5, 879094, 26664.03, 1, 159.63, 1: 123; 2: 76; 3: 17; 4: 5; 5: 6; 
EGFR_&_ErbB_Signaling, 163, 11, 10,  376, 1, 5, 879069, 26664.03, 1, 159.63, 1: 130; 2: 62; 3: 21; 4: 11; 5: 3; 
EGFR_&_ErbB_Signaling, 941,  7, 16,  376, 1, 5, 891173, 26664.03, 1, 159.63, 1: 128; 2: 66; 3: 18; 4: 13; 5: 2; 
EGFR_&_ErbB_Signaling, 424,  7, 17,  376, 1, 5, 940710, 26664.03, 1, 159.63, 1: 127; 2: 70; 3: 16; 4: 9; 5: 5; 
EGFR_&_ErbB_Signaling, 766,  7, 15,  376, 1, 5, 840840, 26664.03, 1, 159.63, 1: 131; 2: 59; 3: 23; 4: 12; 5: 2; 
EGFR_&_ErbB_Signaling, 829, 12,  9,  377, 1, 5, 865674, 26664.03, 1, 159.63, 1: 132; 2: 64; 3: 13; 4: 12; 5: 6; 
EGFR_&_ErbB_Signaling, 107,  6, 19,  377, 1, 5, 908006, 26664.03, 1, 159.63, 1: 124; 2: 70; 3: 20; 4: 12; 5: 1; 
EGFR_&_ErbB_Signaling, 312,  6, 20,  377, 1, 5, 947667, 26664.03, 1, 159.63, 1: 130; 2: 64; 3: 17; 4: 12; 5: 4; 
EGFR_&_ErbB_Signaling, 842,  7, 17,  377, 1, 5, 940702, 26664.03, 1, 159.63, 1: 131; 2: 64; 3: 17; 4: 8; 5: 7; 
EGFR_&_ErbB_Signaling, 622, 11, 10,  377, 1, 5, 879016, 26664.03, 1, 159.63, 1: 132; 2: 63; 3: 14; 4: 13; 5: 5; 
EGFR_&_ErbB_Signaling, 161,  6, 20,  377, 1, 5, 947948, 26664.03, 1, 159.63, 1: 127; 2: 66; 3: 20; 4: 12; 5: 2; 
EGFR_&_ErbB_Signaling, 718, 11, 10,  377, 1, 5, 878983, 26664.03, 1, 159.63, 1: 126; 2: 69; 3: 18; 4: 11; 5: 3; 
EGFR_&_ErbB_Signaling, 566, 12,  9,  377, 1, 5, 865816, 26664.03, 1, 159.63, 1: 132; 2: 61; 3: 18; 4: 11; 5: 5; 
EGFR_&_ErbB_Signaling, 375,  6, 19,  377, 1, 5, 908158, 26664.03, 1, 159.63, 1: 131; 2: 60; 3: 22; 4: 10; 5: 4; 
EGFR_&_ErbB_Signaling, 958,  7, 15,  377, 1, 5, 840840, 26664.03, 1, 159.63, 1: 128; 2: 67; 3: 18; 4: 9; 5: 5; 
EGFR_&_ErbB_Signaling, 551,  7, 17,  377, 1, 5, 940420, 26664.03, 1, 159.63, 1: 128; 2: 67; 3: 18; 4: 9; 5: 5; 
EGFR_&_ErbB_Signaling, 822,  9, 12,  378, 1, 5, 865769, 26664.03, 1, 159.63, 1: 127; 2: 68; 3: 17; 4: 11; 5: 4; 
EGFR_&_ErbB_Signaling,  19,  7, 15,  378, 1, 5, 840840, 26664.03, 1, 159.63, 1: 125; 2: 71; 3: 18; 4: 8; 5: 5; 
EGFR_&_ErbB_Signaling, 815,  7, 15,  378, 1, 5, 840840, 26664.03, 1, 159.63, 1: 126; 2: 70; 3: 18; 4: 7; 5: 6; 
EGFR_&_ErbB_Signaling,  74,  6, 18,  378, 1, 5, 865859, 26664.03, 1, 159.63, 1: 133; 2: 57; 3: 23; 4: 8; 5: 6; 
EGFR_&_ErbB_Signaling, 215,  8, 14,  378, 1, 5, 891025, 26664.03, 1, 159.63, 1: 127; 2: 67; 3: 19; 4: 10; 5: 4; 
EGFR_&_ErbB_Signaling, 444,  6, 18,  378, 1, 5, 865740, 26664.03, 1, 159.63, 1: 132; 2: 62; 3: 16; 4: 11; 5: 6; 
EGFR_&_ErbB_Signaling, 610,  6, 20,  378, 1, 5, 947530, 26664.03, 1, 159.63, 1: 128; 2: 65; 3: 18; 4: 14; 5: 2; 
EGFR_&_ErbB_Signaling, 291, 10, 11,  378, 1, 5, 879085, 26664.03, 1, 159.63, 1: 126; 2: 64; 3: 26; 4: 9; 5: 2; 
EGFR_&_ErbB_Signaling, 914,  6, 20,  378, 1, 5, 948030, 26664.03, 1, 159.63, 1: 132; 2: 60; 3: 20; 4: 9; 5: 6; 
EGFR_&_ErbB_Signaling, 956,  8, 14,  378, 1, 5, 891181, 26664.03, 1, 159.63, 1: 132; 2: 61; 3: 18; 4: 10; 5: 6; 
EGFR_&_ErbB_Signaling, 625,  8, 14,  378, 1, 5, 890993, 26664.03, 1, 159.63, 1: 131; 2: 59; 3: 22; 4: 12; 5: 3; 
EGFR_&_ErbB_Signaling, 190,  8, 14,  378, 1, 5, 891018, 26664.03, 1, 159.63, 1: 131; 2: 62; 3: 19; 4: 9; 5: 6; 
EGFR_&_ErbB_Signaling, 513,  8, 14,  379, 1, 5, 891212, 26664.03, 1, 159.63, 1: 128; 2: 66; 3: 17; 4: 12; 5: 4; 
EGFR_&_ErbB_Signaling, 134,  7, 17,  379, 1, 5, 940506, 26664.03, 1, 159.63, 1: 133; 2: 57; 3: 19; 4: 15; 5: 3; 
EGFR_&_ErbB_Signaling, 906,  7, 17,  379, 1, 5, 940337, 26664.03, 1, 159.63, 1: 132; 2: 61; 3: 18; 4: 9; 5: 7; 
EGFR_&_ErbB_Signaling, 996,  8, 14,  379, 1, 5, 891062, 26664.03, 1, 159.63, 1: 128; 2: 66; 3: 16; 4: 14; 5: 3; 
EGFR_&_ErbB_Signaling, 139,  6, 20,  379, 1, 5, 947578, 26664.03, 1, 159.63, 1: 128; 2: 67; 3: 16; 4: 11; 5: 5; 
EGFR_&_ErbB_Signaling, 867,  7, 17,  379, 1, 5, 940476, 26664.03, 1, 159.63, 1: 128; 2: 64; 3: 22; 4: 8; 5: 5; 
EGFR_&_ErbB_Signaling, 613,  7, 16,  379, 1, 5, 891190, 26664.03, 1, 159.63, 1: 124; 2: 70; 3: 21; 4: 8; 5: 4; 
EGFR_&_ErbB_Signaling, 263,  6, 18,  379, 1, 5, 865821, 26664.03, 1, 159.63, 1: 128; 2: 64; 3: 21; 4: 10; 5: 4; 
EGFR_&_ErbB_Signaling, 260, 11, 10,  379, 1, 5, 879050, 26664.03, 1, 159.63, 1: 126; 2: 67; 3: 21; 4: 9; 5: 4; 
EGFR_&_ErbB_Signaling, 526,  6, 19,  379, 1, 5, 908064, 26664.03, 1, 159.63, 1: 133; 2: 57; 3: 21; 4: 11; 5: 5; 
EGFR_&_ErbB_Signaling, 781,  6, 20,  379, 1, 5, 947733, 26664.03, 1, 159.63, 1: 132; 2: 60; 3: 17; 4: 14; 5: 4; 
EGFR_&_ErbB_Signaling,  89,  7, 17,  379, 1, 5, 940549, 26664.03, 1, 159.63, 1: 131; 2: 59; 3: 21; 4: 13; 5: 3; 
EGFR_&_ErbB_Signaling,  88,  7, 16,  379, 1, 5, 891141, 26664.03, 1, 159.63, 1: 132; 2: 60; 3: 17; 4: 14; 5: 4; 
EGFR_&_ErbB_Signaling,  75,  6, 20,  379, 1, 5, 947770, 26664.03, 1, 159.63, 1: 132; 2: 58; 3: 22; 4: 10; 5: 5; 
EGFR_&_ErbB_Signaling, 171,  7, 17,  379, 1, 5, 940586, 26664.03, 1, 159.63, 1: 127; 2: 69; 3: 15; 4: 11; 5: 5; 
EGFR_&_ErbB_Signaling, 367,  7, 16,  379, 1, 5, 891212, 26664.03, 1, 159.63, 1: 131; 2: 61; 3: 20; 4: 9; 5: 6; 
EGFR_&_ErbB_Signaling, 999,  7, 16,  380, 1, 5, 891118, 26664.03, 1, 159.63, 1: 132; 2: 58; 3: 21; 4: 11; 5: 5; 
EGFR_&_ErbB_Signaling, 477,  6, 20,  380, 1, 5, 947832, 26664.03, 1, 159.63, 1: 126; 2: 66; 3: 21; 4: 11; 5: 3; 
EGFR_&_ErbB_Signaling, 683,  6, 19,  380, 1, 5, 908127, 26664.03, 1, 159.63, 1: 126; 2: 67; 3: 21; 4: 8; 5: 5; 
EGFR_&_ErbB_Signaling, 128,  7, 16,  380, 1, 5, 891080, 26664.03, 1, 159.63, 1: 129; 2: 67; 3: 12; 4: 14; 5: 5; 
EGFR_&_ErbB_Signaling, 338,  6, 20,  380, 1, 5, 947482, 26664.03, 1, 159.63, 1: 132; 2: 60; 3: 16; 4: 15; 5: 4; 
EGFR_&_ErbB_Signaling, 353, 12,  9,  380, 1, 5, 865800, 26664.03, 1, 159.63, 1: 129; 2: 65; 3: 14; 4: 16; 5: 3; 
EGFR_&_ErbB_Signaling, 794, 11, 10,  380, 1, 5, 878892, 26664.03, 1, 159.63, 1: 129; 2: 64; 3: 18; 4: 11; 5: 5; 
EGFR_&_ErbB_Signaling, 290,  6, 20,  380, 1, 5, 948005, 26664.03, 1, 159.63, 1: 130; 2: 60; 3: 23; 4: 9; 5: 5; 
EGFR_&_ErbB_Signaling, 271,  7, 17,  380, 1, 5, 940559, 26664.03, 1, 159.63, 1: 134; 2: 59; 3: 13; 4: 16; 5: 5; 
EGFR_&_ErbB_Signaling, 368, 12,  9,  380, 1, 5, 865775, 26664.03, 1, 159.63, 1: 134; 2: 59; 3: 14; 4: 14; 5: 6; 
EGFR_&_ErbB_Signaling, 236, 12,  9,  380, 1, 5, 865836, 26664.03, 1, 159.63, 1: 126; 2: 66; 3: 20; 4: 13; 5: 2; 
EGFR_&_ErbB_Signaling, 873,  6, 19,  380, 1, 5, 908112, 26664.03, 1, 159.63, 1: 133; 2: 55; 3: 24; 4: 10; 5: 5; 
EGFR_&_ErbB_Signaling, 387, 10, 11,  380, 1, 5, 879124, 26664.03, 1, 159.63, 1: 133; 2: 56; 3: 22; 4: 11; 5: 5; 
EGFR_&_ErbB_Signaling, 633,  8, 14,  380, 1, 5, 890965, 26664.03, 1, 159.63, 1: 126; 2: 68; 3: 19; 4: 9; 5: 5; 
EGFR_&_ErbB_Signaling, 573, 11, 10,  380, 1, 5, 879011, 26664.03, 1, 159.63, 1: 131; 2: 62; 3: 18; 4: 9; 5: 7; 
EGFR_&_ErbB_Signaling,  63,  7, 17,  380, 1, 5, 940500, 26664.03, 1, 159.63, 1: 125; 2: 69; 3: 20; 4: 8; 5: 5; 
EGFR_&_ErbB_Signaling,  83, 12,  9,  380, 1, 5, 865779, 26664.03, 1, 159.63, 1: 130; 2: 64; 3: 16; 4: 11; 5: 6; 
EGFR_&_ErbB_Signaling, 654, 10, 11,  380, 1, 5, 879021, 26664.03, 1, 159.63, 1: 126; 2: 70; 3: 15; 4: 11; 5: 5; 
EGFR_&_ErbB_Signaling,  66,  6, 19,  381, 1, 5, 908184, 26664.03, 1, 159.63, 1: 129; 2: 66; 3: 13; 4: 14; 5: 5; 
EGFR_&_ErbB_Signaling, 514,  6, 20,  381, 1, 5, 947613, 26664.03, 1, 159.63, 1: 132; 2: 55; 3: 24; 4: 13; 5: 3; 
EGFR_&_ErbB_Signaling, 519,  6, 20,  381, 1, 5, 947877, 26664.03, 1, 159.63, 1: 130; 2: 62; 3: 19; 4: 10; 5: 6; 
EGFR_&_ErbB_Signaling, 450,  6, 20,  381, 1, 5, 947873, 26664.03, 1, 159.63, 1: 135; 2: 53; 3: 22; 4: 11; 5: 6; 
EGFR_&_ErbB_Signaling,  87,  7, 15,  381, 1, 5, 840840, 26664.03, 1, 159.63, 1: 128; 2: 62; 3: 23; 4: 10; 5: 4; 
EGFR_&_ErbB_Signaling, 737,  6, 18,  381, 1, 5, 865824, 26664.03, 1, 159.63, 1: 126; 2: 66; 3: 22; 4: 8; 5: 5; 
EGFR_&_ErbB_Signaling, 529,  8, 14,  381, 1, 5, 891062, 26664.03, 1, 159.63, 1: 128; 2: 65; 3: 18; 4: 11; 5: 5; 
EGFR_&_ErbB_Signaling, 406, 12,  9,  381, 1, 5, 865772, 26664.03, 1, 159.63, 1: 132; 2: 56; 3: 23; 4: 12; 5: 4; 
EGFR_&_ErbB_Signaling, 327,  6, 20,  381, 1, 5, 947486, 26664.03, 1, 159.63, 1: 127; 2: 65; 3: 21; 4: 9; 5: 5; 
EGFR_&_ErbB_Signaling, 240,  8, 14,  381, 1, 5, 891181, 26664.03, 1, 159.63, 1: 128; 2: 64; 3: 20; 4: 10; 5: 5; 
EGFR_&_ErbB_Signaling, 246,  7, 16,  381, 1, 5, 891166, 26664.03, 1, 159.63, 1: 130; 2: 63; 3: 18; 4: 9; 5: 7; 
EGFR_&_ErbB_Signaling, 630,  8, 14,  381, 1, 5, 891099, 26664.03, 1, 159.63, 1: 133; 2: 59; 3: 17; 4: 11; 5: 7; 
EGFR_&_ErbB_Signaling, 587,  6, 20,  381, 1, 5, 947807, 26664.03, 1, 159.63, 1: 131; 2: 57; 3: 23; 4: 13; 5: 3; 
EGFR_&_ErbB_Signaling, 334, 10, 11,  381, 1, 5, 879117, 26664.03, 1, 159.63, 1: 130; 2: 64; 3: 15; 4: 12; 5: 6; 
EGFR_&_ErbB_Signaling, 279,  9, 12,  382, 1, 5, 865988, 26664.03, 1, 159.63, 1: 127; 2: 64; 3: 21; 4: 11; 5: 4; 
EGFR_&_ErbB_Signaling, 162,  7, 16,  382, 1, 5, 891025, 26664.03, 1, 159.63, 1: 130; 2: 63; 3: 17; 4: 10; 5: 7; 
EGFR_&_ErbB_Signaling, 111,  7, 17,  382, 1, 5, 940492, 26664.03, 1, 159.63, 1: 130; 2: 64; 3: 13; 4: 15; 5: 5; 
EGFR_&_ErbB_Signaling, 428,  6, 19,  382, 1, 5, 908199, 26664.03, 1, 159.63, 1: 127; 2: 66; 3: 19; 4: 9; 5: 6; 
EGFR_&_ErbB_Signaling, 184, 12,  9,  382, 1, 5, 865810, 26664.03, 1, 159.63, 1: 134; 2: 55; 3: 20; 4: 12; 5: 6; 
EGFR_&_ErbB_Signaling, 764,  7, 15,  382, 1, 5, 840840, 26664.03, 1, 159.63, 1: 129; 2: 62; 3: 21; 4: 9; 5: 6; 
EGFR_&_ErbB_Signaling, 646,  6, 20,  382, 1, 5, 947755, 26664.03, 1, 159.63, 1: 127; 2: 62; 3: 24; 4: 11; 5: 3; 
EGFR_&_ErbB_Signaling, 911,  8, 13,  382, 1, 5, 830180, 26664.03, 1, 159.63, 1: 128; 2: 62; 3: 23; 4: 9; 5: 5; 
EGFR_&_ErbB_Signaling, 913,  6, 19,  382, 1, 5, 908396, 26664.03, 1, 159.63, 1: 126; 2: 65; 3: 24; 4: 6; 5: 6; 
EGFR_&_ErbB_Signaling,  54,  9, 12,  382, 1, 5, 865847, 26664.03, 1, 159.63, 1: 126; 2: 62; 3: 26; 4: 11; 5: 2; 
EGFR_&_ErbB_Signaling, 358,  6, 19,  382, 1, 5, 908482, 26664.03, 1, 159.63, 1: 131; 2: 60; 3: 21; 4: 7; 5: 8; 
EGFR_&_ErbB_Signaling, 831, 10, 11,  382, 1, 5, 878947, 26664.03, 1, 159.63, 1: 131; 2: 55; 3: 27; 4: 10; 5: 4; 
EGFR_&_ErbB_Signaling, 823,  6, 20,  382, 1, 5, 947501, 26664.03, 1, 159.63, 1: 133; 2: 57; 3: 20; 4: 10; 5: 7; 
EGFR_&_ErbB_Signaling, 792,  8, 14,  382, 1, 5, 891088, 26664.03, 1, 159.63, 1: 132; 2: 60; 3: 17; 4: 11; 5: 7; 
EGFR_&_ErbB_Signaling, 994,  8, 14,  382, 1, 5, 890975, 26664.03, 1, 159.63, 1: 130; 2: 61; 3: 18; 4: 14; 5: 4; 
EGFR_&_ErbB_Signaling, 796,  6, 19,  382, 1, 5, 908310, 26664.03, 1, 159.63, 1: 134; 2: 53; 3: 22; 4: 14; 5: 4; 
EGFR_&_ErbB_Signaling, 676,  6, 18,  382, 1, 5, 865750, 26664.03, 1, 159.63, 1: 121; 2: 74; 3: 19; 4: 9; 5: 4; 
EGFR_&_ErbB_Signaling, 925, 12,  9,  382, 1, 5, 865830, 26664.03, 1, 159.63, 1: 132; 2: 55; 3: 25; 4: 10; 5: 5; 
EGFR_&_ErbB_Signaling, 905,  6, 20,  382, 1, 5, 947814, 26664.03, 1, 159.63, 1: 129; 2: 66; 3: 14; 4: 11; 5: 7; 
EGFR_&_ErbB_Signaling, 109,  9, 12,  382, 1, 5, 865840, 26664.03, 1, 159.63, 1: 127; 2: 63; 3: 21; 4: 14; 5: 2; 
EGFR_&_ErbB_Signaling, 148,  8, 13,  382, 1, 5, 830180, 26664.03, 1, 159.63, 1: 129; 2: 64; 3: 13; 4: 19; 5: 2; 
EGFR_&_ErbB_Signaling, 695,  7, 16,  383, 1, 5, 891093, 26664.03, 1, 159.63, 1: 130; 2: 60; 3: 20; 4: 12; 5: 5; 
EGFR_&_ErbB_Signaling, 561, 12,  9,  383, 1, 5, 865759, 26664.03, 1, 159.63, 1: 124; 2: 70; 3: 16; 4: 14; 5: 3; 
EGFR_&_ErbB_Signaling, 636,  6, 20,  383, 1, 5, 947609, 26664.03, 1, 159.63, 1: 126; 2: 67; 3: 18; 4: 11; 5: 5; 
EGFR_&_ErbB_Signaling, 845,  9, 12,  383, 1, 5, 865813, 26664.03, 1, 159.63, 1: 130; 2: 63; 3: 14; 4: 15; 5: 5; 
EGFR_&_ErbB_Signaling, 879,  6, 20,  383, 1, 5, 947650, 26664.03, 1, 159.63, 1: 130; 2: 58; 3: 24; 4: 10; 5: 5; 
EGFR_&_ErbB_Signaling, 287,  7, 17,  383, 1, 5, 940431, 26664.03, 1, 159.63, 1: 127; 2: 69; 3: 13; 4: 11; 5: 7; 
EGFR_&_ErbB_Signaling, 203, 11, 10,  383, 1, 5, 879015, 26664.03, 1, 159.63, 1: 133; 2: 59; 3: 14; 4: 15; 5: 6; 
EGFR_&_ErbB_Signaling, 402,  6, 20,  383, 1, 5, 947857, 26664.03, 1, 159.63, 1: 127; 2: 66; 3: 18; 4: 10; 5: 6; 
EGFR_&_ErbB_Signaling, 593, 11, 10,  383, 1, 5, 879042, 26664.03, 1, 159.63, 1: 129; 2: 60; 3: 22; 4: 12; 5: 4; 
EGFR_&_ErbB_Signaling,  76,  6, 20,  383, 1, 5, 947611, 26664.03, 1, 159.63, 1: 128; 2: 64; 3: 18; 4: 12; 5: 5; 
EGFR_&_ErbB_Signaling, 354,  6, 19,  383, 1, 5, 908063, 26664.03, 1, 159.63, 1: 127; 2: 65; 3: 20; 4: 9; 5: 6; 
EGFR_&_ErbB_Signaling, 694,  6, 20,  383, 1, 5, 947575, 26664.03, 1, 159.63, 1: 129; 2: 65; 3: 14; 4: 13; 5: 6; 
EGFR_&_ErbB_Signaling, 331,  6, 18,  383, 1, 5, 865809, 26664.03, 1, 159.63, 1: 129; 2: 59; 3: 25; 4: 9; 5: 5; 
EGFR_&_ErbB_Signaling, 146, 11, 10,  383, 1, 5, 879116, 26664.03, 1, 159.63, 1: 125; 2: 67; 3: 18; 4: 15; 5: 2; 
EGFR_&_ErbB_Signaling,  56, 10, 11,  384, 1, 5, 879090, 26664.03, 1, 159.63, 1: 135; 2: 54; 3: 17; 4: 15; 5: 6; 
EGFR_&_ErbB_Signaling, 201, 11, 10,  384, 1, 5, 879062, 26664.03, 1, 159.63, 1: 123; 2: 68; 3: 22; 4: 11; 5: 3; 
EGFR_&_ErbB_Signaling, 814,  7, 16,  384, 1, 5, 891138, 26664.03, 1, 159.63, 1: 132; 2: 57; 3: 20; 4: 12; 5: 6; 
EGFR_&_ErbB_Signaling, 656,  6, 20,  384, 1, 5, 947812, 26664.03, 1, 159.63, 1: 128; 2: 64; 3: 16; 4: 15; 5: 4; 
EGFR_&_ErbB_Signaling, 835,  7, 17,  384, 1, 5, 940382, 26664.03, 1, 159.63, 1: 126; 2: 67; 3: 16; 4: 14; 5: 4; 
EGFR_&_ErbB_Signaling, 194,  6, 18,  384, 1, 5, 865830, 26664.03, 1, 159.63, 1: 126; 2: 65; 3: 21; 4: 10; 5: 5; 
EGFR_&_ErbB_Signaling, 216,  8, 13,  384, 1, 5, 830180, 26664.03, 1, 159.63, 1: 128; 2: 63; 3: 18; 4: 14; 5: 4; 
EGFR_&_ErbB_Signaling, 295,  7, 16,  384, 1, 5, 891019, 26664.03, 1, 159.63, 1: 123; 2: 71; 3: 17; 4: 12; 5: 4; 
EGFR_&_ErbB_Signaling, 258,  7, 16,  384, 1, 5, 890844, 26664.03, 1, 159.63, 1: 132; 2: 58; 3: 19; 4: 11; 5: 7; 
EGFR_&_ErbB_Signaling, 596, 11, 10,  384, 1, 5, 878949, 26664.03, 1, 159.63, 1: 128; 2: 64; 3: 18; 4: 11; 5: 6; 
EGFR_&_ErbB_Signaling,  46,  6, 18,  384, 1, 5, 865821, 26664.03, 1, 159.63, 1: 121; 2: 71; 3: 23; 4: 8; 5: 4; 
EGFR_&_ErbB_Signaling, 463, 10, 11,  384, 1, 5, 879055, 26664.03, 1, 159.63, 1: 126; 2: 65; 3: 19; 4: 14; 5: 3; 
EGFR_&_ErbB_Signaling,  47,  6, 19,  384, 1, 5, 908327, 26664.03, 1, 159.63, 1: 124; 2: 68; 3: 22; 4: 7; 5: 6; 
