Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(300)
Melhor resultado nxn: EGFR_&_ErbB_Signaling,  12,  8, 14,  495, 1, 4, 891073, 27200.04, 161, 0.00, 1: 77; 2: 66; 3: 50; 4: 34; 
EGFR_&_ErbB_Signaling, 175, 11, 10,  596, 1, 7, 879036, 27200.04, 0, 158.22, 1: 64; 2: 43; 3: 54; 4: 53; 5: 9; 6: 1; 7: 3; 
EGFR_&_ErbB_Signaling, 820, 10, 11,  596, 1, 7, 879019, 27200.04, 0, 158.22, 1: 59; 2: 58; 3: 39; 4: 54; 5: 15; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 202,  9, 12,  597, 1, 7, 865826, 27200.04, 0, 158.22, 1: 55; 2: 53; 3: 51; 4: 59; 5: 8; 7: 1; 
EGFR_&_ErbB_Signaling, 410,  8, 14,  599, 1, 7, 891032, 27200.04, 0, 158.22, 1: 64; 2: 50; 3: 42; 4: 52; 5: 15; 6: 2; 7: 2; 
EGFR_&_ErbB_Signaling,   5,  7, 15,  599, 1, 7, 840840, 27200.04, 0, 158.22, 1: 53; 2: 59; 3: 46; 4: 57; 5: 11; 7: 1; 
EGFR_&_ErbB_Signaling, 972,  7, 16,  599, 1, 7, 891013, 27200.04, 0, 158.22, 1: 61; 2: 57; 3: 38; 4: 52; 5: 15; 6: 1; 7: 3; 
EGFR_&_ErbB_Signaling, 237,  8, 14,  600, 1, 7, 891041, 27200.04, 0, 158.22, 1: 57; 2: 50; 3: 51; 4: 57; 5: 11; 7: 1; 
EGFR_&_ErbB_Signaling, 179,  7, 16,  600, 1, 7, 890917, 27200.04, 0, 158.22, 1: 56; 2: 56; 3: 41; 4: 63; 5: 10; 7: 1; 
EGFR_&_ErbB_Signaling, 798, 10, 11,  601, 1, 7, 879050, 27200.04, 0, 158.22, 1: 61; 2: 50; 3: 41; 4: 61; 5: 12; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 131, 11, 10,  605, 1, 7, 879031, 27200.04, 0, 158.22, 1: 52; 2: 57; 3: 47; 4: 61; 5: 7; 6: 2; 7: 1; 
EGFR_&_ErbB_Signaling, 686,  7, 15,  607, 1, 7, 840840, 27200.04, 0, 158.22, 1: 56; 2: 53; 3: 49; 4: 54; 5: 11; 6: 1; 7: 3; 
EGFR_&_ErbB_Signaling, 312,  6, 20,  608, 1, 7, 947590, 27200.04, 0, 158.22, 1: 62; 2: 56; 3: 36; 4: 49; 5: 15; 6: 8; 7: 1; 
EGFR_&_ErbB_Signaling, 280,  8, 13,  609, 1, 7, 830180, 27200.04, 0, 158.22, 1: 56; 2: 55; 3: 43; 4: 59; 5: 10; 7: 4; 
EGFR_&_ErbB_Signaling, 620, 11, 10,  610, 1, 7, 879034, 27200.04, 0, 158.22, 1: 59; 2: 49; 3: 40; 4: 64; 5: 14; 7: 1; 
EGFR_&_ErbB_Signaling, 573, 11, 10,  610, 1, 7, 879005, 27200.04, 0, 158.22, 1: 64; 2: 40; 3: 45; 4: 66; 5: 8; 6: 1; 7: 3; 
EGFR_&_ErbB_Signaling,  38,  8, 14,  611, 1, 7, 891043, 27200.04, 0, 158.22, 1: 56; 2: 57; 3: 35; 4: 61; 5: 17; 7: 1; 
EGFR_&_ErbB_Signaling, 925, 12,  9,  611, 1, 7, 865791, 27200.04, 0, 158.22, 1: 59; 2: 57; 3: 35; 4: 55; 5: 16; 6: 2; 7: 3; 
EGFR_&_ErbB_Signaling, 204,  9, 12,  613, 1, 7, 865796, 27200.04, 0, 158.22, 1: 53; 2: 50; 3: 51; 4: 61; 5: 10; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 492, 10, 11,  616, 1, 7, 878988, 27200.04, 0, 158.22, 1: 58; 2: 42; 3: 49; 4: 70; 5: 4; 6: 1; 7: 3; 
EGFR_&_ErbB_Signaling, 508, 10, 11,  618, 1, 7, 879014, 27200.04, 0, 158.22, 1: 56; 2: 61; 3: 43; 4: 40; 5: 14; 6: 10; 7: 3; 
EGFR_&_ErbB_Signaling, 157,  8, 13,  619, 1, 7, 830180, 27200.04, 0, 158.22, 1: 51; 2: 53; 3: 48; 4: 62; 5: 10; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 420,  8, 13,  620, 1, 7, 830180, 27200.04, 0, 158.22, 1: 56; 2: 49; 3: 41; 4: 66; 5: 13; 7: 2; 
EGFR_&_ErbB_Signaling, 932,  6, 18,  622, 1, 7, 865812, 27200.04, 0, 158.22, 1: 48; 2: 60; 3: 42; 4: 62; 5: 12; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 374,  8, 13,  625, 1, 7, 830180, 27200.04, 0, 158.22, 1: 49; 2: 57; 3: 42; 4: 64; 5: 12; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 570,  7, 15,  625, 1, 7, 840840, 27200.04, 0, 158.22, 1: 55; 2: 36; 3: 59; 4: 67; 5: 8; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 488, 11, 10,  632, 1, 7, 878981, 27200.04, 0, 158.22, 1: 48; 2: 55; 3: 44; 4: 63; 5: 14; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 632,  7, 17,  637, 1, 7, 940470, 27200.04, 0, 158.22, 1: 45; 2: 58; 3: 41; 4: 68; 5: 11; 6: 2; 7: 2; 
EGFR_&_ErbB_Signaling, 163, 11, 10,  638, 1, 7, 879071, 27200.04, 0, 158.22, 1: 51; 2: 47; 3: 47; 4: 61; 5: 19; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 397,  6, 18,  639, 1, 7, 865841, 27200.04, 0, 158.22, 1: 44; 2: 51; 3: 49; 4: 73; 5: 8; 7: 2; 
EGFR_&_ErbB_Signaling, 370,  6, 19,  640, 1, 7, 908142, 27200.04, 0, 158.22, 1: 46; 2: 46; 3: 58; 4: 61; 5: 14; 7: 2; 
EGFR_&_ErbB_Signaling, 689,  7, 17,  642, 1, 7, 940603, 27200.04, 0, 158.22, 1: 52; 2: 46; 3: 51; 4: 59; 5: 7; 6: 10; 7: 2; 
EGFR_&_ErbB_Signaling, 803,  9, 12,  643, 1, 7, 865792, 27200.04, 0, 158.22, 1: 46; 2: 45; 3: 54; 4: 70; 5: 9; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 629,  8, 14,  647, 1, 7, 890993, 27200.04, 0, 158.22, 1: 49; 2: 59; 3: 27; 4: 66; 5: 22; 6: 3; 7: 1; 
EGFR_&_ErbB_Signaling, 994,  8, 14,  651, 1, 7, 891018, 27200.04, 0, 158.22, 1: 38; 2: 43; 3: 68; 4: 72; 5: 3; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 953, 11, 10,  653, 1, 7, 879025, 27200.04, 0, 158.22, 1: 42; 2: 50; 3: 51; 4: 67; 5: 14; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 233,  8, 13,  656, 1, 7, 830180, 27200.04, 0, 158.22, 1: 50; 2: 40; 3: 42; 4: 84; 5: 6; 6: 1; 7: 4; 
EGFR_&_ErbB_Signaling, 993, 12,  9,  662, 1, 7, 865781, 27200.04, 0, 158.22, 1: 44; 2: 44; 3: 43; 4: 82; 5: 12; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 481, 12,  9,  667, 1, 7, 865753, 27200.04, 0, 158.22, 1: 32; 2: 42; 3: 71; 4: 75; 5: 5; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 552,  8, 13,  668, 1, 7, 830180, 27200.04, 0, 158.22, 1: 40; 2: 47; 3: 46; 4: 80; 5: 11; 7: 3; 
EGFR_&_ErbB_Signaling, 651,  6, 18,  669, 1, 7, 865784, 27200.04, 0, 158.22, 1: 41; 2: 43; 3: 49; 4: 81; 5: 9; 6: 2; 7: 2; 
EGFR_&_ErbB_Signaling, 900,  7, 17,  670, 1, 7, 940363, 27200.04, 0, 158.22, 1: 52; 2: 36; 3: 43; 4: 74; 5: 16; 6: 1; 7: 5; 
EGFR_&_ErbB_Signaling, 995,  9, 12,  671, 1, 7, 865787, 27200.04, 0, 158.22, 1: 40; 2: 48; 3: 44; 4: 79; 5: 12; 6: 1; 7: 3; 
EGFR_&_ErbB_Signaling, 455,  8, 14,  678, 1, 7, 891017, 27200.04, 0, 158.22, 1: 36; 2: 44; 3: 57; 4: 74; 5: 11; 6: 3; 7: 2; 
EGFR_&_ErbB_Signaling,  20,  7, 17,  681, 1, 7, 940550, 27200.04, 0, 158.22, 1: 38; 2: 46; 3: 44; 4: 83; 5: 12; 6: 1; 7: 3; 
EGFR_&_ErbB_Signaling, 392, 10, 11,  682, 1, 7, 879038, 27200.04, 0, 158.22, 1: 46; 2: 43; 3: 48; 4: 63; 5: 14; 6: 7; 7: 6; 
EGFR_&_ErbB_Signaling, 381,  8, 14,  690, 1, 7, 890902, 27200.04, 0, 158.22, 1: 33; 2: 47; 3: 51; 4: 78; 5: 13; 6: 2; 7: 3; 
EGFR_&_ErbB_Signaling, 270, 10, 11,  702, 1, 7, 879030, 27200.04, 0, 158.22, 1: 39; 2: 42; 3: 41; 4: 82; 5: 13; 6: 7; 7: 3; 
EGFR_&_ErbB_Signaling, 439,  8, 13,  542, 1, 8, 830180, 27200.04, 0, 158.22, 1: 68; 2: 50; 3: 67; 4: 40; 5: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 400,  7, 17,  551, 1, 8, 940403, 27200.04, 0, 158.22, 1: 70; 2: 55; 3: 45; 4: 52; 5: 4; 8: 1; 
EGFR_&_ErbB_Signaling, 336, 10, 11,  554, 1, 8, 879025, 27200.04, 0, 158.22, 1: 70; 2: 46; 3: 60; 4: 47; 5: 2; 6: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 991, 12,  9,  554, 1, 8, 865786, 27200.04, 0, 158.22, 1: 72; 2: 48; 3: 56; 4: 45; 5: 2; 6: 1; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling,  56, 10, 11,  558, 1, 8, 879023, 27200.04, 0, 158.22, 1: 70; 2: 52; 3: 52; 4: 45; 5: 5; 7: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 711, 11, 10,  560, 1, 8, 879031, 27200.04, 0, 158.22, 1: 58; 2: 62; 3: 54; 4: 52; 8: 1; 
EGFR_&_ErbB_Signaling, 153,  7, 16,  561, 1, 8, 891046, 27200.04, 0, 158.22, 1: 66; 2: 51; 3: 55; 4: 50; 5: 4; 8: 1; 
EGFR_&_ErbB_Signaling, 725, 11, 10,  566, 1, 8, 879027, 27200.04, 0, 158.22, 1: 68; 2: 53; 3: 49; 4: 47; 5: 7; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 249,  9, 12,  567, 1, 8, 865760, 27200.04, 0, 158.22, 1: 75; 2: 42; 3: 47; 4: 53; 5: 8; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 139,  6, 20,  576, 1, 8, 947525, 27200.04, 0, 158.22, 1: 60; 2: 55; 3: 52; 4: 55; 5: 3; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 531,  7, 15,  581, 1, 8, 840840, 27200.04, 0, 158.22, 1: 71; 2: 56; 3: 35; 4: 47; 5: 8; 6: 7; 7: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 892,  7, 17,  583, 1, 8, 940531, 27200.04, 0, 158.22, 1: 67; 2: 56; 3: 43; 4: 42; 5: 11; 6: 5; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 854,  6, 19,  584, 1, 8, 908199, 27200.04, 0, 158.22, 1: 65; 2: 54; 3: 39; 4: 56; 5: 10; 6: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 177,  8, 14,  597, 1, 8, 891037, 27200.04, 0, 158.22, 1: 53; 2: 57; 3: 53; 4: 54; 5: 8; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 117, 12,  9,  600, 1, 8, 865815, 27200.04, 1, 158.22, 1: 66; 2: 54; 3: 46; 4: 34; 5: 15; 6: 9; 7: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 367,  7, 16,  605, 1, 8, 891048, 27200.04, 0, 158.22, 1: 54; 2: 53; 3: 52; 4: 56; 5: 10; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 385, 11, 10,  606, 1, 8, 879035, 27200.04, 0, 158.22, 1: 50; 2: 49; 3: 61; 4: 64; 5: 1; 6: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 260, 11, 10,  608, 1, 8, 879077, 27200.04, 0, 158.22, 1: 60; 2: 55; 3: 41; 4: 52; 5: 12; 6: 3; 7: 3; 8: 1; 
EGFR_&_ErbB_Signaling, 423,  6, 19,  608, 1, 8, 908237, 27200.04, 0, 158.22, 1: 54; 2: 51; 3: 53; 4: 56; 5: 11; 6: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 933,  9, 12,  610, 1, 8, 865798, 27200.04, 0, 158.22, 1: 55; 2: 62; 3: 47; 4: 40; 5: 14; 6: 5; 7: 2; 8: 2; 
EGFR_&_ErbB_Signaling, 956,  8, 14,  610, 1, 8, 891038, 27200.04, 0, 158.22, 1: 54; 2: 51; 3: 47; 4: 65; 5: 9; 8: 1; 
EGFR_&_ErbB_Signaling, 810,  9, 12,  614, 1, 8, 865787, 27200.04, 0, 158.22, 1: 62; 2: 40; 3: 50; 4: 63; 5: 8; 7: 2; 8: 2; 
EGFR_&_ErbB_Signaling, 279,  9, 12,  615, 1, 8, 865811, 27200.04, 0, 158.22, 1: 57; 2: 56; 3: 44; 4: 47; 5: 16; 6: 4; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 383,  8, 14,  615, 1, 8, 891122, 27200.04, 0, 158.22, 1: 59; 2: 43; 3: 47; 4: 69; 5: 6; 7: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 845,  9, 12,  619, 1, 8, 865785, 27200.04, 0, 158.22, 1: 62; 2: 51; 3: 35; 4: 56; 5: 16; 6: 4; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 980,  7, 15,  620, 1, 8, 840840, 27200.04, 0, 158.22, 1: 60; 2: 61; 3: 38; 4: 38; 5: 16; 6: 8; 7: 4; 8: 2; 
EGFR_&_ErbB_Signaling, 136,  8, 13,  621, 1, 8, 830180, 27200.04, 0, 158.22, 1: 61; 2: 53; 3: 41; 4: 48; 5: 10; 6: 10; 7: 3; 8: 1; 
EGFR_&_ErbB_Signaling, 706,  7, 15,  624, 1, 8, 840840, 27200.04, 0, 158.22, 1: 60; 2: 45; 3: 35; 4: 71; 5: 13; 6: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 162,  7, 16,  628, 1, 8, 891125, 27200.04, 0, 158.22, 1: 55; 2: 52; 3: 39; 4: 61; 5: 14; 6: 5; 8: 1; 
EGFR_&_ErbB_Signaling, 849,  7, 15,  633, 1, 8, 840840, 27200.04, 1, 158.22, 1: 60; 2: 55; 3: 43; 4: 38; 5: 11; 6: 15; 7: 3; 8: 2; 
EGFR_&_ErbB_Signaling, 830,  8, 13,  633, 1, 8, 830180, 27200.04, 0, 158.22, 1: 58; 2: 50; 3: 46; 4: 48; 5: 12; 6: 7; 7: 5; 8: 1; 
EGFR_&_ErbB_Signaling, 737,  6, 18,  635, 1, 8, 865820, 27200.04, 0, 158.22, 1: 55; 2: 52; 3: 44; 4: 52; 5: 13; 6: 7; 7: 3; 8: 1; 
EGFR_&_ErbB_Signaling, 870, 10, 11,  635, 1, 8, 879009, 27200.04, 0, 158.22, 1: 51; 2: 49; 3: 41; 4: 74; 5: 8; 6: 2; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 948,  9, 12,  637, 1, 8, 865778, 27200.04, 0, 158.22, 1: 55; 2: 47; 3: 43; 4: 68; 5: 5; 6: 5; 8: 4; 
EGFR_&_ErbB_Signaling, 416,  8, 14,  638, 1, 8, 891049, 27200.04, 0, 158.22, 1: 47; 2: 62; 3: 35; 4: 63; 5: 14; 6: 3; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 746,  6, 18,  640, 1, 8, 865783, 27200.04, 0, 158.22, 1: 52; 2: 39; 3: 51; 4: 75; 5: 7; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling,  94,  8, 13,  640, 1, 8, 830180, 27200.04, 0, 158.22, 1: 62; 2: 46; 3: 40; 4: 53; 5: 10; 6: 10; 7: 4; 8: 2; 
EGFR_&_ErbB_Signaling,  72, 12,  9,  641, 1, 8, 865785, 27200.04, 0, 158.22, 1: 50; 2: 58; 3: 39; 4: 59; 5: 11; 6: 6; 7: 1; 8: 3; 
EGFR_&_ErbB_Signaling, 388,  7, 16,  642, 1, 8, 891172, 27200.04, 0, 158.22, 1: 44; 2: 48; 3: 60; 4: 67; 5: 2; 6: 1; 7: 2; 8: 3; 
EGFR_&_ErbB_Signaling, 769,  7, 15,  643, 1, 8, 840840, 27200.04, 0, 158.22, 1: 48; 2: 43; 3: 54; 4: 68; 5: 11; 6: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 188,  6, 19,  644, 1, 8, 908219, 27200.04, 0, 158.22, 1: 48; 2: 41; 3: 59; 4: 67; 5: 8; 6: 1; 7: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 348,  7, 17,  645, 1, 8, 940430, 27200.04, 0, 158.22, 1: 47; 2: 52; 3: 47; 4: 66; 5: 8; 6: 2; 7: 3; 8: 2; 
EGFR_&_ErbB_Signaling, 747,  7, 15,  645, 1, 8, 840840, 27200.04, 0, 158.22, 1: 43; 2: 51; 3: 56; 4: 61; 5: 13; 7: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 256,  7, 16,  646, 1, 8, 891012, 27200.04, 0, 158.22, 1: 57; 2: 44; 3: 37; 4: 66; 5: 17; 6: 2; 7: 3; 8: 1; 
EGFR_&_ErbB_Signaling, 771,  7, 15,  646, 1, 8, 840840, 27200.04, 0, 158.22, 1: 45; 2: 51; 3: 46; 4: 68; 5: 15; 6: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 604,  8, 13,  647, 1, 8, 830180, 27200.04, 0, 158.22, 1: 45; 2: 39; 3: 64; 4: 72; 5: 3; 6: 1; 7: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 160,  8, 14,  648, 1, 8, 891086, 27200.04, 0, 158.22, 1: 51; 2: 46; 3: 46; 4: 69; 5: 8; 6: 1; 7: 3; 8: 3; 
EGFR_&_ErbB_Signaling, 491,  6, 20,  649, 1, 8, 947714, 27200.04, 0, 158.22, 1: 45; 2: 49; 3: 54; 4: 64; 5: 9; 6: 1; 7: 3; 8: 2; 
EGFR_&_ErbB_Signaling, 883,  7, 16,  655, 1, 8, 891087, 27200.04, 0, 158.22, 1: 40; 2: 52; 3: 53; 4: 68; 5: 8; 6: 4; 8: 2; 
EGFR_&_ErbB_Signaling, 648,  7, 17,  655, 1, 8, 940461, 27200.04, 0, 158.22, 1: 53; 2: 52; 3: 45; 4: 52; 5: 10; 6: 4; 7: 7; 8: 4; 
EGFR_&_ErbB_Signaling, 284,  7, 17,  655, 1, 8, 940567, 27200.04, 0, 158.22, 1: 45; 2: 48; 3: 54; 4: 66; 5: 7; 7: 3; 8: 4; 
EGFR_&_ErbB_Signaling, 936,  9, 12,  655, 1, 8, 865798, 27200.04, 0, 158.22, 1: 46; 2: 41; 3: 54; 4: 72; 5: 11; 6: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 539,  8, 13,  660, 1, 8, 830180, 27200.04, 0, 158.22, 1: 58; 2: 57; 3: 31; 4: 46; 5: 15; 6: 10; 7: 4; 8: 6; 
EGFR_&_ErbB_Signaling, 917,  6, 19,  663, 1, 8, 908172, 27200.04, 0, 158.22, 1: 38; 2: 49; 3: 52; 4: 74; 5: 11; 6: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 303,  8, 14,  666, 1, 8, 890938, 27200.04, 0, 158.22, 1: 43; 2: 42; 3: 46; 4: 84; 5: 9; 6: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 173,  6, 19,  668, 1, 8, 908120, 27200.04, 0, 158.22, 1: 47; 2: 44; 3: 55; 4: 61; 5: 8; 6: 2; 7: 8; 8: 2; 
EGFR_&_ErbB_Signaling, 915, 10, 11,  669, 1, 8, 878985, 27200.04, 0, 158.22, 1: 47; 2: 48; 3: 49; 4: 54; 5: 19; 6: 4; 7: 4; 8: 2; 
EGFR_&_ErbB_Signaling, 969,  7, 17,  671, 1, 8, 940441, 27200.04, 0, 158.22, 1: 49; 2: 45; 3: 54; 4: 52; 5: 12; 6: 8; 7: 2; 8: 5; 
EGFR_&_ErbB_Signaling, 943, 11, 10,  674, 1, 8, 879027, 27200.04, 0, 158.22, 1: 45; 2: 55; 3: 40; 4: 54; 5: 22; 6: 6; 7: 3; 8: 2; 
EGFR_&_ErbB_Signaling, 540,  9, 12,  676, 1, 8, 865775, 27200.04, 1, 158.22, 1: 55; 2: 49; 3: 43; 4: 42; 5: 13; 6: 17; 7: 5; 8: 3; 
EGFR_&_ErbB_Signaling, 871, 12,  9,  688, 1, 8, 865800, 27200.04, 0, 158.22, 1: 44; 2: 40; 3: 43; 4: 77; 5: 17; 6: 1; 7: 4; 8: 1; 
EGFR_&_ErbB_Signaling, 436,  8, 14,  688, 1, 8, 890965, 27200.04, 0, 158.22, 1: 31; 2: 50; 3: 52; 4: 81; 5: 5; 6: 5; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 354,  6, 19,  689, 1, 8, 908228, 27200.04, 0, 158.22, 1: 36; 2: 51; 3: 47; 4: 72; 5: 11; 6: 4; 7: 5; 8: 1; 
EGFR_&_ErbB_Signaling, 499,  7, 15,  692, 1, 8, 840840, 27200.04, 0, 158.22, 1: 47; 2: 48; 3: 50; 4: 49; 5: 11; 6: 13; 7: 2; 8: 7; 
EGFR_&_ErbB_Signaling, 592,  9, 12,  693, 1, 8, 865769, 27200.04, 0, 158.22, 1: 44; 2: 41; 3: 39; 4: 80; 5: 12; 6: 8; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 364,  8, 14,  701, 1, 8, 891087, 27200.04, 0, 158.22, 1: 44; 2: 38; 3: 55; 4: 59; 5: 14; 6: 12; 7: 2; 8: 3; 
EGFR_&_ErbB_Signaling, 906,  7, 17,  709, 1, 8, 940574, 27200.04, 0, 158.22, 1: 32; 2: 45; 3: 53; 4: 75; 5: 11; 6: 6; 7: 3; 8: 2; 
EGFR_&_ErbB_Signaling, 545,  7, 15,  713, 1, 8, 840840, 27200.04, 0, 158.22, 1: 39; 2: 51; 3: 39; 4: 64; 5: 16; 6: 10; 7: 5; 8: 3; 
EGFR_&_ErbB_Signaling, 328,  8, 13,  713, 1, 8, 830180, 27200.04, 0, 158.22, 1: 29; 2: 53; 3: 42; 4: 78; 5: 14; 6: 8; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling,  54,  9, 12,  714, 1, 8, 865754, 27200.04, 0, 158.22, 1: 33; 2: 39; 3: 52; 4: 83; 5: 11; 6: 4; 7: 4; 8: 1; 
EGFR_&_ErbB_Signaling,  90,  7, 16,  716, 1, 8, 891198, 27200.04, 0, 158.22, 1: 46; 2: 46; 3: 41; 4: 54; 5: 19; 6: 10; 7: 4; 8: 7; 
EGFR_&_ErbB_Signaling,   3,  7, 17,  755, 1, 8, 940521, 27200.04, 0, 158.22, 1: 35; 2: 41; 3: 47; 4: 62; 5: 17; 6: 15; 7: 6; 8: 4; 
EGFR_&_ErbB_Signaling, 167,  7, 17,  766, 1, 8, 940450, 27200.04, 0, 158.22, 1: 26; 2: 37; 3: 45; 4: 88; 5: 16; 6: 8; 7: 5; 8: 2; 
EGFR_&_ErbB_Signaling, 208,  8, 14,  553, 1, 9, 891036, 27200.04, 0, 158.22, 1: 77; 2: 52; 3: 38; 4: 48; 5: 10; 7: 1; 9: 1; 
EGFR_&_ErbB_Signaling, 837, 11, 10,  556, 1, 9, 879056, 27200.04, 0, 158.22, 1: 70; 2: 54; 3: 47; 4: 50; 5: 4; 8: 1; 9: 1; 
EGFR_&_ErbB_Signaling, 832,  8, 14,  556, 1, 9, 891054, 27200.04, 0, 158.22, 1: 81; 2: 45; 3: 43; 4: 42; 5: 13; 7: 2; 9: 1; 
EGFR_&_ErbB_Signaling, 391,  7, 16,  564, 1, 9, 891052, 27200.04, 0, 158.22, 1: 78; 2: 47; 3: 38; 4: 50; 5: 10; 6: 2; 7: 1; 9: 1; 
EGFR_&_ErbB_Signaling, 612, 10, 11,  565, 1, 9, 879068, 27200.04, 0, 158.22, 1: 66; 2: 60; 3: 43; 4: 48; 5: 7; 7: 2; 9: 1; 
EGFR_&_ErbB_Signaling, 966, 11, 10,  565, 1, 9, 879064, 27200.04, 0, 158.22, 1: 67; 2: 57; 3: 49; 4: 46; 5: 3; 7: 3; 8: 1; 9: 1; 
EGFR_&_ErbB_Signaling, 517, 10, 11,  565, 1, 9, 879074, 27200.04, 0, 158.22, 1: 66; 2: 61; 3: 42; 4: 44; 5: 12; 6: 1; 9: 1; 
EGFR_&_ErbB_Signaling, 918,  9, 12,  566, 1, 9, 865798, 27200.04, 0, 158.22, 1: 69; 2: 54; 3: 44; 4: 53; 5: 3; 7: 3; 9: 1; 
EGFR_&_ErbB_Signaling, 713, 11, 10,  568, 1, 9, 879057, 27200.04, 0, 158.22, 1: 70; 2: 55; 3: 37; 4: 56; 5: 6; 7: 2; 9: 1; 
EGFR_&_ErbB_Signaling, 404,  8, 13,  569, 1, 9, 830180, 27200.04, 0, 158.22, 1: 64; 2: 53; 3: 50; 4: 57; 5: 1; 7: 1; 9: 1; 
EGFR_&_ErbB_Signaling, 904,  9, 12,  571, 1, 9, 865805, 27200.04, 0, 158.22, 1: 68; 2: 55; 3: 42; 4: 49; 5: 11; 7: 1; 9: 1; 
EGFR_&_ErbB_Signaling, 688, 12,  9,  581, 1, 9, 865788, 27200.04, 0, 158.22, 1: 68; 2: 50; 3: 41; 4: 57; 5: 8; 6: 1; 7: 1; 9: 1; 
EGFR_&_ErbB_Signaling, 836, 10, 11,  590, 1, 9, 879058, 27200.04, 0, 158.22, 1: 67; 2: 49; 3: 41; 4: 57; 5: 10; 7: 1; 8: 1; 9: 1; 
EGFR_&_ErbB_Signaling, 181, 11, 10,  590, 1, 9, 879045, 27200.04, 0, 158.22, 1: 58; 2: 50; 3: 53; 4: 61; 5: 4; 9: 1; 
EGFR_&_ErbB_Signaling, 100, 10, 11,  596, 1, 9, 879039, 27200.04, 0, 158.22, 1: 59; 2: 54; 3: 47; 4: 56; 5: 7; 6: 1; 7: 2; 9: 1; 
EGFR_&_ErbB_Signaling, 109,  9, 12,  597, 1, 9, 865798, 27200.04, 0, 158.22, 1: 63; 2: 55; 3: 40; 4: 54; 5: 9; 6: 2; 7: 2; 8: 1; 9: 1; 
EGFR_&_ErbB_Signaling, 720,  8, 14,  598, 1, 9, 891051, 27200.04, 0, 158.22, 1: 53; 2: 57; 3: 52; 4: 56; 5: 7; 7: 1; 9: 1; 
EGFR_&_ErbB_Signaling, 812, 11, 10,  598, 1, 9, 879077, 27200.04, 0, 158.22, 1: 72; 2: 48; 3: 37; 4: 51; 5: 9; 6: 5; 7: 2; 8: 1; 9: 2; 
EGFR_&_ErbB_Signaling, 361,  6, 20,  600, 1, 9, 947747, 27200.04, 0, 158.22, 1: 63; 2: 50; 3: 45; 4: 57; 5: 7; 7: 3; 9: 2; 
EGFR_&_ErbB_Signaling, 937,  8, 14,  601, 1, 9, 891078, 27200.04, 1, 158.22, 1: 70; 2: 56; 3: 40; 4: 29; 5: 18; 6: 9; 7: 2; 8: 2; 9: 1; 
