Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
3(992)
Melhor resultado nxn: EGFR_&_ErbB_Signaling, 682,  9, 12,  339, 1, 3, 865815, 74000.52, 0, 0.00, 1: 123; 2: 96; 3: 8; 
EGFR_&_ErbB_Signaling, 832,  8, 14,  397, 1, 5, 891160, 74000.52, 1, 164.86, 1: 117; 2: 77; 3: 13; 4: 13; 5: 7; 
EGFR_&_ErbB_Signaling, 420,  8, 13,  397, 1, 5, 830180, 74000.52, 1, 164.86, 1: 115; 2: 80; 3: 14; 4: 10; 5: 8; 
EGFR_&_ErbB_Signaling, 949,  6, 19,  398, 1, 5, 908430, 74000.52, 1, 164.86, 1: 114; 2: 80; 3: 14; 4: 13; 5: 6; 
EGFR_&_ErbB_Signaling,  63,  7, 17,  398, 1, 5, 940241, 74000.52, 1, 164.86, 1: 114; 2: 79; 3: 17; 4: 10; 5: 7; 
EGFR_&_ErbB_Signaling, 687, 11, 10,  398, 1, 5, 879251, 74000.52, 1, 164.86, 1: 118; 2: 78; 3: 9; 4: 13; 5: 9; 
EGFR_&_ErbB_Signaling, 260, 11, 10,  398, 1, 5, 879124, 74000.52, 1, 164.86, 1: 123; 2: 69; 3: 12; 4: 14; 5: 9; 
EGFR_&_ErbB_Signaling, 284,  7, 17,  398, 1, 5, 940712, 74000.52, 1, 164.86, 1: 117; 2: 76; 3: 15; 4: 11; 5: 8; 
EGFR_&_ErbB_Signaling, 476,  6, 19,  398, 1, 5, 908041, 74000.52, 1, 164.86, 1: 110; 2: 84; 3: 17; 4: 11; 5: 5; 
EGFR_&_ErbB_Signaling, 947,  7, 17,  398, 1, 5, 940416, 74000.52, 1, 164.86, 1: 117; 2: 78; 3: 10; 4: 15; 5: 7; 
EGFR_&_ErbB_Signaling, 543,  6, 20,  398, 1, 5, 947830, 74000.52, 1, 164.86, 1: 110; 2: 85; 3: 16; 4: 10; 5: 6; 
EGFR_&_ErbB_Signaling, 433,  6, 18,  398, 1, 5, 865762, 74000.52, 1, 164.86, 1: 113; 2: 82; 3: 16; 4: 7; 5: 9; 
EGFR_&_ErbB_Signaling, 767,  6, 20,  398, 1, 5, 947204, 74000.52, 1, 164.86, 1: 111; 2: 81; 3: 19; 4: 12; 5: 4; 
EGFR_&_ErbB_Signaling,  71, 12,  9,  398, 1, 5, 865835, 74000.52, 1, 164.86, 1: 120; 2: 69; 3: 20; 4: 10; 5: 8; 
EGFR_&_ErbB_Signaling, 442,  7, 16,  398, 1, 5, 891061, 74000.52, 1, 164.86, 1: 114; 2: 79; 3: 16; 4: 12; 5: 6; 
EGFR_&_ErbB_Signaling,  83, 12,  9,  399, 1, 5, 865821, 74000.52, 1, 164.86, 1: 115; 2: 81; 3: 10; 4: 13; 5: 8; 
EGFR_&_ErbB_Signaling, 170,  6, 20,  399, 1, 5, 947458, 74000.52, 1, 164.86, 1: 105; 2: 90; 3: 17; 4: 12; 5: 3; 
EGFR_&_ErbB_Signaling,  97,  7, 16,  399, 1, 5, 891007, 74000.52, 1, 164.86, 1: 119; 2: 71; 3: 16; 4: 15; 5: 6; 
EGFR_&_ErbB_Signaling, 860,  8, 13,  399, 1, 5, 830180, 74000.52, 1, 164.86, 1: 115; 2: 76; 3: 17; 4: 14; 5: 5; 
EGFR_&_ErbB_Signaling, 859,  8, 13,  399, 1, 5, 830180, 74000.52, 1, 164.86, 1: 109; 2: 84; 3: 19; 4: 10; 5: 5; 
EGFR_&_ErbB_Signaling, 730, 10, 11,  399, 1, 5, 878951, 74000.52, 1, 164.86, 1: 114; 2: 76; 3: 20; 4: 12; 5: 5; 
EGFR_&_ErbB_Signaling, 139,  6, 20,  400, 1, 5, 947952, 74000.52, 1, 164.86, 1: 117; 2: 75; 3: 15; 4: 12; 5: 8; 
EGFR_&_ErbB_Signaling, 334, 10, 11,  400, 1, 5, 879117, 74000.52, 1, 164.86, 1: 117; 2: 70; 3: 22; 4: 13; 5: 5; 
EGFR_&_ErbB_Signaling, 553, 11, 10,  400, 1, 5, 878971, 74000.52, 1, 164.86, 1: 119; 2: 70; 3: 18; 4: 13; 5: 7; 
EGFR_&_ErbB_Signaling, 404,  8, 13,  400, 1, 5, 830180, 74000.52, 1, 164.86, 1: 115; 2: 80; 3: 12; 4: 11; 5: 9; 
EGFR_&_ErbB_Signaling, 762,  6, 19,  400, 1, 5, 908285, 74000.52, 1, 164.86, 1: 117; 2: 74; 3: 18; 4: 9; 5: 9; 
EGFR_&_ErbB_Signaling, 831, 10, 11,  400, 1, 5, 879105, 74000.52, 1, 164.86, 1: 111; 2: 82; 3: 15; 4: 15; 5: 4; 
EGFR_&_ErbB_Signaling,  61, 11, 10,  400, 1, 5, 879058, 74000.52, 1, 164.86, 1: 117; 2: 71; 3: 21; 4: 12; 5: 6; 
EGFR_&_ErbB_Signaling,  98,  6, 20,  400, 1, 5, 947593, 74000.52, 1, 164.86, 1: 120; 2: 69; 3: 18; 4: 12; 5: 8; 
EGFR_&_ErbB_Signaling, 627,  8, 14,  400, 1, 5, 891171, 74000.52, 1, 164.86, 1: 120; 2: 69; 3: 17; 4: 14; 5: 7; 
EGFR_&_ErbB_Signaling, 712,  7, 15,  400, 1, 5, 840840, 74000.52, 1, 164.86, 1: 114; 2: 78; 3: 16; 4: 13; 5: 6; 
EGFR_&_ErbB_Signaling, 781,  6, 20,  401, 1, 5, 947625, 74000.52, 1, 164.86, 1: 118; 2: 72; 3: 17; 4: 12; 5: 8; 
EGFR_&_ErbB_Signaling, 809, 10, 11,  401, 1, 5, 879029, 74000.52, 1, 164.86, 1: 112; 2: 82; 3: 13; 4: 14; 5: 6; 
EGFR_&_ErbB_Signaling, 850,  9, 12,  401, 1, 5, 865755, 74000.52, 1, 164.86, 1: 109; 2: 83; 3: 19; 4: 11; 5: 5; 
EGFR_&_ErbB_Signaling, 707, 12,  9,  401, 1, 5, 865854, 74000.52, 1, 164.86, 1: 117; 2: 76; 3: 12; 4: 14; 5: 8; 
EGFR_&_ErbB_Signaling, 896,  8, 14,  401, 1, 5, 891096, 74000.52, 1, 164.86, 1: 110; 2: 84; 3: 15; 4: 12; 5: 6; 
EGFR_&_ErbB_Signaling, 448,  8, 13,  401, 1, 5, 830180, 74000.52, 1, 164.86, 1: 118; 2: 70; 3: 20; 4: 12; 5: 7; 
EGFR_&_ErbB_Signaling, 425,  6, 18,  401, 1, 5, 865793, 74000.52, 1, 164.86, 1: 113; 2: 77; 3: 20; 4: 11; 5: 6; 
EGFR_&_ErbB_Signaling, 702,  6, 20,  402, 1, 5, 947834, 74000.52, 1, 164.86, 1: 111; 2: 85; 3: 11; 4: 12; 5: 8; 
EGFR_&_ErbB_Signaling,  40,  6, 20,  402, 1, 5, 947863, 74000.52, 1, 164.86, 1: 112; 2: 78; 3: 21; 4: 9; 5: 7; 
EGFR_&_ErbB_Signaling, 888,  8, 13,  402, 1, 5, 830180, 74000.52, 1, 164.86, 1: 115; 2: 77; 3: 16; 4: 10; 5: 9; 
EGFR_&_ErbB_Signaling, 594,  9, 12,  402, 1, 5, 865812, 74000.52, 1, 164.86, 1: 119; 2: 68; 3: 18; 4: 17; 5: 5; 
EGFR_&_ErbB_Signaling, 291, 10, 11,  402, 1, 5, 878966, 74000.52, 1, 164.86, 1: 111; 2: 79; 3: 20; 4: 12; 5: 5; 
EGFR_&_ErbB_Signaling, 768,  6, 19,  402, 1, 5, 908096, 74000.52, 1, 164.86, 1: 113; 2: 76; 3: 20; 4: 13; 5: 5; 
EGFR_&_ErbB_Signaling, 968,  6, 19,  402, 1, 5, 908242, 74000.52, 1, 164.86, 1: 112; 2: 79; 3: 16; 4: 16; 5: 4; 
EGFR_&_ErbB_Signaling, 134,  7, 17,  402, 1, 5, 940529, 74000.52, 1, 164.86, 1: 114; 2: 77; 3: 18; 4: 10; 5: 8; 
EGFR_&_ErbB_Signaling, 319,  7, 17,  402, 1, 5, 940853, 74000.52, 1, 164.86, 1: 116; 2: 74; 3: 19; 4: 9; 5: 9; 
EGFR_&_ErbB_Signaling, 250,  9, 12,  402, 1, 5, 865705, 74000.52, 1, 164.86, 1: 117; 2: 74; 3: 14; 4: 15; 5: 7; 
EGFR_&_ErbB_Signaling, 273,  7, 16,  402, 1, 5, 890856, 74000.52, 1, 164.86, 1: 116; 2: 75; 3: 14; 4: 16; 5: 6; 
EGFR_&_ErbB_Signaling, 579,  7, 16,  402, 1, 5, 891158, 74000.52, 1, 164.86, 1: 115; 2: 77; 3: 14; 4: 14; 5: 7; 
EGFR_&_ErbB_Signaling, 733, 11, 10,  402, 1, 5, 878851, 74000.52, 1, 164.86, 1: 117; 2: 72; 3: 19; 4: 11; 5: 8; 
EGFR_&_ErbB_Signaling, 926,  6, 18,  403, 1, 5, 865796, 74000.52, 1, 164.86, 1: 115; 2: 73; 3: 20; 4: 13; 5: 6; 
EGFR_&_ErbB_Signaling, 716, 10, 11,  403, 1, 5, 879010, 74000.52, 1, 164.86, 1: 111; 2: 82; 3: 14; 4: 14; 5: 6; 
EGFR_&_ErbB_Signaling, 603,  9, 12,  403, 1, 5, 865802, 74000.52, 1, 164.86, 1: 113; 2: 78; 3: 19; 4: 8; 5: 9; 
EGFR_&_ErbB_Signaling, 438,  7, 17,  403, 1, 5, 940348, 74000.52, 1, 164.86, 1: 106; 2: 90; 3: 13; 4: 12; 5: 6; 
EGFR_&_ErbB_Signaling, 104,  6, 19,  403, 1, 5, 908143, 74000.52, 1, 164.86, 1: 115; 2: 78; 3: 13; 4: 12; 5: 9; 
EGFR_&_ErbB_Signaling, 432,  6, 20,  403, 1, 5, 947673, 74000.52, 1, 164.86, 1: 118; 2: 72; 3: 17; 4: 10; 5: 10; 
EGFR_&_ErbB_Signaling, 841,  9, 12,  403, 1, 5, 865781, 74000.52, 1, 164.86, 1: 115; 2: 76; 3: 13; 4: 18; 5: 5; 
EGFR_&_ErbB_Signaling, 146, 11, 10,  403, 1, 5, 879153, 74000.52, 1, 164.86, 1: 119; 2: 71; 3: 14; 4: 15; 5: 8; 
EGFR_&_ErbB_Signaling,  87,  7, 15,  404, 1, 5, 840840, 74000.52, 1, 164.86, 1: 110; 2: 80; 3: 19; 4: 13; 5: 5; 
EGFR_&_ErbB_Signaling, 573, 11, 10,  404, 1, 5, 879032, 74000.52, 1, 164.86, 1: 114; 2: 77; 3: 15; 4: 14; 5: 7; 
EGFR_&_ErbB_Signaling,  18, 10, 11,  404, 1, 5, 879150, 74000.52, 1, 164.86, 1: 105; 2: 89; 3: 17; 4: 10; 5: 6; 
EGFR_&_ErbB_Signaling, 946,  9, 12,  404, 1, 5, 865635, 74000.52, 1, 164.86, 1: 116; 2: 78; 3: 8; 4: 17; 5: 8; 
EGFR_&_ErbB_Signaling, 862,  7, 16,  404, 1, 5, 890874, 74000.52, 1, 164.86, 1: 109; 2: 85; 3: 13; 4: 14; 5: 6; 
EGFR_&_ErbB_Signaling, 525, 12,  9,  404, 1, 5, 865786, 74000.52, 1, 164.86, 1: 104; 2: 89; 3: 19; 4: 10; 5: 5; 
EGFR_&_ErbB_Signaling, 844,  6, 19,  404, 1, 5, 908173, 74000.52, 1, 164.86, 1: 113; 2: 75; 3: 20; 4: 14; 5: 5; 
EGFR_&_ErbB_Signaling, 145, 12,  9,  404, 1, 5, 865817, 74000.52, 1, 164.86, 1: 120; 2: 67; 3: 18; 4: 14; 5: 8; 
EGFR_&_ErbB_Signaling, 157,  8, 13,  405, 1, 5, 830180, 74000.52, 1, 164.86, 1: 111; 2: 78; 3: 21; 4: 10; 5: 7; 
EGFR_&_ErbB_Signaling, 243, 10, 11,  405, 1, 5, 878833, 74000.52, 1, 164.86, 1: 117; 2: 76; 3: 12; 4: 10; 5: 12; 
EGFR_&_ErbB_Signaling, 638,  7, 17,  405, 1, 5, 940326, 74000.52, 1, 164.86, 1: 112; 2: 79; 3: 15; 4: 15; 5: 6; 
EGFR_&_ErbB_Signaling, 770,  6, 20,  405, 1, 5, 947549, 74000.52, 1, 164.86, 1: 109; 2: 83; 3: 15; 4: 15; 5: 5; 
EGFR_&_ErbB_Signaling, 877,  9, 12,  405, 1, 5, 865821, 74000.52, 1, 164.86, 1: 120; 2: 69; 3: 14; 4: 15; 5: 9; 
EGFR_&_ErbB_Signaling, 789, 12,  9,  406, 1, 5, 865792, 74000.52, 1, 164.86, 1: 115; 2: 74; 3: 16; 4: 15; 5: 7; 
EGFR_&_ErbB_Signaling, 193, 12,  9,  406, 1, 5, 865805, 74000.52, 1, 164.86, 1: 114; 2: 77; 3: 15; 4: 12; 5: 9; 
EGFR_&_ErbB_Signaling, 360, 12,  9,  406, 1, 5, 865755, 74000.52, 1, 164.86, 1: 116; 2: 71; 3: 19; 4: 14; 5: 7; 
EGFR_&_ErbB_Signaling,  35,  6, 19,  406, 1, 5, 908306, 74000.52, 1, 164.86, 1: 108; 2: 85; 3: 17; 4: 8; 5: 9; 
EGFR_&_ErbB_Signaling, 549, 10, 11,  406, 1, 5, 879050, 74000.52, 1, 164.86, 1: 115; 2: 79; 3: 7; 4: 18; 5: 8; 
EGFR_&_ErbB_Signaling, 462, 12,  9,  406, 1, 5, 865865, 74000.52, 1, 164.86, 1: 114; 2: 77; 3: 15; 4: 12; 5: 9; 
EGFR_&_ErbB_Signaling, 502, 11, 10,  406, 1, 5, 879028, 74000.52, 1, 164.86, 1: 115; 2: 73; 3: 17; 4: 16; 5: 6; 
EGFR_&_ErbB_Signaling, 290,  6, 20,  406, 1, 5, 947758, 74000.52, 1, 164.86, 1: 106; 2: 87; 3: 16; 4: 12; 5: 6; 
EGFR_&_ErbB_Signaling, 218,  7, 17,  407, 1, 5, 939953, 74000.52, 1, 164.86, 1: 118; 2: 71; 3: 14; 4: 15; 5: 9; 
EGFR_&_ErbB_Signaling,  65, 10, 11,  407, 1, 5, 879080, 74000.52, 1, 164.86, 1: 113; 2: 77; 3: 15; 4: 15; 5: 7; 
EGFR_&_ErbB_Signaling, 677,  7, 17,  407, 1, 5, 940792, 74000.52, 1, 164.86, 1: 109; 2: 80; 3: 19; 4: 14; 5: 5; 
EGFR_&_ErbB_Signaling, 646,  6, 20,  407, 1, 5, 947750, 74000.52, 1, 164.86, 1: 115; 2: 73; 3: 18; 4: 13; 5: 8; 
EGFR_&_ErbB_Signaling, 636,  6, 20,  407, 1, 5, 947305, 74000.52, 1, 164.86, 1: 113; 2: 77; 3: 16; 4: 13; 5: 8; 
EGFR_&_ErbB_Signaling, 943, 11, 10,  407, 1, 5, 879163, 74000.52, 1, 164.86, 1: 110; 2: 79; 3: 17; 4: 17; 5: 4; 
EGFR_&_ErbB_Signaling, 489,  8, 14,  408, 1, 5, 891112, 74000.52, 1, 164.86, 1: 111; 2: 83; 3: 12; 4: 10; 5: 11; 
EGFR_&_ErbB_Signaling, 697,  8, 13,  408, 1, 5, 830180, 74000.52, 1, 164.86, 1: 117; 2: 72; 3: 15; 4: 13; 5: 10; 
EGFR_&_ErbB_Signaling,  66,  6, 19,  408, 1, 5, 908173, 74000.52, 1, 164.86, 1: 110; 2: 80; 3: 19; 4: 9; 5: 9; 
EGFR_&_ErbB_Signaling, 738, 12,  9,  408, 1, 5, 865826, 74000.52, 1, 164.86, 1: 113; 2: 77; 3: 17; 4: 10; 5: 10; 
EGFR_&_ErbB_Signaling,  29,  6, 20,  408, 1, 5, 947843, 74000.52, 1, 164.86, 1: 115; 2: 72; 3: 18; 4: 15; 5: 7; 
EGFR_&_ErbB_Signaling, 354,  6, 19,  409, 1, 5, 908387, 74000.52, 1, 164.86, 1: 115; 2: 73; 3: 17; 4: 13; 5: 9; 
EGFR_&_ErbB_Signaling, 979,  7, 17,  409, 1, 5, 940629, 74000.52, 1, 164.86, 1: 117; 2: 72; 3: 14; 4: 14; 5: 10; 
EGFR_&_ErbB_Signaling, 723, 12,  9,  409, 1, 5, 865698, 74000.52, 1, 164.86, 1: 117; 2: 72; 3: 12; 4: 18; 5: 8; 
EGFR_&_ErbB_Signaling, 921,  7, 17,  409, 1, 5, 940658, 74000.52, 1, 164.86, 1: 118; 2: 67; 3: 19; 4: 15; 5: 8; 
EGFR_&_ErbB_Signaling, 683,  6, 19,  409, 1, 5, 908321, 74000.52, 1, 164.86, 1: 106; 2: 87; 3: 15; 4: 11; 5: 8; 
EGFR_&_ErbB_Signaling, 846, 10, 11,  409, 1, 5, 879083, 74000.52, 1, 164.86, 1: 103; 2: 89; 3: 18; 4: 11; 5: 6; 
EGFR_&_ErbB_Signaling, 149, 10, 11,  410, 1, 5, 879211, 74000.52, 1, 164.86, 1: 112; 2: 76; 3: 20; 4: 9; 5: 10; 
EGFR_&_ErbB_Signaling, 631,  7, 16,  410, 1, 5, 891100, 74000.52, 1, 164.86, 1: 107; 2: 84; 3: 14; 4: 17; 5: 5; 
EGFR_&_ErbB_Signaling, 586,  6, 19,  410, 1, 5, 908071, 74000.52, 1, 164.86, 1: 113; 2: 74; 3: 20; 4: 11; 5: 9; 
EGFR_&_ErbB_Signaling, 130, 10, 11,  410, 1, 5, 878991, 74000.52, 1, 164.86, 1: 111; 2: 79; 3: 16; 4: 12; 5: 9; 
EGFR_&_ErbB_Signaling, 492, 10, 11,  410, 1, 5, 878941, 74000.52, 1, 164.86, 1: 109; 2: 81; 3: 16; 4: 14; 5: 7; 
EGFR_&_ErbB_Signaling, 182,  8, 13,  410, 1, 5, 830180, 74000.52, 1, 164.86, 1: 113; 2: 78; 3: 11; 4: 17; 5: 8; 
EGFR_&_ErbB_Signaling, 505,  6, 20,  411, 1, 5, 947277, 74000.52, 1, 164.86, 1: 111; 2: 75; 3: 21; 4: 13; 5: 7; 
EGFR_&_ErbB_Signaling, 289, 11, 10,  411, 1, 5, 879171, 74000.52, 1, 164.86, 1: 110; 2: 82; 3: 11; 4: 16; 5: 8; 
EGFR_&_ErbB_Signaling, 463, 10, 11,  411, 1, 5, 879007, 74000.52, 0, 164.86, 1: 117; 2: 70; 3: 17; 4: 12; 5: 11; 
EGFR_&_ErbB_Signaling, 198, 10, 11,  411, 1, 5, 879176, 74000.52, 1, 164.86, 1: 113; 2: 77; 3: 14; 4: 13; 5: 10; 
EGFR_&_ErbB_Signaling,  23,  6, 19,  411, 1, 5, 908230, 74000.52, 1, 164.86, 1: 106; 2: 85; 3: 17; 4: 11; 5: 8; 
EGFR_&_ErbB_Signaling, 270, 10, 11,  411, 1, 5, 878976, 74000.52, 1, 164.86, 1: 115; 2: 73; 3: 14; 4: 17; 5: 8; 
EGFR_&_ErbB_Signaling, 126,  6, 19,  412, 1, 5, 908439, 74000.52, 1, 164.86, 1: 115; 2: 70; 3: 20; 4: 13; 5: 9; 
EGFR_&_ErbB_Signaling, 430,  7, 15,  413, 1, 5, 840840, 74000.52, 1, 164.86, 1: 109; 2: 82; 3: 15; 4: 10; 5: 11; 
EGFR_&_ErbB_Signaling,  56, 10, 11,  414, 1, 5, 879032, 74000.52, 1, 164.86, 1: 104; 2: 91; 3: 9; 4: 14; 5: 9; 
EGFR_&_ErbB_Signaling, 539,  8, 13,  414, 1, 5, 830180, 74000.52, 1, 164.86, 1: 109; 2: 78; 3: 20; 4: 11; 5: 9; 
EGFR_&_ErbB_Signaling, 496,  9, 12,  414, 1, 5, 865841, 74000.52, 1, 164.86, 1: 111; 2: 78; 3: 12; 4: 19; 5: 7; 
EGFR_&_ErbB_Signaling,  59, 11, 10,  415, 1, 5, 879092, 74000.52, 1, 164.86, 1: 106; 2: 86; 3: 12; 4: 14; 5: 9; 
EGFR_&_ErbB_Signaling, 299, 11, 10,  416, 1, 5, 878922, 74000.52, 1, 164.86, 1: 114; 2: 74; 3: 14; 4: 13; 5: 12; 
EGFR_&_ErbB_Signaling, 944,  6, 18,  417, 1, 5, 865741, 74000.52, 1, 164.86, 1: 111; 2: 80; 3: 9; 4: 16; 5: 11; 
EGFR_&_ErbB_Signaling, 531,  7, 15,  419, 1, 5, 840840, 74000.52, 1, 164.86, 1: 106; 2: 82; 3: 16; 4: 14; 5: 9; 
EGFR_&_ErbB_Signaling, 267, 11, 10,  420, 1, 5, 879108, 74000.52, 1, 164.86, 1: 114; 2: 72; 3: 13; 4: 17; 5: 11; 
EGFR_&_ErbB_Signaling, 219, 10, 11,  421, 1, 5, 879126, 74000.52, 1, 164.86, 1: 113; 2: 70; 3: 17; 4: 18; 5: 9; 
EGFR_&_ErbB_Signaling, 511, 10, 11,  421, 1, 5, 879122, 74000.52, 1, 164.86, 1: 111; 2: 78; 3: 12; 4: 12; 5: 14; 
EGFR_&_ErbB_Signaling, 485, 11, 10,  380, 1, 6, 879135, 74000.52, 1, 164.86, 1: 123; 2: 75; 3: 14; 4: 11; 5: 3; 6: 1; 
EGFR_&_ErbB_Signaling, 710,  6, 19,  381, 1, 6, 908281, 74000.52, 1, 164.86, 1: 125; 2: 69; 3: 18; 4: 12; 5: 2; 6: 1; 
EGFR_&_ErbB_Signaling, 726,  7, 16,  382, 1, 6, 890959, 74000.52, 1, 164.86, 1: 123; 2: 75; 3: 16; 4: 6; 5: 5; 6: 2; 
EGFR_&_ErbB_Signaling, 870, 10, 11,  382, 1, 6, 879054, 74000.52, 1, 164.86, 1: 119; 2: 79; 3: 16; 4: 9; 5: 3; 6: 1; 
EGFR_&_ErbB_Signaling, 214, 10, 11,  385, 1, 6, 879100, 74000.52, 1, 164.86, 1: 124; 2: 72; 3: 16; 4: 7; 5: 7; 6: 1; 
EGFR_&_ErbB_Signaling, 532,  7, 17,  385, 1, 6, 940477, 74000.52, 1, 164.86, 1: 122; 2: 76; 3: 12; 4: 11; 5: 5; 6: 1; 
EGFR_&_ErbB_Signaling, 343, 10, 11,  385, 1, 6, 878938, 74000.52, 1, 164.86, 1: 122; 2: 75; 3: 15; 4: 9; 5: 4; 6: 2; 
EGFR_&_ErbB_Signaling, 958,  7, 15,  385, 1, 6, 840840, 74000.52, 1, 164.86, 1: 120; 2: 76; 3: 16; 4: 11; 5: 3; 6: 1; 
EGFR_&_ErbB_Signaling, 714,  6, 20,  386, 1, 6, 947671, 74000.52, 1, 164.86, 1: 120; 2: 74; 3: 19; 4: 10; 5: 3; 6: 1; 
EGFR_&_ErbB_Signaling, 297,  7, 16,  386, 1, 6, 891320, 74000.52, 1, 164.86, 1: 119; 2: 78; 3: 16; 4: 8; 5: 5; 6: 1; 
EGFR_&_ErbB_Signaling, 427,  8, 14,  386, 1, 6, 891183, 74000.52, 1, 164.86, 1: 124; 2: 72; 3: 15; 4: 9; 5: 5; 6: 2; 
EGFR_&_ErbB_Signaling, 315,  7, 17,  386, 1, 6, 940556, 74000.52, 1, 164.86, 1: 126; 2: 70; 3: 14; 4: 9; 5: 6; 6: 2; 
EGFR_&_ErbB_Signaling, 874,  7, 17,  386, 1, 6, 940783, 74000.52, 1, 164.86, 1: 123; 2: 73; 3: 14; 4: 12; 5: 3; 6: 2; 
EGFR_&_ErbB_Signaling, 377,  7, 15,  386, 1, 6, 840840, 74000.52, 1, 164.86, 1: 118; 2: 80; 3: 14; 4: 10; 5: 4; 6: 1; 
EGFR_&_ErbB_Signaling, 971,  6, 19,  386, 1, 6, 908213, 74000.52, 1, 164.86, 1: 119; 2: 76; 3: 19; 4: 8; 5: 4; 6: 1; 
EGFR_&_ErbB_Signaling, 167,  7, 17,  386, 1, 6, 940292, 74000.52, 1, 164.86, 1: 127; 2: 66; 3: 18; 4: 9; 5: 5; 6: 2; 
EGFR_&_ErbB_Signaling, 144,  8, 14,  386, 1, 6, 891163, 74000.52, 1, 164.86, 1: 118; 2: 78; 3: 16; 4: 12; 5: 2; 6: 1; 
EGFR_&_ErbB_Signaling, 656,  6, 20,  387, 1, 6, 947476, 74000.52, 1, 164.86, 1: 121; 2: 75; 3: 15; 4: 10; 5: 5; 6: 1; 
EGFR_&_ErbB_Signaling, 475, 11, 10,  387, 1, 6, 879009, 74000.52, 1, 164.86, 1: 124; 2: 72; 3: 14; 4: 10; 5: 5; 6: 2; 
EGFR_&_ErbB_Signaling, 195, 10, 11,  387, 1, 6, 879031, 74000.52, 1, 164.86, 1: 120; 2: 77; 3: 14; 4: 10; 5: 5; 6: 1; 
EGFR_&_ErbB_Signaling, 117, 12,  9,  387, 1, 6, 865864, 74000.52, 1, 164.86, 1: 121; 2: 77; 3: 11; 4: 12; 5: 5; 6: 1; 
EGFR_&_ErbB_Signaling, 524,  8, 14,  387, 1, 6, 891142, 74000.52, 1, 164.86, 1: 118; 2: 81; 3: 12; 4: 11; 5: 3; 6: 2; 
EGFR_&_ErbB_Signaling, 600,  7, 15,  387, 1, 6, 840840, 74000.52, 1, 164.86, 1: 117; 2: 81; 3: 16; 4: 7; 5: 4; 6: 2; 
EGFR_&_ErbB_Signaling, 276,  7, 16,  387, 1, 6, 891096, 74000.52, 1, 164.86, 1: 119; 2: 78; 3: 15; 4: 9; 5: 5; 6: 1; 
EGFR_&_ErbB_Signaling, 940,  7, 17,  387, 1, 6, 940709, 74000.52, 1, 164.86, 1: 123; 2: 70; 3: 18; 4: 11; 5: 4; 6: 1; 
EGFR_&_ErbB_Signaling, 957,  6, 19,  387, 1, 6, 908087, 74000.52, 1, 164.86, 1: 119; 2: 80; 3: 13; 4: 7; 5: 7; 6: 1; 
EGFR_&_ErbB_Signaling, 180,  7, 16,  387, 1, 6, 891024, 74000.52, 1, 164.86, 1: 120; 2: 76; 3: 18; 4: 6; 5: 5; 6: 2; 
EGFR_&_ErbB_Signaling, 580,  8, 13,  387, 1, 6, 830180, 74000.52, 1, 164.86, 1: 117; 2: 80; 3: 15; 4: 11; 5: 3; 6: 1; 
EGFR_&_ErbB_Signaling, 179,  7, 16,  387, 1, 6, 891278, 74000.52, 1, 164.86, 1: 122; 2: 72; 3: 16; 4: 13; 5: 3; 6: 1; 
EGFR_&_ErbB_Signaling,  72, 12,  9,  388, 1, 6, 865809, 74000.52, 1, 164.86, 1: 115; 2: 82; 3: 17; 4: 8; 5: 4; 6: 1; 
EGFR_&_ErbB_Signaling, 150,  9, 12,  388, 1, 6, 865842, 74000.52, 1, 164.86, 1: 119; 2: 77; 3: 15; 4: 11; 5: 4; 6: 1; 
EGFR_&_ErbB_Signaling, 128,  7, 16,  388, 1, 6, 891005, 74000.52, 1, 164.86, 1: 116; 2: 81; 3: 16; 4: 9; 5: 4; 6: 1; 
EGFR_&_ErbB_Signaling, 445,  9, 12,  388, 1, 6, 865782, 74000.52, 1, 164.86, 1: 120; 2: 77; 3: 14; 4: 9; 5: 6; 6: 1; 
EGFR_&_ErbB_Signaling, 378,  9, 12,  389, 1, 6, 865841, 74000.52, 1, 164.86, 1: 121; 2: 75; 3: 14; 4: 11; 5: 4; 6: 2; 
EGFR_&_ErbB_Signaling, 565,  7, 17,  389, 1, 6, 940816, 74000.52, 1, 164.86, 1: 116; 2: 82; 3: 14; 4: 10; 5: 3; 6: 2; 
EGFR_&_ErbB_Signaling, 317,  8, 13,  389, 1, 6, 830180, 74000.52, 1, 164.86, 1: 121; 2: 78; 3: 12; 4: 6; 5: 8; 6: 2; 
EGFR_&_ErbB_Signaling, 362,  7, 16,  389, 1, 6, 891055, 74000.52, 1, 164.86, 1: 119; 2: 76; 3: 17; 4: 9; 5: 5; 6: 1; 
EGFR_&_ErbB_Signaling, 754,  7, 17,  389, 1, 6, 940678, 74000.52, 1, 164.86, 1: 122; 2: 73; 3: 15; 4: 11; 5: 4; 6: 2; 
EGFR_&_ErbB_Signaling, 793,  8, 14,  389, 1, 6, 890892, 74000.52, 1, 164.86, 1: 122; 2: 76; 3: 12; 4: 9; 5: 5; 6: 3; 
EGFR_&_ErbB_Signaling, 538, 11, 10,  389, 1, 6, 879039, 74000.52, 1, 164.86, 1: 125; 2: 65; 3: 20; 4: 13; 5: 2; 6: 2; 
