Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
3(418)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  88,  8,  7,  137, 1, 3, 443520, 17788.86, 40, 0.00, 1: 72; 2: 28; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 608,  6, 10,  165, 1, 5, 473517, 17788.86, 1, 63.19, 1: 57; 2: 34; 3: 9; 4: 2; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 993, 10,  6,  165, 1, 5, 473459, 17788.86, 1, 63.19, 1: 62; 2: 27; 3: 8; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 793,  7,  8,  165, 1, 5, 443520, 17788.86, 1, 63.19, 1: 59; 2: 30; 3: 11; 4: 2; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 676, 10,  6,  165, 1, 5, 473367, 17788.86, 1, 63.19, 1: 62; 2: 27; 3: 9; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 271,  7,  8,  166, 1, 5, 443520, 17788.86, 0, 63.19, 1: 61; 2: 27; 3: 10; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 130,  4, 14,  166, 1, 5, 443520, 17788.86, 1, 63.19, 1: 64; 2: 22; 3: 11; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 148,  6, 10,  166, 1, 5, 473503, 17788.86, 1, 63.19, 1: 60; 2: 29; 3: 9; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 692, 10,  6,  166, 1, 5, 473352, 17788.86, 1, 63.19, 1: 63; 2: 24; 3: 11; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 913,  6, 10,  167, 1, 5, 473361, 17788.86, 1, 63.19, 1: 62; 2: 25; 3: 11; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 295,  6, 10,  167, 1, 5, 473508, 17788.86, 1, 63.19, 1: 59; 2: 30; 3: 10; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 982,  6, 10,  167, 1, 5, 473515, 17788.86, 1, 63.19, 1: 60; 2: 29; 3: 8; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 428,  6, 10,  167, 1, 5, 473546, 17788.86, 1, 63.19, 1: 58; 2: 31; 3: 10; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 523,  6, 10,  167, 1, 5, 473374, 17788.86, 1, 63.19, 1: 64; 2: 24; 3: 7; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 517,  7,  8,  168, 1, 5, 443520, 17788.86, 1, 63.19, 1: 60; 2: 28; 3: 9; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 144,  4, 14,  168, 1, 5, 443520, 17788.86, 1, 63.19, 1: 63; 2: 24; 3: 8; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,  68,  5, 12,  168, 1, 5, 473417, 17788.86, 1, 63.19, 1: 56; 2: 35; 3: 7; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 535, 10,  6,  168, 1, 5, 473412, 17788.86, 1, 63.19, 1: 62; 2: 26; 3: 9; 4: 3; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 720,  7,  8,  168, 1, 5, 443520, 17788.86, 1, 63.19, 1: 58; 2: 32; 3: 9; 4: 1; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 152,  6, 10,  168, 1, 5, 473541, 17788.86, 1, 63.19, 1: 61; 2: 26; 3: 10; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 948,  5, 12,  168, 1, 5, 473288, 17788.86, 1, 63.19, 1: 60; 2: 31; 3: 4; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 570,  5, 12,  168, 1, 5, 473400, 17788.86, 1, 63.19, 1: 58; 2: 28; 3: 15; 4: 1; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 838,  5, 12,  168, 1, 5, 473462, 17788.86, 0, 63.19, 1: 55; 2: 35; 3: 10; 4: 2; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 118,  7,  8,  169, 1, 5, 443520, 17788.86, 1, 63.19, 1: 59; 2: 30; 3: 8; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 475,  6, 10,  169, 1, 5, 473495, 17788.86, 1, 63.19, 1: 58; 2: 30; 3: 10; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 317,  6, 10,  169, 1, 5, 473530, 17788.86, 1, 63.19, 1: 59; 2: 30; 3: 8; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 902,  4, 14,  169, 1, 5, 443520, 17788.86, 1, 63.19, 1: 62; 2: 26; 3: 7; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 708,  6, 10,  169, 1, 5, 473521, 17788.86, 1, 63.19, 1: 59; 2: 31; 3: 7; 4: 3; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 808,  6, 10,  169, 1, 5, 473851, 17788.86, 1, 63.19, 1: 59; 2: 27; 3: 14; 4: 1; 5: 2; 
MAPK_Cancer_Cell_Fate_Network,  74,  5, 12,  169, 1, 5, 473421, 17788.86, 1, 63.19, 1: 58; 2: 32; 3: 7; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 755,  7,  8,  169, 1, 5, 443520, 17788.86, 1, 63.19, 1: 59; 2: 28; 3: 11; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 976,  6, 10,  169, 1, 5, 473377, 17788.86, 1, 63.19, 1: 60; 2: 28; 3: 9; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 749,  6, 10,  170, 1, 5, 473497, 17788.86, 1, 63.19, 1: 57; 2: 31; 3: 10; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 199,  6, 10,  170, 1, 5, 473285, 17788.86, 1, 63.19, 1: 58; 2: 29; 3: 11; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 714,  7,  8,  170, 1, 5, 443520, 17788.86, 1, 63.19, 1: 58; 2: 30; 3: 10; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 169,  7,  8,  170, 1, 5, 443520, 17788.86, 1, 63.19, 1: 57; 2: 33; 3: 6; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 409, 10,  6,  170, 1, 5, 473524, 17788.86, 1, 63.19, 1: 60; 2: 25; 3: 14; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 794,  6, 10,  170, 1, 5, 473536, 17788.86, 1, 63.19, 1: 59; 2: 30; 3: 6; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 632,  7,  8,  170, 1, 5, 443520, 17788.86, 1, 63.19, 1: 61; 2: 25; 3: 12; 4: 2; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 893,  5, 12,  170, 1, 5, 473158, 17788.86, 1, 63.19, 1: 56; 2: 33; 3: 10; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 654,  7,  8,  170, 1, 5, 443520, 17788.86, 0, 63.19, 1: 59; 2: 30; 3: 7; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 477,  7,  8,  170, 1, 5, 443520, 17788.86, 1, 63.19, 1: 55; 2: 34; 3: 11; 4: 1; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 992,  5, 12,  170, 1, 5, 473569, 17788.86, 1, 63.19, 1: 56; 2: 33; 3: 10; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network,  92, 10,  6,  170, 1, 5, 473412, 17788.86, 1, 63.19, 1: 62; 2: 25; 3: 9; 4: 4; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 106,  5, 12,  170, 1, 5, 473444, 17788.86, 1, 63.19, 1: 56; 2: 33; 3: 10; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network,  31,  7,  9,  170, 1, 5, 492650, 17788.86, 1, 63.19, 1: 58; 2: 30; 3: 10; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 453,  5, 12,  170, 1, 5, 473561, 17788.86, 1, 63.19, 1: 62; 2: 23; 3: 12; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 909,  7,  8,  170, 1, 5, 443520, 17788.86, 1, 63.19, 1: 56; 2: 34; 3: 7; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 422,  5, 12,  171, 1, 5, 473444, 17788.86, 1, 63.19, 1: 61; 2: 25; 3: 10; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 952,  6, 10,  171, 1, 5, 473608, 17788.86, 1, 63.19, 1: 61; 2: 27; 3: 8; 4: 3; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 550, 10,  6,  171, 1, 5, 473275, 17788.86, 1, 63.19, 1: 60; 2: 26; 3: 12; 4: 2; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 417,  6, 10,  171, 1, 5, 473585, 17788.86, 1, 63.19, 1: 56; 2: 32; 3: 10; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 915,  4, 14,  171, 1, 5, 443520, 17788.86, 1, 63.19, 1: 56; 2: 33; 3: 9; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 686,  7,  9,  171, 1, 5, 492490, 17788.86, 1, 63.19, 1: 57; 2: 30; 3: 11; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 238,  5, 12,  171, 1, 5, 473299, 17788.86, 1, 63.19, 1: 55; 2: 34; 3: 9; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 143,  6, 10,  171, 1, 5, 473568, 17788.86, 1, 63.19, 1: 59; 2: 29; 3: 8; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 669,  5, 12,  171, 1, 5, 473540, 17788.86, 1, 63.19, 1: 54; 2: 37; 3: 6; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 711,  6, 10,  171, 1, 5, 473543, 17788.86, 1, 63.19, 1: 56; 2: 35; 3: 4; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 138,  7,  8,  171, 1, 5, 443520, 17788.86, 1, 63.19, 1: 56; 2: 34; 3: 8; 4: 2; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 941,  6, 10,  171, 1, 5, 473427, 17788.86, 1, 63.19, 1: 57; 2: 31; 3: 9; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 222,  7,  8,  171, 1, 5, 443520, 17788.86, 1, 63.19, 1: 57; 2: 34; 3: 5; 4: 4; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 792,  7,  8,  171, 1, 5, 443520, 17788.86, 1, 63.19, 1: 57; 2: 31; 3: 10; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 122,  5, 12,  171, 1, 5, 473476, 17788.86, 1, 63.19, 1: 60; 2: 24; 3: 15; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 624, 10,  6,  172, 1, 5, 473437, 17788.86, 1, 63.19, 1: 59; 2: 29; 3: 6; 4: 8; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 197,  5, 12,  172, 1, 5, 473391, 17788.86, 0, 63.19, 1: 53; 2: 34; 3: 14; 4: 1; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 396,  5, 12,  172, 1, 5, 473575, 17788.86, 1, 63.19, 1: 54; 2: 35; 3: 9; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 552,  8,  7,  172, 1, 5, 443520, 17788.86, 1, 63.19, 1: 56; 2: 31; 3: 11; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 839,  6, 10,  172, 1, 5, 473402, 17788.86, 1, 63.19, 1: 62; 2: 22; 3: 13; 4: 3; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 243,  7,  8,  172, 1, 5, 443520, 17788.86, 1, 63.19, 1: 55; 2: 34; 3: 8; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 368,  5, 12,  172, 1, 5, 473545, 17788.86, 1, 63.19, 1: 59; 2: 29; 3: 8; 4: 4; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 823,  7,  8,  172, 1, 5, 443520, 17788.86, 1, 63.19, 1: 52; 2: 38; 3: 9; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 375,  6, 10,  172, 1, 5, 473555, 17788.86, 1, 63.19, 1: 58; 2: 28; 3: 11; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 276,  6, 10,  172, 1, 5, 473310, 17788.86, 1, 63.19, 1: 54; 2: 37; 3: 6; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 450,  7,  8,  172, 1, 5, 443520, 17788.86, 0, 63.19, 1: 54; 2: 37; 3: 6; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 743, 10,  6,  173, 1, 5, 473346, 17788.86, 1, 63.19, 1: 58; 2: 29; 3: 9; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 345,  6, 10,  173, 1, 5, 473398, 17788.86, 1, 63.19, 1: 60; 2: 24; 3: 13; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 264, 10,  6,  173, 1, 5, 473402, 17788.86, 1, 63.19, 1: 59; 2: 28; 3: 8; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network,  76,  7,  8,  173, 1, 5, 443520, 17788.86, 1, 63.19, 1: 58; 2: 29; 3: 9; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 198,  5, 11,  173, 1, 5, 435105, 17788.86, 1, 63.19, 1: 55; 2: 32; 3: 12; 4: 2; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 610,  4, 14,  173, 1, 5, 443520, 17788.86, 1, 63.19, 1: 53; 2: 36; 3: 9; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 341,  4, 14,  173, 1, 5, 443520, 17788.86, 1, 63.19, 1: 57; 2: 29; 3: 11; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 943,  6, 10,  173, 1, 5, 473371, 17788.86, 1, 63.19, 1: 60; 2: 26; 3: 10; 4: 4; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 438,  4, 14,  173, 1, 5, 443520, 17788.86, 1, 63.19, 1: 60; 2: 24; 3: 12; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 827, 10,  6,  174, 1, 5, 473383, 17788.86, 1, 63.19, 1: 57; 2: 31; 3: 7; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 203,  8,  7,  174, 1, 5, 443520, 17788.86, 1, 63.19, 1: 51; 2: 38; 3: 10; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,  20,  4, 14,  174, 1, 5, 443520, 17788.86, 1, 63.19, 1: 61; 2: 23; 3: 11; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 729,  5, 12,  174, 1, 5, 473425, 17788.86, 1, 63.19, 1: 59; 2: 26; 3: 10; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 780,  6, 10,  174, 1, 5, 473504, 17788.86, 1, 63.19, 1: 57; 2: 30; 3: 10; 4: 3; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 989,  6, 10,  174, 1, 5, 473311, 17788.86, 1, 63.19, 1: 55; 2: 31; 3: 12; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 400,  7,  8,  174, 1, 5, 443520, 17788.86, 1, 63.19, 1: 55; 2: 35; 3: 6; 4: 4; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 468,  4, 14,  174, 1, 5, 443520, 17788.86, 1, 63.19, 1: 57; 2: 28; 3: 13; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 214,  7,  8,  174, 1, 5, 443520, 17788.86, 1, 63.19, 1: 59; 2: 27; 3: 9; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 213,  4, 14,  174, 1, 5, 443520, 17788.86, 1, 63.19, 1: 59; 2: 27; 3: 11; 4: 2; 5: 4; 
MAPK_Cancer_Cell_Fate_Network,  86,  5, 12,  174, 1, 5, 473470, 17788.86, 1, 63.19, 1: 56; 2: 32; 3: 8; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 699,  6, 10,  174, 1, 5, 473457, 17788.86, 1, 63.19, 1: 57; 2: 28; 3: 12; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 252,  4, 14,  174, 1, 5, 443520, 17788.86, 1, 63.19, 1: 56; 2: 29; 3: 13; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 618,  5, 12,  174, 1, 5, 473281, 17788.86, 1, 63.19, 1: 56; 2: 30; 3: 11; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 834,  7,  8,  174, 1, 5, 443520, 17788.86, 1, 63.19, 1: 55; 2: 32; 3: 10; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 454,  8,  7,  174, 1, 5, 443520, 17788.86, 1, 63.19, 1: 51; 2: 39; 3: 8; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 969,  7,  8,  174, 1, 5, 443520, 17788.86, 1, 63.19, 1: 55; 2: 32; 3: 10; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 706, 10,  6,  175, 1, 5, 473527, 17788.86, 0, 63.19, 1: 64; 2: 17; 3: 12; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 551,  7,  8,  175, 1, 5, 443520, 17788.86, 1, 63.19, 1: 57; 2: 28; 3: 11; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 388,  8,  7,  175, 1, 5, 443520, 17788.86, 1, 63.19, 1: 53; 2: 35; 3: 9; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 532,  4, 14,  175, 1, 5, 443520, 17788.86, 1, 63.19, 1: 54; 2: 33; 3: 10; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 258,  6, 10,  175, 1, 5, 473508, 17788.86, 1, 63.19, 1: 56; 2: 31; 3: 10; 4: 3; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 667, 10,  6,  175, 1, 5, 473457, 17788.86, 1, 63.19, 1: 57; 2: 30; 3: 8; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 274,  6, 10,  175, 1, 5, 473514, 17788.86, 1, 63.19, 1: 58; 2: 29; 3: 6; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 897,  6, 10,  175, 1, 5, 473306, 17788.86, 1, 63.19, 1: 57; 2: 28; 3: 12; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 726,  6, 10,  175, 1, 5, 473223, 17788.86, 1, 63.19, 1: 56; 2: 30; 3: 10; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 934,  5, 12,  175, 1, 5, 473542, 17788.86, 1, 63.19, 1: 53; 2: 36; 3: 7; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 216,  6, 10,  175, 1, 5, 473373, 17788.86, 1, 63.19, 1: 61; 2: 23; 3: 11; 4: 5; 5: 3; 
MAPK_Cancer_Cell_Fate_Network,  51,  5, 11,  175, 1, 5, 435105, 17788.86, 1, 63.19, 1: 57; 2: 29; 3: 10; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 542, 10,  6,  175, 1, 5, 473350, 17788.86, 1, 63.19, 1: 60; 2: 23; 3: 13; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 718,  6, 10,  175, 1, 5, 473388, 17788.86, 0, 63.19, 1: 59; 2: 27; 3: 9; 4: 5; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 488,  5, 13,  175, 1, 5, 504533, 17788.86, 1, 63.19, 1: 58; 2: 27; 3: 12; 4: 3; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 524,  7,  8,  175, 1, 5, 443520, 17788.86, 1, 63.19, 1: 59; 2: 27; 3: 8; 4: 7; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 924,  5, 12,  175, 1, 5, 473472, 17788.86, 1, 63.19, 1: 56; 2: 29; 3: 13; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 878,  4, 14,  175, 1, 5, 443520, 17788.86, 1, 63.19, 1: 55; 2: 31; 3: 11; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 885,  5, 12,  175, 1, 5, 473295, 17788.86, 1, 63.19, 1: 58; 2: 28; 3: 10; 4: 4; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 546,  6, 10,  176, 1, 5, 473434, 17788.86, 1, 63.19, 1: 55; 2: 31; 3: 11; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network,  47,  6, 10,  176, 1, 5, 473474, 17788.86, 1, 63.19, 1: 57; 2: 28; 3: 10; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 425,  5, 12,  176, 1, 5, 473401, 17788.86, 1, 63.19, 1: 58; 2: 27; 3: 9; 4: 8; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 361,  7,  8,  176, 1, 5, 443520, 17788.86, 0, 63.19, 1: 52; 2: 37; 3: 7; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 443,  5, 12,  176, 1, 5, 473433, 17788.86, 1, 63.19, 1: 54; 2: 34; 3: 9; 4: 3; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 843,  7,  8,  176, 1, 5, 443520, 17788.86, 1, 63.19, 1: 58; 2: 26; 3: 12; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 712,  5, 12,  176, 1, 5, 473394, 17788.86, 1, 63.19, 1: 55; 2: 31; 3: 10; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 183,  5, 12,  176, 1, 5, 473261, 17788.86, 1, 63.19, 1: 53; 2: 34; 3: 11; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 694,  7,  8,  176, 1, 5, 443520, 17788.86, 1, 63.19, 1: 58; 2: 28; 3: 7; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 791,  5, 12,  176, 1, 5, 473417, 17788.86, 1, 63.19, 1: 62; 2: 21; 3: 11; 4: 6; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 348,  4, 14,  176, 1, 5, 443520, 17788.86, 1, 63.19, 1: 56; 2: 29; 3: 13; 4: 2; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 478,  4, 14,  176, 1, 5, 443520, 17788.86, 1, 63.19, 1: 58; 2: 25; 3: 13; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 290,  4, 14,  176, 1, 5, 443520, 17788.86, 1, 63.19, 1: 53; 2: 35; 3: 9; 4: 4; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 800,  7,  9,  176, 1, 5, 492801, 17788.86, 1, 63.19, 1: 51; 2: 38; 3: 9; 4: 3; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 636,  5, 11,  176, 1, 5, 435105, 17788.86, 1, 63.19, 1: 54; 2: 32; 3: 11; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 814,  6, 10,  176, 1, 5, 473479, 17788.86, 1, 63.19, 1: 58; 2: 30; 3: 5; 4: 7; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 956,  4, 14,  176, 1, 5, 443520, 17788.86, 1, 63.19, 1: 55; 2: 32; 3: 8; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 707, 10,  6,  177, 1, 5, 473426, 17788.86, 1, 63.19, 1: 61; 2: 24; 3: 7; 4: 8; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 490,  7,  8,  177, 1, 5, 443520, 17788.86, 1, 63.19, 1: 57; 2: 27; 3: 13; 4: 3; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 292,  6, 10,  177, 1, 5, 473529, 17788.86, 1, 63.19, 1: 57; 2: 24; 3: 17; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 408,  5, 12,  177, 1, 5, 473469, 17788.86, 1, 63.19, 1: 55; 2: 31; 3: 10; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network,  29,  4, 14,  177, 1, 5, 443520, 17788.86, 1, 63.19, 1: 57; 2: 27; 3: 12; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 728,  7,  9,  177, 1, 5, 492764, 17788.86, 1, 63.19, 1: 51; 2: 36; 3: 11; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 646,  4, 14,  177, 1, 5, 443520, 17788.86, 1, 63.19, 1: 57; 2: 26; 3: 15; 4: 2; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 364,  4, 14,  177, 1, 5, 443520, 17788.86, 1, 63.19, 1: 56; 2: 29; 3: 11; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 727, 10,  6,  177, 1, 5, 473409, 17788.86, 1, 63.19, 1: 56; 2: 27; 3: 14; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 579,  6, 10,  177, 1, 5, 473374, 17788.86, 1, 63.19, 1: 55; 2: 29; 3: 13; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 491,  4, 14,  177, 1, 5, 443520, 17788.86, 1, 63.19, 1: 58; 2: 25; 3: 13; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 876,  7,  8,  177, 1, 5, 443520, 17788.86, 1, 63.19, 1: 58; 2: 27; 3: 10; 4: 5; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 373,  4, 14,  177, 1, 5, 443520, 17788.86, 1, 63.19, 1: 57; 2: 28; 3: 10; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 117, 10,  6,  177, 1, 5, 473425, 17788.86, 1, 63.19, 1: 56; 2: 32; 3: 7; 4: 4; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 559,  5, 13,  177, 1, 5, 504608, 17788.86, 1, 63.19, 1: 54; 2: 33; 3: 9; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 460,  8,  7,  177, 1, 5, 443520, 17788.86, 1, 63.19, 1: 52; 2: 33; 3: 14; 4: 3; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 486, 10,  6,  177, 1, 5, 473421, 17788.86, 1, 63.19, 1: 63; 2: 17; 3: 13; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 822,  5, 12,  177, 1, 5, 473395, 17788.86, 1, 63.19, 1: 56; 2: 30; 3: 9; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 753,  8,  7,  177, 1, 5, 443520, 17788.86, 1, 63.19, 1: 51; 2: 36; 3: 11; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 226,  5, 12,  177, 1, 5, 473462, 17788.86, 1, 63.19, 1: 58; 2: 26; 3: 12; 4: 4; 5: 3; 
