Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(987)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  73,  7,  9,  178, 1, 4, 492805, 18288.16, 162, 0.00, 1: 54; 2: 28; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 323,  5, 13,  210, 1, 4, 504748, 18288.16, 1, 63.07, 1: 40; 2: 31; 3: 20; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 934,  5, 12,  215, 1, 4, 473417, 18288.16, 1, 63.07, 1: 40; 2: 30; 3: 17; 4: 16; 
MAPK_Cancer_Cell_Fate_Network, 564,  4, 14,  216, 1, 4, 443520, 18288.16, 1, 63.07, 1: 39; 2: 30; 3: 19; 4: 15; 
MAPK_Cancer_Cell_Fate_Network, 530,  5, 12,  218, 1, 4, 473392, 18288.16, 1, 63.07, 1: 38; 2: 29; 3: 22; 4: 14; 
MAPK_Cancer_Cell_Fate_Network,  29,  4, 14,  220, 1, 4, 443520, 18288.16, 1, 63.07, 1: 42; 2: 24; 3: 18; 4: 19; 
MAPK_Cancer_Cell_Fate_Network, 896,  4, 14,  222, 1, 4, 443520, 18288.16, 1, 63.07, 1: 41; 2: 24; 3: 19; 4: 19; 
MAPK_Cancer_Cell_Fate_Network, 227,  4, 14,  223, 1, 4, 443520, 18288.16, 1, 63.07, 1: 39; 2: 27; 3: 18; 4: 19; 
MAPK_Cancer_Cell_Fate_Network, 783,  5, 12,  224, 1, 4, 473387, 18288.16, 1, 63.07, 1: 37; 2: 27; 3: 23; 4: 16; 
MAPK_Cancer_Cell_Fate_Network, 401,  4, 14,  224, 1, 4, 443520, 18288.16, 1, 63.07, 1: 37; 2: 24; 3: 29; 4: 13; 
MAPK_Cancer_Cell_Fate_Network, 908,  4, 14,  224, 1, 4, 443520, 18288.16, 1, 63.07, 1: 39; 2: 26; 3: 19; 4: 19; 
MAPK_Cancer_Cell_Fate_Network, 115,  4, 14,  225, 1, 4, 443520, 18288.16, 1, 63.07, 1: 40; 2: 26; 3: 15; 4: 22; 
MAPK_Cancer_Cell_Fate_Network, 958,  5, 12,  225, 1, 4, 473407, 18288.16, 1, 63.07, 1: 42; 2: 24; 3: 13; 4: 24; 
MAPK_Cancer_Cell_Fate_Network, 520,  4, 14,  226, 1, 4, 443520, 18288.16, 1, 63.07, 1: 40; 2: 22; 3: 22; 4: 19; 
MAPK_Cancer_Cell_Fate_Network, 240,  4, 14,  226, 1, 4, 443520, 18288.16, 1, 63.07, 1: 38; 2: 26; 3: 20; 4: 19; 
MAPK_Cancer_Cell_Fate_Network, 781,  4, 14,  227, 1, 4, 443520, 18288.16, 1, 63.07, 1: 32; 2: 33; 3: 23; 4: 15; 
MAPK_Cancer_Cell_Fate_Network,  56,  4, 14,  227, 1, 4, 443520, 18288.16, 1, 63.07, 1: 35; 2: 28; 3: 24; 4: 16; 
MAPK_Cancer_Cell_Fate_Network, 491,  4, 14,  230, 1, 4, 443520, 18288.16, 1, 63.07, 1: 34; 2: 31; 3: 18; 4: 20; 
MAPK_Cancer_Cell_Fate_Network, 979,  4, 14,  232, 1, 4, 443520, 18288.16, 1, 63.07, 1: 39; 2: 22; 3: 19; 4: 23; 
MAPK_Cancer_Cell_Fate_Network, 529,  4, 14,  234, 1, 4, 443520, 18288.16, 1, 63.07, 1: 34; 2: 27; 3: 22; 4: 20; 
MAPK_Cancer_Cell_Fate_Network, 889,  4, 14,  236, 1, 4, 443520, 18288.16, 1, 63.07, 1: 37; 2: 21; 3: 23; 4: 22; 
MAPK_Cancer_Cell_Fate_Network,  40,  4, 14,  237, 1, 4, 443520, 18288.16, 1, 63.07, 1: 31; 2: 35; 3: 12; 4: 25; 
MAPK_Cancer_Cell_Fate_Network, 213,  4, 14,  243, 1, 4, 443520, 18288.16, 1, 63.07, 1: 26; 2: 34; 3: 23; 4: 20; 
MAPK_Cancer_Cell_Fate_Network, 835,  4, 14,  245, 1, 4, 443520, 18288.16, 1, 63.07, 1: 35; 2: 20; 3: 22; 4: 26; 
MAPK_Cancer_Cell_Fate_Network, 673,  4, 14,  249, 1, 4, 443520, 18288.16, 1, 63.07, 1: 29; 2: 28; 3: 20; 4: 26; 
MAPK_Cancer_Cell_Fate_Network, 414,  4, 14,  273, 1, 4, 443520, 18288.16, 1, 63.07, 1: 24; 2: 21; 3: 25; 4: 33; 
MAPK_Cancer_Cell_Fate_Network, 325,  7,  9,  185, 1, 5, 492784, 18288.16, 1, 63.07, 1: 51; 2: 31; 3: 13; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 515,  7,  9,  186, 1, 5, 492698, 18288.16, 1, 63.07, 1: 47; 2: 35; 3: 16; 4: 4; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 464,  7,  9,  186, 1, 5, 492808, 18288.16, 1, 63.07, 1: 51; 2: 31; 3: 12; 4: 8; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 166, 10,  6,  188, 1, 5, 473428, 18288.16, 1, 63.07, 1: 51; 2: 31; 3: 10; 4: 10; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 199,  6, 10,  188, 1, 5, 473454, 18288.16, 1, 63.07, 1: 51; 2: 32; 3: 8; 4: 11; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 740,  7,  9,  188, 1, 5, 492762, 18288.16, 1, 63.07, 1: 52; 2: 28; 3: 13; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 112,  7,  9,  189, 1, 5, 492713, 18288.16, 1, 63.07, 1: 49; 2: 32; 3: 13; 4: 8; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 141,  7,  9,  189, 1, 5, 492770, 18288.16, 1, 63.07, 1: 49; 2: 31; 3: 15; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 778,  7,  9,  190, 1, 5, 492777, 18288.16, 1, 63.07, 1: 44; 2: 38; 3: 15; 4: 5; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 745,  6, 10,  190, 1, 5, 473381, 18288.16, 1, 63.07, 1: 51; 2: 31; 3: 8; 4: 12; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 482,  7,  9,  190, 1, 5, 492784, 18288.16, 1, 63.07, 1: 47; 2: 35; 3: 13; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 378,  7,  9,  190, 1, 5, 492650, 18288.16, 1, 63.07, 1: 53; 2: 29; 3: 7; 4: 12; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 699,  6, 10,  190, 1, 5, 473402, 18288.16, 1, 63.07, 1: 49; 2: 31; 3: 14; 4: 8; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 470,  8,  7,  191, 1, 5, 443520, 18288.16, 1, 63.07, 1: 44; 2: 38; 3: 14; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 326, 10,  6,  191, 1, 5, 473498, 18288.16, 1, 63.07, 1: 45; 2: 36; 3: 15; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 504,  7,  8,  191, 1, 5, 443520, 18288.16, 1, 63.07, 1: 51; 2: 27; 3: 15; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 241,  7,  9,  191, 1, 5, 492787, 18288.16, 1, 63.07, 1: 51; 2: 28; 3: 14; 4: 8; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 143,  6, 10,  191, 1, 5, 473464, 18288.16, 1, 63.07, 1: 52; 2: 26; 3: 15; 4: 8; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 186,  7,  8,  192, 1, 5, 443520, 18288.16, 0, 63.07, 1: 50; 2: 30; 3: 11; 4: 11; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 230,  7,  9,  192, 1, 5, 492761, 18288.16, 1, 63.07, 1: 52; 2: 28; 3: 10; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 298,  7,  9,  192, 1, 5, 492867, 18288.16, 1, 63.07, 1: 44; 2: 37; 3: 17; 4: 2; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 820,  7,  8,  192, 1, 5, 443520, 18288.16, 1, 63.07, 1: 48; 2: 33; 3: 11; 4: 10; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 722,  6, 10,  192, 1, 5, 473417, 18288.16, 1, 63.07, 1: 55; 2: 21; 3: 16; 4: 8; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 658,  6, 10,  192, 1, 5, 473412, 18288.16, 1, 63.07, 1: 48; 2: 31; 3: 16; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 774,  8,  7,  193, 1, 5, 443520, 18288.16, 0, 63.07, 1: 49; 2: 28; 3: 17; 4: 8; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 302,  7,  9,  193, 1, 5, 492734, 18288.16, 1, 63.07, 1: 51; 2: 29; 3: 10; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 827, 10,  6,  193, 1, 5, 473398, 18288.16, 1, 63.07, 1: 48; 2: 33; 3: 12; 4: 7; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 244,  7,  8,  193, 1, 5, 443520, 18288.16, 1, 63.07, 1: 51; 2: 24; 3: 19; 4: 8; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 872,  7,  9,  193, 1, 5, 492743, 18288.16, 1, 63.07, 1: 48; 2: 33; 3: 11; 4: 9; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 540,  7,  9,  193, 1, 5, 492821, 18288.16, 1, 63.07, 1: 52; 2: 26; 3: 14; 4: 8; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 918,  7,  9,  193, 1, 5, 492842, 18288.16, 1, 63.07, 1: 45; 2: 37; 3: 12; 4: 7; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 116,  7,  8,  194, 1, 5, 443520, 18288.16, 1, 63.07, 1: 46; 2: 32; 3: 17; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 766,  7,  9,  194, 1, 5, 492739, 18288.16, 1, 63.07, 1: 48; 2: 28; 3: 19; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 975,  8,  7,  194, 1, 5, 443520, 18288.16, 1, 63.07, 1: 47; 2: 30; 3: 19; 4: 5; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 400,  7,  8,  194, 1, 5, 443520, 18288.16, 1, 63.07, 1: 50; 2: 27; 3: 16; 4: 8; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 634,  7,  8,  194, 1, 5, 443520, 18288.16, 0, 63.07, 1: 49; 2: 28; 3: 16; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 559,  5, 13,  194, 1, 5, 504681, 18288.16, 1, 63.07, 1: 47; 2: 31; 3: 16; 4: 8; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,  71,  7,  9,  194, 1, 5, 492859, 18288.16, 1, 63.07, 1: 50; 2: 28; 3: 14; 4: 9; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 523,  6, 10,  194, 1, 5, 473405, 18288.16, 1, 63.07, 1: 47; 2: 34; 3: 10; 4: 11; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 358,  6, 10,  194, 1, 5, 473491, 18288.16, 1, 63.07, 1: 47; 2: 33; 3: 13; 4: 8; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 787,  7,  8,  194, 1, 5, 443520, 18288.16, 1, 63.07, 1: 45; 2: 34; 3: 16; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 569,  7,  8,  195, 1, 5, 443520, 18288.16, 0, 63.07, 1: 48; 2: 30; 3: 15; 4: 8; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 153,  8,  7,  195, 1, 5, 443520, 18288.16, 1, 63.07, 1: 48; 2: 31; 3: 13; 4: 9; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 538,  8,  7,  195, 1, 5, 443520, 18288.16, 1, 63.07, 1: 44; 2: 38; 3: 10; 4: 10; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,  38,  7,  8,  195, 1, 5, 443520, 18288.16, 1, 63.07, 1: 47; 2: 32; 3: 14; 4: 8; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 475,  6, 10,  195, 1, 5, 473472, 18288.16, 1, 63.07, 1: 49; 2: 32; 3: 10; 4: 8; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 505,  5, 11,  195, 1, 5, 435105, 18288.16, 1, 63.07, 1: 49; 2: 29; 3: 13; 4: 11; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 617,  8,  7,  195, 1, 5, 443520, 18288.16, 1, 63.07, 1: 48; 2: 32; 3: 12; 4: 8; 5: 3; 
MAPK_Cancer_Cell_Fate_Network,  96,  5, 12,  195, 1, 5, 473460, 18288.16, 1, 63.07, 1: 49; 2: 29; 3: 13; 4: 11; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 603, 10,  6,  195, 1, 5, 473434, 18288.16, 0, 63.07, 1: 50; 2: 29; 3: 11; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 471, 10,  6,  196, 1, 5, 473433, 18288.16, 1, 63.07, 1: 50; 2: 28; 3: 11; 4: 13; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 411,  7,  9,  196, 1, 5, 492811, 18288.16, 1, 63.07, 1: 47; 2: 29; 3: 19; 4: 6; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 403,  8,  7,  196, 1, 5, 443520, 18288.16, 1, 63.07, 1: 43; 2: 39; 3: 10; 4: 10; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 435,  7,  8,  196, 1, 5, 443520, 18288.16, 1, 63.07, 1: 47; 2: 30; 3: 17; 4: 7; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 643,  6, 10,  196, 1, 5, 473490, 18288.16, 1, 63.07, 1: 46; 2: 32; 3: 15; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 784,  5, 13,  196, 1, 5, 504666, 18288.16, 1, 63.07, 1: 46; 2: 32; 3: 15; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 585,  7,  8,  196, 1, 5, 443520, 18288.16, 1, 63.07, 1: 47; 2: 31; 3: 15; 4: 8; 5: 2; 
MAPK_Cancer_Cell_Fate_Network,  33,  5, 13,  196, 1, 5, 504763, 18288.16, 1, 63.07, 1: 47; 2: 29; 3: 18; 4: 8; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 370,  5, 13,  196, 1, 5, 504409, 18288.16, 1, 63.07, 1: 45; 2: 34; 3: 14; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 146,  8,  7,  196, 1, 5, 443520, 18288.16, 1, 63.07, 1: 47; 2: 31; 3: 15; 4: 8; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 675,  7,  9,  196, 1, 5, 492755, 18288.16, 1, 63.07, 1: 51; 2: 25; 3: 16; 4: 8; 5: 3; 
MAPK_Cancer_Cell_Fate_Network,   0,  6, 10,  196, 1, 5, 473377, 18288.16, 1, 63.07, 1: 45; 2: 32; 3: 18; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 345,  6, 10,  196, 1, 5, 473406, 18288.16, 1, 63.07, 1: 46; 2: 33; 3: 14; 4: 8; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 691, 10,  6,  197, 1, 5, 473381, 18288.16, 0, 63.07, 1: 47; 2: 30; 3: 15; 4: 10; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,  53,  8,  7,  197, 1, 5, 443520, 18288.16, 1, 63.07, 1: 48; 2: 28; 3: 16; 4: 10; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 850, 10,  6,  197, 1, 5, 473424, 18288.16, 1, 63.07, 1: 50; 2: 27; 3: 14; 4: 9; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 102,  6, 10,  197, 1, 5, 473400, 18288.16, 1, 63.07, 1: 48; 2: 30; 3: 13; 4: 10; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 239,  7,  9,  197, 1, 5, 492800, 18288.16, 1, 63.07, 1: 50; 2: 27; 3: 12; 4: 13; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 986, 10,  6,  197, 1, 5, 473419, 18288.16, 1, 63.07, 1: 48; 2: 27; 3: 18; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 590,  5, 13,  198, 1, 5, 504643, 18288.16, 1, 63.07, 1: 45; 2: 32; 3: 16; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 576,  8,  7,  198, 1, 5, 443520, 18288.16, 1, 63.07, 1: 48; 2: 30; 3: 12; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 856,  5, 11,  198, 1, 5, 435105, 18288.16, 1, 63.07, 1: 45; 2: 30; 3: 20; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 157,  6, 10,  198, 1, 5, 473456, 18288.16, 1, 63.07, 1: 46; 2: 29; 3: 19; 4: 8; 5: 1; 
MAPK_Cancer_Cell_Fate_Network,  82,  5, 11,  198, 1, 5, 435105, 18288.16, 1, 63.07, 1: 46; 2: 33; 3: 11; 4: 12; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 551,  7,  8,  198, 1, 5, 443520, 18288.16, 1, 63.07, 1: 44; 2: 32; 3: 19; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 140,  8,  7,  198, 1, 5, 443520, 18288.16, 1, 63.07, 1: 47; 2: 28; 3: 18; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 982,  6, 10,  198, 1, 5, 473454, 18288.16, 1, 63.07, 1: 46; 2: 35; 3: 10; 4: 8; 5: 4; 
MAPK_Cancer_Cell_Fate_Network, 843,  7,  8,  198, 1, 5, 443520, 18288.16, 1, 63.07, 1: 47; 2: 30; 3: 16; 4: 7; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 687,  6, 10,  198, 1, 5, 473450, 18288.16, 1, 63.07, 1: 44; 2: 34; 3: 16; 4: 7; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 733,  5, 13,  199, 1, 5, 504758, 18288.16, 1, 63.07, 1: 46; 2: 30; 3: 16; 4: 10; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 163,  5, 13,  199, 1, 5, 504556, 18288.16, 1, 63.07, 1: 50; 2: 25; 3: 15; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 270,  7,  8,  199, 1, 5, 443520, 18288.16, 0, 63.07, 1: 45; 2: 34; 3: 11; 4: 12; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 670,  5, 13,  199, 1, 5, 504694, 18288.16, 1, 63.07, 1: 48; 2: 28; 3: 14; 4: 12; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 561,  5, 12,  199, 1, 5, 473452, 18288.16, 1, 63.07, 1: 46; 2: 30; 3: 16; 4: 10; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 229,  7,  8,  199, 1, 5, 443520, 18288.16, 1, 63.07, 1: 48; 2: 29; 3: 13; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 842,  7,  8,  199, 1, 5, 443520, 18288.16, 1, 63.07, 1: 50; 2: 26; 3: 14; 4: 10; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 749,  6, 10,  199, 1, 5, 473516, 18288.16, 1, 63.07, 1: 42; 2: 34; 3: 20; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 537,  6, 10,  199, 1, 5, 473316, 18288.16, 1, 63.07, 1: 46; 2: 29; 3: 18; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 171,  5, 11,  199, 1, 5, 435105, 18288.16, 1, 63.07, 1: 47; 2: 27; 3: 19; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 684,  5, 11,  199, 1, 5, 435105, 18288.16, 1, 63.07, 1: 50; 2: 26; 3: 12; 4: 14; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 477,  7,  8,  199, 1, 5, 443520, 18288.16, 0, 63.07, 1: 42; 2: 34; 3: 20; 4: 6; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 450,  7,  8,  199, 1, 5, 443520, 18288.16, 1, 63.07, 1: 50; 2: 23; 3: 18; 4: 11; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 296,  5, 12,  199, 1, 5, 473452, 18288.16, 1, 63.07, 1: 39; 2: 41; 3: 15; 4: 7; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 331,  5, 12,  200, 1, 5, 473442, 18288.16, 1, 63.07, 1: 48; 2: 28; 3: 14; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 255,  5, 13,  200, 1, 5, 504672, 18288.16, 1, 63.07, 1: 43; 2: 34; 3: 16; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 598,  7,  8,  200, 1, 5, 443520, 18288.16, 0, 63.07, 1: 50; 2: 27; 3: 9; 4: 16; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 152,  6, 10,  200, 1, 5, 473374, 18288.16, 1, 63.07, 1: 50; 2: 22; 3: 20; 4: 9; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 577,  5, 12,  200, 1, 5, 473492, 18288.16, 1, 63.07, 1: 48; 2: 29; 3: 11; 4: 14; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 903,  7,  9,  200, 1, 5, 492589, 18288.16, 1, 63.07, 1: 47; 2: 30; 3: 13; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 869,  5, 13,  200, 1, 5, 504675, 18288.16, 1, 63.07, 1: 48; 2: 27; 3: 15; 4: 12; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 697,  5, 13,  200, 1, 5, 504486, 18288.16, 1, 63.07, 1: 46; 2: 28; 3: 19; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 133,  7,  9,  200, 1, 5, 492773, 18288.16, 1, 63.07, 1: 48; 2: 28; 3: 15; 4: 9; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 369,  7,  8,  200, 1, 5, 443520, 18288.16, 1, 63.07, 1: 48; 2: 26; 3: 18; 4: 9; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 836,  7,  8,  200, 1, 5, 443520, 18288.16, 1, 63.07, 1: 47; 2: 30; 3: 12; 4: 13; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 702,  5, 11,  200, 1, 5, 435105, 18288.16, 1, 63.07, 1: 43; 2: 35; 3: 14; 4: 10; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 392,  7,  8,  200, 1, 5, 443520, 18288.16, 0, 63.07, 1: 46; 2: 32; 3: 12; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 365,  5, 13,  200, 1, 5, 504696, 18288.16, 1, 63.07, 1: 46; 2: 27; 3: 21; 4: 8; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 391,  5, 13,  200, 1, 5, 504687, 18288.16, 1, 63.07, 1: 46; 2: 32; 3: 12; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 771,  7,  9,  200, 1, 5, 492731, 18288.16, 1, 63.07, 1: 46; 2: 31; 3: 15; 4: 8; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 280,  5, 13,  201, 1, 5, 504711, 18288.16, 1, 63.07, 1: 45; 2: 34; 3: 10; 4: 12; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 812,  6, 10,  201, 1, 5, 473440, 18288.16, 0, 63.07, 1: 48; 2: 27; 3: 16; 4: 9; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 368,  5, 12,  201, 1, 5, 473469, 18288.16, 1, 63.07, 1: 46; 2: 28; 3: 18; 4: 10; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 898,  7,  9,  201, 1, 5, 492805, 18288.16, 0, 63.07, 1: 43; 2: 36; 3: 12; 4: 10; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 753,  8,  7,  201, 1, 5, 443520, 18288.16, 1, 63.07, 1: 49; 2: 25; 3: 17; 4: 9; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 718,  6, 10,  202, 1, 5, 473490, 18288.16, 1, 63.07, 1: 44; 2: 34; 3: 12; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 714,  7,  8,  202, 1, 5, 443520, 18288.16, 1, 63.07, 1: 43; 2: 35; 3: 13; 4: 10; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 855,  5, 11,  202, 1, 5, 435105, 18288.16, 1, 63.07, 1: 47; 2: 29; 3: 12; 4: 14; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 289,  5, 13,  202, 1, 5, 504713, 18288.16, 1, 63.07, 1: 46; 2: 29; 3: 15; 4: 12; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 594, 10,  6,  202, 1, 5, 473426, 18288.16, 0, 63.07, 1: 51; 2: 23; 3: 14; 4: 12; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 354,  5, 13,  202, 1, 5, 504592, 18288.16, 1, 63.07, 1: 47; 2: 28; 3: 14; 4: 13; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 834,  7,  8,  202, 1, 5, 443520, 18288.16, 1, 63.07, 1: 43; 2: 35; 3: 14; 4: 8; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 417,  6, 10,  202, 1, 5, 473407, 18288.16, 1, 63.07, 1: 46; 2: 30; 3: 14; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 484,  5, 12,  202, 1, 5, 473464, 18288.16, 1, 63.07, 1: 46; 2: 30; 3: 14; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 558,  8,  7,  202, 1, 5, 443520, 18288.16, 1, 63.07, 1: 43; 2: 35; 3: 12; 4: 12; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 183,  5, 12,  202, 1, 5, 473415, 18288.16, 1, 63.07, 1: 47; 2: 28; 3: 15; 4: 11; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 761,  7,  9,  203, 1, 5, 492811, 18288.16, 1, 63.07, 1: 44; 2: 29; 3: 20; 4: 9; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 158,  5, 11,  203, 1, 5, 435105, 18288.16, 1, 63.07, 1: 40; 2: 36; 3: 18; 4: 8; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 742,  6, 10,  203, 1, 5, 473394, 18288.16, 1, 63.07, 1: 45; 2: 30; 3: 15; 4: 12; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 926,  7,  9,  203, 1, 5, 492841, 18288.16, 1, 63.07, 1: 48; 2: 26; 3: 16; 4: 10; 5: 3; 
MAPK_Cancer_Cell_Fate_Network, 804,  5, 11,  203, 1, 5, 435105, 18288.16, 1, 63.07, 1: 42; 2: 35; 3: 14; 4: 11; 5: 1; 
MAPK_Cancer_Cell_Fate_Network, 281,  7,  9,  203, 1, 5, 492838, 18288.16, 1, 63.07, 1: 43; 2: 33; 3: 16; 4: 9; 5: 2; 
MAPK_Cancer_Cell_Fate_Network, 151,  6, 10,  203, 1, 5, 473270, 18288.16, 1, 63.07, 1: 47; 2: 27; 3: 17; 4: 9; 5: 3; 
