Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
53(788)
Melhor resultado nxn: CD4_T_cell_signaling,  81, 14, 14,  496, 1, 3, 1583841, 110173.38, 0, 0.00, 1: 205; 2: 132; 3: 9; 
CD4_T_cell_signaling,  57,  8, 26,  525, 0, 4, 1664472, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 123; 3: 24; 4: 4; 
CD4_T_cell_signaling, 197,  9, 21,  525, 0, 4, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 128; 3: 17; 4: 7; 
CD4_T_cell_signaling, 628,  8, 25,  526, 0, 4, 1606495, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 119; 3: 22; 4: 7; 
CD4_T_cell_signaling, 800,  8, 24,  526, 0, 4, 1539707, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 127; 3: 24; 4: 3; 
CD4_T_cell_signaling, 281, 16, 12,  526, 0, 4, 1539752, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 121; 3: 18; 4: 9; 
CD4_T_cell_signaling, 643,  9, 22,  526, 0, 4, 1595544, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 126; 3: 23; 4: 4; 
CD4_T_cell_signaling,  32,  8, 26,  526, 0, 4, 1664316, 110173.38, 1, 226.77, 0: 4; 1: 199; 2: 108; 3: 29; 4: 6; 
CD4_T_cell_signaling,  65,  8, 26,  526, 0, 4, 1664096, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 126; 3: 23; 4: 4; 
CD4_T_cell_signaling, 774, 10, 19,  526, 0, 4, 1526103, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 123; 3: 14; 4: 11; 
CD4_T_cell_signaling, 763,  9, 22,  526, 0, 4, 1595415, 110173.38, 1, 226.77, 0: 4; 1: 196; 2: 113; 3: 28; 4: 5; 
CD4_T_cell_signaling, 507,  8, 25,  527, 0, 4, 1606643, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 124; 3: 20; 4: 7; 
CD4_T_cell_signaling,  66, 10, 19,  527, 0, 4, 1526065, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 127; 3: 20; 4: 6; 
CD4_T_cell_signaling, 232, 12, 16,  527, 0, 4, 1539706, 110173.38, 1, 226.77, 0: 4; 1: 198; 2: 114; 3: 19; 4: 11; 
CD4_T_cell_signaling, 134,  8, 26,  528, 0, 4, 1664315, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 117; 3: 24; 4: 7; 
CD4_T_cell_signaling, 162,  8, 25,  528, 0, 4, 1606509, 110173.38, 1, 226.77, 0: 4; 1: 192; 2: 120; 3: 24; 4: 6; 
CD4_T_cell_signaling, 989, 12, 16,  528, 0, 4, 1539758, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 118; 3: 22; 4: 8; 
CD4_T_cell_signaling, 929, 10, 19,  528, 0, 4, 1526090, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 124; 3: 19; 4: 8; 
CD4_T_cell_signaling, 517, 14, 14,  528, 0, 4, 1583850, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 118; 3: 22; 4: 8; 
CD4_T_cell_signaling, 675, 16, 12,  528, 0, 4, 1539759, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 128; 3: 26; 4: 2; 
CD4_T_cell_signaling, 794, 10, 19,  528, 0, 4, 1526106, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 125; 3: 20; 4: 7; 
CD4_T_cell_signaling, 790, 15, 13,  528, 0, 4, 1568201, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 120; 3: 18; 4: 10; 
CD4_T_cell_signaling, 521,  8, 25,  529, 0, 4, 1606461, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 125; 3: 22; 4: 6; 
CD4_T_cell_signaling, 335, 15, 13,  529, 0, 4, 1568097, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 125; 3: 16; 4: 10; 
CD4_T_cell_signaling, 219,  9, 23,  529, 0, 4, 1649761, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 129; 3: 17; 4: 8; 
CD4_T_cell_signaling, 512, 10, 20,  529, 0, 4, 1606442, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 120; 3: 17; 4: 11; 
CD4_T_cell_signaling, 280,  8, 25,  529, 0, 4, 1606386, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 122; 3: 22; 4: 7; 
CD4_T_cell_signaling, 434, 15, 13,  529, 0, 4, 1568147, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 126; 3: 20; 4: 7; 
CD4_T_cell_signaling, 126, 12, 16,  529, 0, 4, 1539718, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 122; 3: 25; 4: 5; 
CD4_T_cell_signaling, 234,  9, 23,  530, 0, 4, 1649808, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 128; 3: 18; 4: 8; 
CD4_T_cell_signaling, 114,  9, 21,  530, 0, 4, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 123; 3: 19; 4: 9; 
CD4_T_cell_signaling,  80, 15, 13,  531, 0, 4, 1568138, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 121; 3: 22; 4: 8; 
CD4_T_cell_signaling, 239, 11, 18,  531, 0, 4, 1595392, 110173.38, 1, 226.77, 0: 4; 1: 195; 2: 116; 3: 20; 4: 11; 
CD4_T_cell_signaling, 241,  8, 24,  531, 0, 4, 1539661, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 114; 3: 27; 4: 7; 
CD4_T_cell_signaling,   5,  9, 21,  531, 0, 4, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 126; 3: 21; 4: 7; 
CD4_T_cell_signaling, 256,  8, 25,  531, 0, 4, 1606524, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 121; 3: 28; 4: 4; 
CD4_T_cell_signaling, 262,  9, 21,  531, 0, 4, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 122; 3: 23; 4: 7; 
CD4_T_cell_signaling, 153, 15, 13,  531, 0, 4, 1568236, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 128; 3: 17; 4: 9; 
CD4_T_cell_signaling, 976,  8, 25,  531, 0, 4, 1606544, 110173.38, 1, 226.77, 0: 4; 1: 192; 2: 118; 3: 25; 4: 7; 
CD4_T_cell_signaling, 291,  9, 23,  531, 0, 4, 1649489, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 128; 3: 20; 4: 7; 
CD4_T_cell_signaling, 439, 15, 13,  532, 0, 4, 1568048, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 117; 3: 20; 4: 11; 
CD4_T_cell_signaling, 425, 11, 18,  532, 0, 4, 1595589, 110173.38, 1, 226.77, 0: 4; 1: 184; 2: 133; 3: 18; 4: 7; 
CD4_T_cell_signaling, 754, 10, 20,  532, 0, 4, 1606374, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 116; 3: 22; 4: 10; 
CD4_T_cell_signaling, 632, 10, 20,  532, 0, 4, 1606409, 110173.38, 1, 226.77, 0: 4; 1: 193; 2: 119; 3: 19; 4: 11; 
CD4_T_cell_signaling, 627, 10, 20,  532, 0, 4, 1606499, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 125; 3: 19; 4: 9; 
CD4_T_cell_signaling, 129, 13, 15,  533, 0, 4, 1567999, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 113; 3: 27; 4: 8; 
CD4_T_cell_signaling, 278, 11, 18,  533, 0, 4, 1595529, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 131; 3: 15; 4: 10; 
CD4_T_cell_signaling, 692, 16, 12,  533, 0, 4, 1539669, 110173.38, 1, 226.77, 0: 4; 1: 179; 2: 140; 3: 18; 4: 5; 
CD4_T_cell_signaling, 599, 10, 20,  533, 0, 4, 1606611, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 124; 3: 26; 4: 5; 
CD4_T_cell_signaling, 804, 12, 17,  533, 0, 4, 1626272, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 126; 3: 13; 4: 13; 
CD4_T_cell_signaling,   4,  9, 23,  534, 0, 4, 1649330, 110173.38, 1, 226.77, 0: 4; 1: 192; 2: 117; 3: 24; 4: 9; 
CD4_T_cell_signaling, 735,  8, 26,  534, 0, 4, 1664096, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 123; 3: 24; 4: 7; 
CD4_T_cell_signaling, 726, 12, 16,  534, 0, 4, 1539767, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 125; 3: 23; 4: 7; 
CD4_T_cell_signaling, 490, 14, 14,  534, 0, 4, 1583767, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 124; 3: 19; 4: 10; 
CD4_T_cell_signaling, 484, 13, 15,  534, 0, 4, 1568050, 110173.38, 1, 226.77, 0: 4; 1: 195; 2: 112; 3: 25; 4: 10; 
CD4_T_cell_signaling, 306,  8, 25,  535, 0, 4, 1606465, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 117; 3: 26; 4: 8; 
CD4_T_cell_signaling, 984, 10, 19,  535, 0, 4, 1526103, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 127; 3: 18; 4: 10; 
CD4_T_cell_signaling, 138, 10, 20,  535, 0, 4, 1606518, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 124; 3: 24; 4: 7; 
CD4_T_cell_signaling, 408, 13, 15,  536, 0, 4, 1568272, 110173.38, 1, 226.77, 0: 4; 1: 185; 2: 126; 3: 25; 4: 6; 
CD4_T_cell_signaling, 791,  8, 24,  536, 0, 4, 1539771, 110173.38, 1, 226.77, 0: 4; 1: 181; 2: 134; 3: 21; 4: 6; 
CD4_T_cell_signaling, 967, 16, 12,  536, 0, 4, 1539657, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 120; 3: 22; 4: 10; 
CD4_T_cell_signaling, 251,  8, 25,  536, 0, 4, 1606575, 110173.38, 1, 226.77, 0: 4; 1: 180; 2: 133; 3: 26; 4: 3; 
CD4_T_cell_signaling, 131,  8, 25,  537, 0, 4, 1606686, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 124; 3: 19; 4: 11; 
CD4_T_cell_signaling, 390,  8, 24,  537, 0, 4, 1539591, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 116; 3: 32; 4: 5; 
CD4_T_cell_signaling, 146,  9, 22,  537, 0, 4, 1595458, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 122; 3: 23; 4: 9; 
CD4_T_cell_signaling, 533,  8, 25,  537, 0, 4, 1606426, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 124; 3: 25; 4: 7; 
CD4_T_cell_signaling, 128, 10, 19,  537, 0, 4, 1526099, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 129; 3: 15; 4: 12; 
CD4_T_cell_signaling, 299, 12, 16,  537, 0, 4, 1539714, 110173.38, 1, 226.77, 0: 4; 1: 184; 2: 128; 3: 23; 4: 7; 
CD4_T_cell_signaling, 167,  8, 26,  537, 0, 4, 1664450, 110173.38, 1, 226.77, 0: 4; 1: 191; 2: 116; 3: 26; 4: 9; 
CD4_T_cell_signaling, 874,  8, 26,  537, 0, 4, 1663975, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 121; 3: 25; 4: 8; 
CD4_T_cell_signaling, 247,  8, 25,  537, 0, 4, 1606707, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 132; 3: 21; 4: 7; 
CD4_T_cell_signaling,  78, 13, 15,  538, 0, 4, 1568105, 110173.38, 1, 226.77, 0: 4; 1: 193; 2: 111; 3: 29; 4: 9; 
CD4_T_cell_signaling,  31,  8, 24,  538, 0, 4, 1539758, 110173.38, 1, 226.77, 0: 4; 1: 181; 2: 131; 3: 25; 4: 5; 
CD4_T_cell_signaling, 220, 10, 20,  538, 0, 4, 1606598, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 123; 3: 26; 4: 7; 
CD4_T_cell_signaling, 920,  9, 22,  538, 0, 4, 1595456, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 129; 3: 23; 4: 7; 
CD4_T_cell_signaling, 652, 15, 13,  539, 0, 4, 1568291, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 124; 3: 23; 4: 9; 
CD4_T_cell_signaling, 449, 13, 15,  539, 0, 4, 1568176, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 120; 3: 19; 4: 13; 
CD4_T_cell_signaling, 803, 16, 12,  539, 0, 4, 1539645, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 130; 3: 23; 4: 7; 
CD4_T_cell_signaling, 880, 16, 12,  539, 0, 4, 1539741, 110173.38, 1, 226.77, 0: 4; 1: 184; 2: 129; 3: 19; 4: 10; 
CD4_T_cell_signaling,  58,  9, 23,  539, 0, 4, 1649888, 110173.38, 1, 226.77, 0: 4; 1: 185; 2: 124; 3: 26; 4: 7; 
CD4_T_cell_signaling, 757, 12, 16,  540, 0, 4, 1539745, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 132; 3: 18; 4: 10; 
CD4_T_cell_signaling, 756, 15, 13,  540, 0, 4, 1568193, 110173.38, 1, 226.77, 0: 4; 1: 177; 2: 137; 3: 23; 4: 5; 
CD4_T_cell_signaling, 440,  9, 21,  540, 0, 4, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 187; 2: 123; 3: 21; 4: 11; 
CD4_T_cell_signaling, 414,  8, 26,  541, 0, 4, 1664397, 110173.38, 1, 226.77, 0: 4; 1: 189; 2: 117; 3: 26; 4: 10; 
CD4_T_cell_signaling, 993,  9, 21,  541, 0, 4, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 130; 3: 21; 4: 9; 
CD4_T_cell_signaling, 570,  8, 24,  541, 0, 4, 1539707, 110173.38, 1, 226.77, 0: 4; 1: 186; 2: 124; 3: 21; 4: 11; 
CD4_T_cell_signaling, 671, 13, 15,  542, 0, 4, 1568183, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 126; 3: 25; 4: 8; 
CD4_T_cell_signaling, 216, 15, 13,  542, 0, 4, 1568218, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 110; 3: 24; 4: 14; 
CD4_T_cell_signaling,  21, 15, 13,  542, 0, 4, 1568009, 110173.38, 1, 226.77, 0: 4; 1: 184; 2: 124; 3: 26; 4: 8; 
CD4_T_cell_signaling, 668, 13, 15,  542, 0, 4, 1568058, 110173.38, 1, 226.77, 0: 4; 1: 178; 2: 135; 3: 22; 4: 7; 
CD4_T_cell_signaling, 124,  9, 21,  542, 0, 4, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 181; 2: 131; 3: 21; 4: 9; 
CD4_T_cell_signaling, 293,  8, 24,  542, 0, 4, 1539714, 110173.38, 1, 226.77, 0: 4; 1: 184; 2: 123; 3: 28; 4: 7; 
CD4_T_cell_signaling, 433,  9, 21,  543, 0, 4, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 188; 2: 116; 3: 29; 4: 9; 
CD4_T_cell_signaling, 743,  8, 24,  543, 0, 4, 1539740, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 129; 3: 18; 4: 12; 
CD4_T_cell_signaling, 424,  8, 26,  543, 0, 4, 1664445, 110173.38, 1, 226.77, 0: 4; 1: 178; 2: 132; 3: 27; 4: 5; 
CD4_T_cell_signaling,  28, 12, 17,  544, 0, 4, 1626314, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 131; 3: 16; 4: 13; 
CD4_T_cell_signaling, 432, 14, 14,  544, 0, 4, 1583647, 110173.38, 1, 226.77, 0: 4; 1: 190; 2: 113; 3: 28; 4: 11; 
CD4_T_cell_signaling, 810,  8, 24,  544, 0, 4, 1539685, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 123; 3: 32; 4: 5; 
CD4_T_cell_signaling, 443,  8, 24,  544, 0, 4, 1539714, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 127; 3: 21; 4: 11; 
CD4_T_cell_signaling, 108, 13, 15,  545, 0, 4, 1568240, 110173.38, 1, 226.77, 0: 4; 1: 181; 2: 127; 3: 26; 4: 8; 
CD4_T_cell_signaling, 448,  8, 25,  546, 0, 4, 1606654, 110173.38, 1, 226.77, 0: 4; 1: 180; 2: 127; 3: 28; 4: 7; 
CD4_T_cell_signaling, 393, 12, 16,  547, 0, 4, 1539733, 110173.38, 1, 226.77, 0: 4; 1: 184; 2: 123; 3: 23; 4: 12; 
CD4_T_cell_signaling, 497, 12, 16,  547, 0, 4, 1539712, 110173.38, 1, 226.77, 0: 4; 1: 172; 2: 141; 3: 23; 4: 6; 
CD4_T_cell_signaling, 716, 12, 17,  547, 0, 4, 1626204, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 125; 3: 22; 4: 12; 
CD4_T_cell_signaling, 359,  9, 21,  547, 0, 4, 1527876, 110173.38, 1, 226.77, 0: 4; 1: 178; 2: 132; 3: 23; 4: 9; 
CD4_T_cell_signaling, 659,  8, 24,  548, 0, 4, 1539596, 110173.38, 1, 226.77, 0: 4; 1: 178; 2: 131; 3: 24; 4: 9; 
CD4_T_cell_signaling, 736,  8, 25,  548, 0, 4, 1606453, 110173.38, 1, 226.77, 0: 4; 1: 179; 2: 133; 3: 17; 4: 13; 
CD4_T_cell_signaling, 633, 10, 20,  548, 0, 4, 1606654, 110173.38, 1, 226.77, 0: 4; 1: 181; 2: 124; 3: 29; 4: 8; 
CD4_T_cell_signaling, 644,  8, 24,  549, 0, 4, 1539653, 110173.38, 1, 226.77, 0: 4; 1: 171; 2: 141; 3: 24; 4: 6; 
CD4_T_cell_signaling, 688, 13, 15,  550, 0, 4, 1568147, 110173.38, 1, 226.77, 0: 4; 1: 171; 2: 140; 3: 25; 4: 6; 
CD4_T_cell_signaling, 718,  8, 25,  552, 0, 4, 1606629, 110173.38, 1, 226.77, 0: 4; 1: 182; 2: 120; 3: 30; 4: 10; 
CD4_T_cell_signaling, 590, 15, 13,  552, 0, 4, 1568045, 110173.38, 1, 226.77, 0: 4; 1: 176; 2: 133; 3: 22; 4: 11; 
CD4_T_cell_signaling, 361, 14, 14,  552, 0, 4, 1583796, 110173.38, 1, 226.77, 0: 4; 1: 183; 2: 121; 3: 25; 4: 13; 
CD4_T_cell_signaling, 561, 16, 12,  553, 0, 4, 1539769, 110173.38, 1, 226.77, 0: 4; 1: 178; 2: 129; 3: 23; 4: 12; 
CD4_T_cell_signaling, 485, 10, 19,  554, 0, 4, 1526106, 110173.38, 1, 226.77, 0: 4; 1: 181; 2: 123; 3: 25; 4: 13; 
CD4_T_cell_signaling, 113, 13, 15,  569, 0, 4, 1568224, 110173.38, 1, 226.77, 0: 4; 1: 177; 2: 123; 3: 22; 4: 20; 
CD4_T_cell_signaling, 894,  9, 23,  575, 0, 4, 1649680, 110173.38, 1, 226.77, 0: 4; 1: 168; 2: 125; 3: 39; 4: 10; 
CD4_T_cell_signaling, 294,  8, 26,  587, 0, 4, 1664180, 110173.38, 1, 226.77, 0: 4; 1: 162; 2: 126; 3: 43; 4: 11; 
CD4_T_cell_signaling, 928, 12, 17,  503, 0, 5, 1625894, 110173.38, 1, 226.77, 0: 4; 1: 210; 2: 109; 3: 18; 4: 4; 5: 1; 
CD4_T_cell_signaling, 437, 10, 20,  507, 0, 5, 1606609, 110173.38, 1, 226.77, 0: 4; 1: 211; 2: 107; 3: 16; 4: 6; 5: 2; 
CD4_T_cell_signaling, 906, 14, 14,  509, 0, 5, 1583944, 110173.38, 1, 226.77, 0: 4; 1: 206; 2: 112; 3: 18; 4: 5; 5: 1; 
CD4_T_cell_signaling, 303, 12, 17,  509, 0, 5, 1626391, 110173.38, 1, 226.77, 0: 4; 1: 204; 2: 113; 3: 22; 4: 2; 5: 1; 
CD4_T_cell_signaling, 734,  8, 26,  510, 0, 5, 1664476, 110173.38, 1, 226.77, 0: 4; 1: 196; 2: 129; 3: 13; 4: 3; 5: 1; 
CD4_T_cell_signaling, 843, 10, 20,  510, 0, 5, 1606406, 110173.38, 1, 226.77, 0: 4; 1: 204; 2: 114; 3: 19; 4: 4; 5: 1; 
CD4_T_cell_signaling, 148,  8, 25,  511, 0, 5, 1606589, 110173.38, 1, 226.77, 0: 4; 1: 201; 2: 118; 3: 19; 4: 3; 5: 1; 
CD4_T_cell_signaling, 150, 16, 12,  511, 0, 5, 1539635, 110173.38, 1, 226.77, 0: 4; 1: 201; 2: 122; 3: 11; 4: 7; 5: 1; 
CD4_T_cell_signaling, 982, 10, 19,  512, 0, 5, 1526111, 110173.38, 1, 226.77, 0: 4; 1: 209; 2: 106; 3: 19; 4: 6; 5: 2; 
CD4_T_cell_signaling, 565,  9, 23,  512, 0, 5, 1649710, 110173.38, 1, 226.77, 0: 4; 1: 199; 2: 120; 3: 20; 4: 2; 5: 1; 
CD4_T_cell_signaling, 674, 12, 17,  513, 0, 5, 1625973, 110173.38, 1, 226.77, 0: 4; 1: 200; 2: 120; 3: 17; 4: 3; 5: 2; 
CD4_T_cell_signaling, 613, 10, 19,  514, 0, 5, 1526085, 110173.38, 1, 226.77, 0: 4; 1: 199; 2: 122; 3: 14; 4: 6; 5: 1; 
CD4_T_cell_signaling, 513,  9, 23,  514, 0, 5, 1649615, 110173.38, 1, 226.77, 0: 4; 1: 208; 2: 106; 3: 20; 4: 6; 5: 2; 
CD4_T_cell_signaling, 384, 12, 17,  514, 0, 5, 1626112, 110173.38, 1, 226.77, 0: 4; 1: 202; 2: 115; 3: 19; 4: 5; 5: 1; 
CD4_T_cell_signaling, 206, 10, 20,  514, 0, 5, 1606620, 110173.38, 1, 226.77, 0: 4; 1: 206; 2: 108; 3: 21; 4: 6; 5: 1; 
CD4_T_cell_signaling, 144, 14, 14,  514, 0, 5, 1583850, 110173.38, 1, 226.77, 0: 4; 1: 200; 2: 118; 3: 19; 4: 4; 5: 1; 
CD4_T_cell_signaling, 770, 12, 17,  514, 0, 5, 1626469, 110173.38, 1, 226.77, 0: 4; 1: 202; 2: 115; 3: 20; 4: 3; 5: 2; 
CD4_T_cell_signaling, 999,  9, 22,  515, 0, 5, 1595629, 110173.38, 1, 226.77, 0: 4; 1: 205; 2: 111; 3: 19; 4: 4; 5: 3; 
CD4_T_cell_signaling, 861, 11, 18,  516, 0, 5, 1595583, 110173.38, 1, 226.77, 0: 4; 1: 201; 2: 117; 3: 16; 4: 7; 5: 1; 
CD4_T_cell_signaling, 233, 15, 13,  516, 0, 5, 1568237, 110173.38, 1, 226.77, 0: 4; 1: 199; 2: 121; 3: 14; 4: 7; 5: 1; 
CD4_T_cell_signaling, 196, 12, 17,  516, 0, 5, 1626095, 110173.38, 1, 226.77, 0: 4; 1: 196; 2: 123; 3: 19; 4: 3; 5: 1; 
CD4_T_cell_signaling, 879,  9, 23,  516, 0, 5, 1649437, 110173.38, 1, 226.77, 0: 4; 1: 204; 2: 109; 3: 23; 4: 5; 5: 1; 
CD4_T_cell_signaling, 156, 15, 13,  516, 0, 5, 1567997, 110173.38, 1, 226.77, 0: 4; 1: 207; 2: 107; 3: 19; 4: 7; 5: 2; 
CD4_T_cell_signaling, 988, 14, 14,  516, 0, 5, 1583697, 110173.38, 1, 226.77, 0: 4; 1: 200; 2: 116; 3: 21; 4: 4; 5: 1; 
CD4_T_cell_signaling, 342, 13, 15,  516, 0, 5, 1568270, 110173.38, 1, 226.77, 0: 4; 1: 203; 2: 113; 3: 18; 4: 7; 5: 1; 
CD4_T_cell_signaling, 516,  9, 22,  516, 0, 5, 1595476, 110173.38, 1, 226.77, 0: 4; 1: 196; 2: 123; 3: 19; 4: 3; 5: 1; 
CD4_T_cell_signaling, 508, 12, 17,  517, 0, 5, 1626325, 110173.38, 1, 226.77, 0: 4; 1: 200; 2: 116; 3: 20; 4: 5; 5: 1; 
CD4_T_cell_signaling,   8,  9, 22,  517, 0, 5, 1595237, 110173.38, 1, 226.77, 0: 4; 1: 206; 2: 108; 3: 18; 4: 9; 5: 1; 
CD4_T_cell_signaling, 921, 10, 20,  517, 0, 5, 1606313, 110173.38, 1, 226.77, 0: 4; 1: 199; 2: 118; 3: 19; 4: 5; 5: 1; 
CD4_T_cell_signaling, 298, 11, 18,  517, 0, 5, 1595496, 110173.38, 1, 226.77, 0: 4; 1: 199; 2: 120; 3: 16; 4: 5; 5: 2; 
CD4_T_cell_signaling, 776, 11, 18,  518, 0, 5, 1595576, 110173.38, 1, 226.77, 0: 4; 1: 200; 2: 119; 3: 15; 4: 5; 5: 3; 
CD4_T_cell_signaling, 426, 11, 18,  518, 0, 5, 1595570, 110173.38, 1, 226.77, 0: 4; 1: 204; 2: 112; 3: 16; 4: 8; 5: 2; 
CD4_T_cell_signaling, 356, 11, 18,  518, 0, 5, 1595535, 110173.38, 1, 226.77, 0: 4; 1: 209; 2: 103; 3: 20; 4: 7; 5: 3; 
CD4_T_cell_signaling, 105, 11, 18,  518, 0, 5, 1595476, 110173.38, 1, 226.77, 0: 4; 1: 199; 2: 118; 3: 19; 4: 4; 5: 2; 
CD4_T_cell_signaling,  81, 14, 14,  518, 0, 5, 1583841, 110173.38, 1, 226.77, 0: 4; 1: 201; 2: 118; 3: 13; 4: 8; 5: 2; 
CD4_T_cell_signaling, 387,  9, 23,  518, 0, 5, 1649291, 110173.38, 1, 226.77, 0: 4; 1: 206; 2: 105; 3: 23; 4: 7; 5: 1; 
CD4_T_cell_signaling, 264, 11, 18,  518, 0, 5, 1595561, 110173.38, 1, 226.77, 0: 4; 1: 200; 2: 114; 3: 23; 4: 4; 5: 1; 
CD4_T_cell_signaling, 824,  9, 23,  518, 0, 5, 1649906, 110173.38, 1, 226.77, 0: 4; 1: 201; 2: 114; 3: 20; 4: 6; 5: 1; 
CD4_T_cell_signaling, 183, 13, 15,  518, 0, 5, 1568202, 110173.38, 1, 226.77, 0: 4; 1: 193; 2: 130; 3: 12; 4: 6; 5: 1; 
CD4_T_cell_signaling, 777, 10, 20,  519, 0, 5, 1606849, 110173.38, 1, 226.77, 0: 4; 1: 207; 2: 103; 3: 25; 4: 4; 5: 3; 
CD4_T_cell_signaling, 931,  9, 23,  519, 0, 5, 1649434, 110173.38, 1, 226.77, 0: 4; 1: 201; 2: 116; 3: 15; 4: 9; 5: 1; 
CD4_T_cell_signaling, 779, 10, 20,  519, 0, 5, 1606677, 110173.38, 1, 226.77, 0: 4; 1: 195; 2: 122; 3: 21; 4: 3; 5: 1; 
CD4_T_cell_signaling, 871, 11, 18,  519, 0, 5, 1595437, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 127; 3: 14; 4: 6; 5: 1; 
CD4_T_cell_signaling, 932, 11, 18,  520, 0, 5, 1595514, 110173.38, 1, 226.77, 0: 4; 1: 195; 2: 121; 3: 22; 4: 3; 5: 1; 
CD4_T_cell_signaling, 631,  9, 22,  520, 0, 5, 1595658, 110173.38, 1, 226.77, 0: 4; 1: 198; 2: 118; 3: 19; 4: 6; 5: 1; 
CD4_T_cell_signaling,  95,  8, 25,  520, 0, 5, 1606531, 110173.38, 1, 226.77, 0: 4; 1: 204; 2: 106; 3: 26; 4: 4; 5: 2; 
CD4_T_cell_signaling, 349, 15, 13,  520, 0, 5, 1568199, 110173.38, 1, 226.77, 0: 4; 1: 194; 2: 127; 3: 13; 4: 7; 5: 1; 
CD4_T_cell_signaling, 395, 12, 16,  520, 0, 5, 1539712, 110173.38, 1, 226.77, 0: 4; 1: 202; 2: 115; 3: 15; 4: 7; 5: 3; 
