Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
193(640)
Melhor resultado nxn: CD4_T_cell_signaling, 990, 14, 14,  530, 1, 3, 1583733, 112548.32, 0, 0.00, 1: 183; 2: 142; 3: 21; 
CD4_T_cell_signaling, 134,  8, 26,  670, 0, 6, 1664096, 112548.32, 1, 274.44, 0: 4; 1: 139; 2: 122; 3: 55; 4: 11; 5: 12; 6: 3; 
CD4_T_cell_signaling, 443,  8, 24,  670, 0, 6, 1539760, 112548.32, 0, 274.44, 0: 4; 1: 140; 2: 112; 3: 69; 4: 10; 5: 7; 6: 4; 
CD4_T_cell_signaling, 277,  8, 24,  670, 0, 6, 1539658, 112548.32, 0, 274.44, 0: 4; 1: 130; 2: 123; 3: 70; 4: 13; 5: 4; 6: 2; 
CD4_T_cell_signaling, 121, 10, 20,  671, 0, 6, 1606599, 112548.32, 0, 274.44, 0: 4; 1: 142; 2: 109; 3: 61; 4: 23; 5: 6; 6: 1; 
CD4_T_cell_signaling, 630, 10, 20,  672, 0, 6, 1606543, 112548.32, 0, 274.44, 0: 4; 1: 145; 2: 108; 3: 61; 4: 16; 5: 8; 6: 4; 
CD4_T_cell_signaling, 452,  8, 24,  672, 0, 6, 1539674, 112548.32, 1, 274.44, 0: 4; 1: 143; 2: 112; 3: 53; 4: 26; 5: 6; 6: 2; 
CD4_T_cell_signaling,  89, 14, 14,  672, 0, 6, 1583746, 112548.32, 1, 274.44, 0: 4; 1: 151; 2: 112; 3: 39; 4: 25; 5: 10; 6: 5; 
CD4_T_cell_signaling, 392, 14, 14,  672, 0, 6, 1583717, 112548.32, 1, 274.44, 0: 4; 1: 149; 2: 113; 3: 41; 4: 26; 5: 8; 6: 5; 
CD4_T_cell_signaling, 726, 12, 16,  673, 0, 6, 1539663, 112548.32, 1, 274.44, 0: 4; 1: 141; 2: 122; 3: 45; 4: 21; 5: 9; 6: 4; 
CD4_T_cell_signaling, 356, 11, 18,  675, 0, 6, 1595668, 112548.32, 0, 274.44, 0: 4; 1: 148; 2: 105; 3: 54; 4: 23; 5: 9; 6: 3; 
CD4_T_cell_signaling,  54, 16, 12,  675, 0, 6, 1539706, 112548.32, 1, 274.44, 0: 4; 1: 144; 2: 116; 3: 42; 4: 28; 5: 11; 6: 1; 
CD4_T_cell_signaling, 365,  9, 22,  675, 0, 6, 1595483, 112548.32, 1, 274.44, 0: 4; 1: 158; 2: 97; 3: 49; 4: 21; 5: 10; 6: 7; 
CD4_T_cell_signaling, 627, 10, 20,  675, 0, 6, 1606390, 112548.32, 1, 274.44, 0: 4; 1: 152; 2: 111; 3: 36; 4: 25; 5: 15; 6: 3; 
CD4_T_cell_signaling, 782, 14, 14,  676, 0, 6, 1583799, 112548.32, 1, 274.44, 0: 4; 1: 157; 2: 109; 3: 30; 4: 25; 5: 15; 6: 6; 
CD4_T_cell_signaling, 866,  9, 22,  676, 0, 6, 1595384, 112548.32, 1, 274.44, 0: 4; 1: 148; 2: 115; 3: 38; 4: 24; 5: 14; 6: 3; 
CD4_T_cell_signaling, 519, 14, 14,  676, 0, 6, 1583735, 112548.32, 1, 274.44, 0: 4; 1: 143; 2: 121; 3: 39; 4: 24; 5: 12; 6: 3; 
CD4_T_cell_signaling, 936,  8, 24,  677, 0, 6, 1539733, 112548.32, 1, 274.44, 0: 4; 1: 140; 2: 113; 3: 56; 4: 23; 5: 9; 6: 1; 
CD4_T_cell_signaling, 187, 14, 14,  677, 0, 6, 1583789, 112548.32, 0, 274.44, 0: 4; 1: 144; 2: 111; 3: 49; 4: 30; 5: 4; 6: 4; 
CD4_T_cell_signaling, 651,  8, 24,  678, 0, 6, 1539682, 112548.32, 1, 274.44, 0: 4; 1: 147; 2: 108; 3: 48; 4: 27; 5: 9; 6: 3; 
CD4_T_cell_signaling, 875, 14, 14,  678, 0, 6, 1583722, 112548.32, 1, 274.44, 0: 4; 1: 164; 2: 88; 3: 45; 4: 26; 5: 15; 6: 4; 
CD4_T_cell_signaling, 879,  9, 23,  678, 0, 6, 1649677, 112548.32, 0, 274.44, 0: 4; 1: 127; 2: 134; 3: 52; 4: 20; 5: 7; 6: 2; 
CD4_T_cell_signaling, 935,  8, 26,  678, 0, 6, 1664298, 112548.32, 1, 274.44, 0: 4; 1: 146; 2: 112; 3: 50; 4: 17; 5: 12; 6: 5; 
CD4_T_cell_signaling, 752,  9, 22,  679, 0, 6, 1595201, 112548.32, 1, 274.44, 0: 4; 1: 143; 2: 114; 3: 49; 4: 23; 5: 9; 6: 4; 
CD4_T_cell_signaling,  31,  8, 24,  680, 0, 6, 1539712, 112548.32, 1, 274.44, 0: 4; 1: 140; 2: 119; 3: 49; 4: 19; 5: 11; 6: 4; 
CD4_T_cell_signaling, 887, 16, 12,  680, 0, 6, 1539665, 112548.32, 1, 274.44, 0: 4; 1: 140; 2: 119; 3: 45; 4: 24; 5: 13; 6: 1; 
CD4_T_cell_signaling, 670, 12, 16,  680, 0, 6, 1539766, 112548.32, 1, 274.44, 0: 4; 1: 146; 2: 107; 3: 56; 4: 18; 5: 10; 6: 5; 
CD4_T_cell_signaling, 838,  8, 24,  680, 0, 6, 1539710, 112548.32, 1, 274.44, 0: 4; 1: 149; 2: 107; 3: 50; 4: 19; 5: 11; 6: 6; 
CD4_T_cell_signaling, 767, 10, 20,  680, 0, 6, 1606694, 112548.32, 1, 274.44, 0: 4; 1: 140; 2: 125; 3: 39; 4: 21; 5: 13; 6: 4; 
CD4_T_cell_signaling, 801,  9, 23,  680, 0, 6, 1649731, 112548.32, 0, 274.44, 0: 4; 1: 118; 2: 144; 3: 56; 4: 16; 5: 6; 6: 2; 
CD4_T_cell_signaling, 406, 16, 12,  680, 0, 6, 1539710, 112548.32, 1, 274.44, 0: 4; 1: 149; 2: 105; 3: 47; 4: 27; 5: 12; 6: 2; 
CD4_T_cell_signaling, 633, 10, 20,  681, 0, 6, 1606545, 112548.32, 1, 274.44, 0: 4; 1: 155; 2: 99; 3: 44; 4: 29; 5: 10; 6: 5; 
CD4_T_cell_signaling, 621, 10, 20,  682, 0, 6, 1606562, 112548.32, 1, 274.44, 0: 4; 1: 144; 2: 112; 3: 49; 4: 22; 5: 11; 6: 4; 
CD4_T_cell_signaling, 901,  8, 26,  682, 0, 6, 1664252, 112548.32, 1, 274.44, 0: 4; 1: 146; 2: 105; 3: 54; 4: 23; 5: 12; 6: 2; 
CD4_T_cell_signaling, 993,  9, 21,  683, 0, 6, 1527876, 112548.32, 0, 274.44, 0: 4; 1: 128; 2: 128; 3: 59; 4: 14; 5: 12; 6: 1; 
CD4_T_cell_signaling, 862, 12, 16,  683, 0, 6, 1539728, 112548.32, 1, 274.44, 0: 4; 1: 140; 2: 113; 3: 51; 4: 30; 5: 4; 6: 4; 
CD4_T_cell_signaling, 979, 12, 17,  684, 0, 6, 1626149, 112548.32, 1, 274.44, 0: 4; 1: 141; 2: 109; 3: 54; 4: 30; 5: 5; 6: 3; 
CD4_T_cell_signaling, 992,  8, 24,  684, 0, 6, 1539769, 112548.32, 1, 274.44, 0: 4; 1: 145; 2: 104; 3: 53; 4: 30; 5: 8; 6: 2; 
CD4_T_cell_signaling, 327,  8, 26,  684, 0, 6, 1664294, 112548.32, 1, 274.44, 0: 4; 1: 139; 2: 117; 3: 48; 4: 25; 5: 11; 6: 2; 
CD4_T_cell_signaling, 112,  8, 24,  684, 0, 6, 1539643, 112548.32, 1, 274.44, 0: 4; 1: 132; 2: 123; 3: 52; 4: 28; 5: 4; 6: 3; 
CD4_T_cell_signaling, 450,  8, 26,  684, 0, 6, 1664148, 112548.32, 1, 274.44, 0: 4; 1: 140; 2: 120; 3: 41; 4: 25; 5: 15; 6: 1; 
CD4_T_cell_signaling, 947,  8, 26,  684, 0, 6, 1664194, 112548.32, 1, 274.44, 0: 4; 1: 140; 2: 112; 3: 52; 4: 27; 5: 10; 6: 1; 
CD4_T_cell_signaling, 498, 13, 15,  685, 0, 6, 1568115, 112548.32, 0, 274.44, 0: 4; 1: 117; 2: 145; 3: 52; 4: 19; 5: 8; 6: 1; 
CD4_T_cell_signaling, 172, 12, 16,  686, 0, 6, 1539772, 112548.32, 1, 274.44, 0: 4; 1: 135; 2: 124; 3: 43; 4: 29; 5: 8; 6: 3; 
CD4_T_cell_signaling, 371, 14, 14,  686, 0, 6, 1583687, 112548.32, 1, 274.44, 0: 4; 1: 142; 2: 111; 3: 52; 4: 22; 5: 12; 6: 3; 
CD4_T_cell_signaling, 785, 14, 14,  686, 0, 6, 1583802, 112548.32, 1, 274.44, 0: 4; 1: 150; 2: 108; 3: 42; 4: 23; 5: 12; 6: 7; 
CD4_T_cell_signaling, 694, 12, 17,  687, 0, 6, 1626351, 112548.32, 1, 274.44, 0: 4; 1: 140; 2: 116; 3: 39; 4: 38; 5: 8; 6: 1; 
CD4_T_cell_signaling, 373,  8, 26,  687, 0, 6, 1664261, 112548.32, 1, 274.44, 0: 4; 1: 146; 2: 108; 3: 51; 4: 19; 5: 12; 6: 6; 
CD4_T_cell_signaling, 447,  8, 25,  689, 0, 6, 1606711, 112548.32, 0, 274.44, 0: 4; 1: 111; 2: 139; 3: 74; 4: 13; 5: 4; 6: 1; 
CD4_T_cell_signaling, 293,  8, 24,  690, 0, 6, 1539623, 112548.32, 1, 274.44, 0: 4; 1: 136; 2: 117; 3: 57; 4: 16; 5: 11; 6: 5; 
CD4_T_cell_signaling, 729,  9, 21,  690, 0, 6, 1527876, 112548.32, 0, 274.44, 0: 4; 1: 130; 2: 120; 3: 61; 4: 20; 5: 9; 6: 2; 
CD4_T_cell_signaling, 348, 14, 14,  690, 0, 6, 1583906, 112548.32, 0, 274.44, 0: 4; 1: 145; 2: 104; 3: 53; 4: 26; 5: 10; 6: 4; 
CD4_T_cell_signaling, 179,  9, 22,  691, 0, 6, 1595594, 112548.32, 1, 274.44, 0: 4; 1: 143; 2: 106; 3: 58; 4: 19; 5: 10; 6: 6; 
CD4_T_cell_signaling, 116, 10, 20,  692, 0, 6, 1606389, 112548.32, 1, 274.44, 0: 4; 1: 145; 2: 113; 3: 40; 4: 23; 5: 17; 6: 4; 
CD4_T_cell_signaling, 566,  9, 21,  692, 0, 6, 1527876, 112548.32, 0, 274.44, 0: 4; 1: 128; 2: 119; 3: 59; 4: 33; 5: 1; 6: 2; 
CD4_T_cell_signaling, 117, 16, 12,  692, 0, 6, 1539750, 112548.32, 1, 274.44, 0: 4; 1: 145; 2: 119; 3: 33; 4: 23; 5: 14; 6: 8; 
CD4_T_cell_signaling, 769, 13, 15,  693, 0, 6, 1568197, 112548.32, 0, 274.44, 0: 4; 1: 117; 2: 135; 3: 63; 4: 19; 5: 7; 6: 1; 
CD4_T_cell_signaling, 724,  9, 22,  694, 0, 6, 1595510, 112548.32, 1, 274.44, 0: 4; 1: 143; 2: 112; 3: 43; 4: 27; 5: 12; 6: 5; 
CD4_T_cell_signaling, 940, 12, 17,  694, 0, 6, 1625927, 112548.32, 0, 274.44, 0: 4; 1: 137; 2: 107; 3: 63; 4: 23; 5: 10; 6: 2; 
CD4_T_cell_signaling, 932, 11, 18,  694, 0, 6, 1595385, 112548.32, 1, 274.44, 0: 4; 1: 142; 2: 113; 3: 43; 4: 27; 5: 13; 6: 4; 
CD4_T_cell_signaling,  77,  8, 24,  696, 0, 6, 1539771, 112548.32, 0, 274.44, 0: 4; 1: 142; 2: 102; 3: 59; 4: 26; 5: 9; 6: 4; 
CD4_T_cell_signaling, 787,  8, 26,  696, 0, 6, 1664073, 112548.32, 1, 274.44, 0: 4; 1: 138; 2: 110; 3: 56; 4: 23; 5: 12; 6: 3; 
CD4_T_cell_signaling,  45, 15, 13,  697, 0, 6, 1568209, 112548.32, 1, 274.44, 0: 4; 1: 136; 2: 113; 3: 54; 4: 24; 5: 13; 6: 2; 
CD4_T_cell_signaling, 147, 14, 14,  697, 0, 6, 1583785, 112548.32, 1, 274.44, 0: 4; 1: 142; 2: 107; 3: 53; 4: 23; 5: 12; 6: 5; 
CD4_T_cell_signaling, 927, 14, 14,  697, 0, 6, 1583746, 112548.32, 1, 274.44, 0: 4; 1: 148; 2: 110; 3: 39; 4: 19; 5: 20; 6: 6; 
CD4_T_cell_signaling, 718,  8, 25,  697, 0, 6, 1606422, 112548.32, 0, 274.44, 0: 4; 1: 121; 2: 130; 3: 60; 4: 20; 5: 10; 6: 1; 
CD4_T_cell_signaling,  19,  9, 21,  699, 0, 6, 1527876, 112548.32, 1, 274.44, 0: 4; 1: 131; 2: 119; 3: 52; 4: 28; 5: 10; 6: 2; 
CD4_T_cell_signaling, 972,  9, 22,  701, 0, 6, 1595641, 112548.32, 1, 274.44, 0: 4; 1: 145; 2: 103; 3: 51; 4: 23; 5: 15; 6: 5; 
CD4_T_cell_signaling, 412,  9, 23,  701, 0, 6, 1649647, 112548.32, 1, 274.44, 0: 4; 1: 134; 2: 117; 3: 46; 4: 31; 5: 13; 6: 1; 
CD4_T_cell_signaling, 210, 11, 18,  701, 0, 6, 1595392, 112548.32, 1, 274.44, 0: 4; 1: 147; 2: 98; 3: 50; 4: 31; 5: 12; 6: 4; 
CD4_T_cell_signaling, 200,  8, 26,  702, 0, 6, 1664316, 112548.32, 0, 274.44, 0: 4; 1: 131; 2: 110; 3: 67; 4: 23; 5: 8; 6: 3; 
CD4_T_cell_signaling, 245, 12, 17,  702, 0, 6, 1626381, 112548.32, 1, 274.44, 0: 4; 1: 132; 2: 125; 3: 42; 4: 26; 5: 12; 6: 5; 
CD4_T_cell_signaling, 701,  9, 21,  703, 0, 6, 1527876, 112548.32, 1, 274.44, 0: 4; 1: 128; 2: 123; 3: 52; 4: 24; 5: 13; 6: 2; 
CD4_T_cell_signaling, 982, 10, 19,  704, 0, 6, 1526078, 112548.32, 0, 274.44, 0: 4; 1: 128; 2: 112; 3: 67; 4: 26; 5: 7; 6: 2; 
CD4_T_cell_signaling, 386,  9, 21,  704, 0, 6, 1527876, 112548.32, 0, 274.44, 0: 4; 1: 111; 2: 140; 3: 59; 4: 25; 5: 6; 6: 1; 
CD4_T_cell_signaling, 529,  9, 23,  705, 0, 6, 1649744, 112548.32, 1, 274.44, 0: 4; 1: 134; 2: 117; 3: 47; 4: 26; 5: 16; 6: 2; 
CD4_T_cell_signaling, 739,  8, 24,  705, 0, 6, 1539732, 112548.32, 1, 274.44, 0: 4; 1: 134; 2: 118; 3: 49; 4: 24; 5: 10; 6: 7; 
CD4_T_cell_signaling, 962, 16, 12,  705, 0, 6, 1539685, 112548.32, 1, 274.44, 0: 4; 1: 141; 2: 115; 3: 39; 4: 26; 5: 13; 6: 8; 
CD4_T_cell_signaling, 770, 12, 17,  705, 0, 6, 1626332, 112548.32, 1, 274.44, 0: 4; 1: 132; 2: 119; 3: 45; 4: 33; 5: 10; 6: 3; 
CD4_T_cell_signaling, 104, 15, 13,  706, 0, 6, 1568188, 112548.32, 1, 274.44, 0: 4; 1: 130; 2: 115; 3: 56; 4: 29; 5: 10; 6: 2; 
CD4_T_cell_signaling, 756, 15, 13,  706, 0, 6, 1568112, 112548.32, 1, 274.44, 0: 4; 1: 135; 2: 108; 3: 55; 4: 32; 5: 10; 6: 2; 
CD4_T_cell_signaling, 109, 13, 15,  707, 0, 6, 1568273, 112548.32, 1, 274.44, 0: 4; 1: 122; 2: 123; 3: 59; 4: 30; 5: 6; 6: 2; 
CD4_T_cell_signaling, 674, 12, 17,  707, 0, 6, 1626251, 112548.32, 1, 274.44, 0: 4; 1: 128; 2: 118; 3: 53; 4: 32; 5: 10; 6: 1; 
CD4_T_cell_signaling, 339,  9, 21,  707, 0, 6, 1527876, 112548.32, 1, 274.44, 0: 4; 1: 130; 2: 121; 3: 46; 4: 31; 5: 11; 6: 3; 
CD4_T_cell_signaling,  94, 10, 19,  708, 0, 6, 1526053, 112548.32, 1, 274.44, 0: 4; 1: 132; 2: 119; 3: 47; 4: 28; 5: 11; 6: 5; 
CD4_T_cell_signaling, 984, 10, 19,  708, 0, 6, 1526093, 112548.32, 1, 274.44, 0: 4; 1: 134; 2: 114; 3: 51; 4: 25; 5: 15; 6: 3; 
CD4_T_cell_signaling,  64, 15, 13,  709, 0, 6, 1568081, 112548.32, 1, 274.44, 0: 4; 1: 129; 2: 112; 3: 61; 4: 29; 5: 9; 6: 2; 
CD4_T_cell_signaling, 858,  9, 21,  710, 0, 6, 1527876, 112548.32, 0, 274.44, 0: 4; 1: 124; 2: 108; 3: 78; 4: 25; 5: 6; 6: 1; 
CD4_T_cell_signaling, 851, 10, 20,  710, 0, 6, 1606453, 112548.32, 1, 274.44, 0: 4; 1: 142; 2: 100; 3: 56; 4: 24; 5: 16; 6: 4; 
CD4_T_cell_signaling, 532, 12, 17,  711, 0, 6, 1626248, 112548.32, 1, 274.44, 0: 4; 1: 128; 2: 117; 3: 55; 4: 29; 5: 10; 6: 3; 
CD4_T_cell_signaling, 538, 15, 13,  711, 0, 6, 1568252, 112548.32, 1, 274.44, 0: 4; 1: 125; 2: 128; 3: 45; 4: 27; 5: 15; 6: 2; 
CD4_T_cell_signaling, 698,  8, 25,  711, 0, 6, 1606704, 112548.32, 1, 274.44, 0: 4; 1: 126; 2: 122; 3: 47; 4: 36; 5: 10; 6: 1; 
CD4_T_cell_signaling, 208,  9, 23,  712, 0, 6, 1649505, 112548.32, 0, 274.44, 0: 4; 1: 130; 2: 109; 3: 62; 4: 28; 5: 12; 6: 1; 
CD4_T_cell_signaling, 174, 10, 19,  713, 0, 6, 1526099, 112548.32, 1, 274.44, 0: 4; 1: 126; 2: 124; 3: 50; 4: 26; 5: 11; 6: 5; 
CD4_T_cell_signaling, 234,  9, 23,  713, 0, 6, 1649781, 112548.32, 1, 274.44, 0: 4; 1: 116; 2: 134; 3: 55; 4: 22; 5: 14; 6: 1; 
CD4_T_cell_signaling, 568,  9, 22,  713, 0, 6, 1595409, 112548.32, 1, 274.44, 0: 4; 1: 138; 2: 106; 3: 50; 4: 31; 5: 13; 6: 4; 
CD4_T_cell_signaling, 747, 13, 15,  713, 0, 6, 1568014, 112548.32, 0, 274.44, 0: 4; 1: 125; 2: 115; 3: 62; 4: 30; 5: 8; 6: 2; 
CD4_T_cell_signaling, 372, 12, 16,  713, 0, 6, 1539727, 112548.32, 1, 274.44, 0: 4; 1: 141; 2: 103; 3: 54; 4: 24; 5: 12; 6: 8; 
CD4_T_cell_signaling, 455,  9, 23,  713, 0, 6, 1649801, 112548.32, 1, 274.44, 0: 4; 1: 125; 2: 123; 3: 53; 4: 27; 5: 9; 6: 5; 
CD4_T_cell_signaling,  41,  9, 22,  714, 0, 6, 1595431, 112548.32, 1, 274.44, 0: 4; 1: 134; 2: 111; 3: 51; 4: 27; 5: 17; 6: 2; 
CD4_T_cell_signaling, 843, 10, 20,  714, 0, 6, 1606439, 112548.32, 1, 274.44, 0: 4; 1: 132; 2: 114; 3: 54; 4: 22; 5: 16; 6: 4; 
CD4_T_cell_signaling, 419, 15, 13,  715, 0, 6, 1568139, 112548.32, 1, 274.44, 0: 4; 1: 128; 2: 118; 3: 53; 4: 25; 5: 16; 6: 2; 
CD4_T_cell_signaling, 586, 10, 19,  715, 0, 6, 1526092, 112548.32, 1, 274.44, 0: 4; 1: 126; 2: 123; 3: 46; 4: 31; 5: 15; 6: 1; 
CD4_T_cell_signaling, 353,  9, 21,  715, 0, 6, 1527876, 112548.32, 1, 274.44, 0: 4; 1: 127; 2: 112; 3: 61; 4: 30; 5: 11; 6: 1; 
CD4_T_cell_signaling, 807,  8, 24,  717, 0, 6, 1539671, 112548.32, 1, 274.44, 0: 4; 1: 129; 2: 106; 3: 70; 4: 24; 5: 8; 6: 5; 
CD4_T_cell_signaling, 260,  8, 25,  718, 0, 6, 1606530, 112548.32, 1, 274.44, 0: 4; 1: 117; 2: 125; 3: 61; 4: 28; 5: 10; 6: 1; 
CD4_T_cell_signaling, 881,  8, 25,  719, 0, 6, 1606450, 112548.32, 1, 274.44, 0: 4; 1: 128; 2: 116; 3: 52; 4: 30; 5: 13; 6: 3; 
CD4_T_cell_signaling,  56,  9, 23,  719, 0, 6, 1649664, 112548.32, 1, 274.44, 0: 4; 1: 121; 2: 126; 3: 54; 4: 24; 5: 14; 6: 3; 
CD4_T_cell_signaling, 236, 13, 15,  719, 0, 6, 1568230, 112548.32, 0, 274.44, 0: 4; 1: 130; 2: 111; 3: 55; 4: 30; 5: 14; 6: 2; 
CD4_T_cell_signaling, 295,  8, 25,  719, 0, 6, 1606687, 112548.32, 1, 274.44, 0: 4; 1: 125; 2: 117; 3: 54; 4: 35; 5: 8; 6: 3; 
CD4_T_cell_signaling, 604, 10, 19,  719, 0, 6, 1526099, 112548.32, 1, 274.44, 0: 4; 1: 124; 2: 121; 3: 54; 4: 26; 5: 15; 6: 2; 
CD4_T_cell_signaling,  66, 10, 19,  720, 0, 6, 1526079, 112548.32, 1, 274.44, 0: 4; 1: 127; 2: 115; 3: 56; 4: 27; 5: 15; 6: 2; 
CD4_T_cell_signaling, 413,  8, 25,  721, 0, 6, 1606593, 112548.32, 1, 274.44, 0: 4; 1: 128; 2: 113; 3: 54; 4: 32; 5: 13; 6: 2; 
CD4_T_cell_signaling, 546, 10, 19,  723, 0, 6, 1526084, 112548.32, 1, 274.44, 0: 4; 1: 131; 2: 104; 3: 63; 4: 27; 5: 15; 6: 2; 
CD4_T_cell_signaling, 381,  9, 23,  724, 0, 6, 1649492, 112548.32, 1, 274.44, 0: 4; 1: 126; 2: 109; 3: 63; 4: 31; 5: 11; 6: 2; 
CD4_T_cell_signaling,  88, 12, 16,  725, 0, 6, 1539732, 112548.32, 1, 274.44, 0: 4; 1: 138; 2: 103; 3: 51; 4: 28; 5: 16; 6: 6; 
CD4_T_cell_signaling, 928, 12, 17,  725, 0, 6, 1625878, 112548.32, 1, 274.44, 0: 4; 1: 124; 2: 119; 3: 54; 4: 27; 5: 15; 6: 3; 
CD4_T_cell_signaling, 605,  9, 21,  725, 0, 6, 1527876, 112548.32, 1, 274.44, 0: 4; 1: 123; 2: 120; 3: 55; 4: 27; 5: 13; 6: 4; 
CD4_T_cell_signaling, 321, 15, 13,  725, 0, 6, 1568226, 112548.32, 1, 274.44, 0: 4; 1: 121; 2: 120; 3: 59; 4: 26; 5: 13; 6: 3; 
CD4_T_cell_signaling, 555, 13, 15,  726, 0, 6, 1568328, 112548.32, 1, 274.44, 0: 4; 1: 127; 2: 112; 3: 59; 4: 26; 5: 14; 6: 4; 
CD4_T_cell_signaling, 665, 10, 19,  726, 0, 6, 1526095, 112548.32, 1, 274.44, 0: 4; 1: 125; 2: 112; 3: 63; 4: 26; 5: 12; 6: 4; 
CD4_T_cell_signaling, 439, 15, 13,  726, 0, 6, 1568162, 112548.32, 1, 274.44, 0: 4; 1: 123; 2: 122; 3: 51; 4: 28; 5: 14; 6: 4; 
CD4_T_cell_signaling, 614,  9, 23,  727, 0, 6, 1649582, 112548.32, 1, 274.44, 0: 4; 1: 120; 2: 122; 3: 57; 4: 28; 5: 10; 6: 5; 
CD4_T_cell_signaling, 480, 12, 17,  728, 0, 6, 1626116, 112548.32, 1, 274.44, 0: 4; 1: 121; 2: 124; 3: 50; 4: 30; 5: 13; 6: 4; 
CD4_T_cell_signaling, 557, 12, 17,  729, 0, 6, 1626409, 112548.32, 1, 274.44, 0: 4; 1: 131; 2: 103; 3: 60; 4: 32; 5: 12; 6: 4; 
CD4_T_cell_signaling, 433,  9, 21,  730, 0, 6, 1527876, 112548.32, 1, 274.44, 0: 4; 1: 126; 2: 112; 3: 55; 4: 32; 5: 15; 6: 2; 
CD4_T_cell_signaling, 751, 15, 13,  730, 0, 6, 1568200, 112548.32, 1, 274.44, 0: 4; 1: 113; 2: 128; 3: 59; 4: 28; 5: 12; 6: 2; 
CD4_T_cell_signaling, 942, 15, 13,  732, 0, 6, 1568160, 112548.32, 1, 274.44, 0: 4; 1: 124; 2: 118; 3: 53; 4: 26; 5: 17; 6: 4; 
CD4_T_cell_signaling,  44,  8, 24,  735, 0, 6, 1539671, 112548.32, 1, 274.44, 0: 4; 1: 126; 2: 101; 3: 69; 4: 32; 5: 12; 6: 2; 
CD4_T_cell_signaling, 358,  8, 25,  740, 0, 6, 1606404, 112548.32, 0, 274.44, 0: 4; 1: 123; 2: 107; 3: 68; 4: 24; 5: 17; 6: 3; 
CD4_T_cell_signaling, 963,  8, 25,  741, 0, 6, 1606586, 112548.32, 1, 274.44, 0: 4; 1: 124; 2: 106; 3: 61; 4: 37; 5: 10; 6: 4; 
CD4_T_cell_signaling, 469,  8, 25,  741, 0, 6, 1606623, 112548.32, 1, 274.44, 0: 4; 1: 121; 2: 116; 3: 51; 4: 38; 5: 13; 6: 3; 
CD4_T_cell_signaling, 211,  8, 25,  745, 0, 6, 1606737, 112548.32, 1, 274.44, 0: 4; 1: 113; 2: 120; 3: 65; 4: 25; 5: 17; 6: 2; 
CD4_T_cell_signaling, 628,  8, 25,  746, 0, 6, 1606509, 112548.32, 1, 274.44, 0: 4; 1: 120; 2: 110; 3: 62; 4: 31; 5: 18; 6: 1; 
CD4_T_cell_signaling, 461, 12, 17,  748, 0, 6, 1626258, 112548.32, 1, 274.44, 0: 4; 1: 122; 2: 115; 3: 50; 4: 33; 5: 18; 6: 4; 
CD4_T_cell_signaling, 192, 15, 13,  752, 0, 6, 1568280, 112548.32, 1, 274.44, 0: 4; 1: 124; 2: 114; 3: 49; 4: 31; 5: 15; 6: 9; 
CD4_T_cell_signaling, 197,  9, 21,  753, 0, 6, 1527876, 112548.32, 1, 274.44, 0: 4; 1: 123; 2: 102; 3: 57; 4: 47; 5: 11; 6: 2; 
CD4_T_cell_signaling, 607,  9, 21,  754, 0, 6, 1527876, 112548.32, 1, 274.44, 0: 4; 1: 117; 2: 108; 3: 66; 4: 35; 5: 13; 6: 3; 
CD4_T_cell_signaling, 143, 10, 19,  764, 0, 6, 1526077, 112548.32, 1, 274.44, 0: 4; 1: 105; 2: 127; 3: 61; 4: 27; 5: 18; 6: 4; 
CD4_T_cell_signaling, 444, 13, 15,  768, 0, 6, 1568297, 112548.32, 1, 274.44, 0: 4; 1: 110; 2: 116; 3: 64; 4: 29; 5: 20; 6: 3; 
CD4_T_cell_signaling, 282,  9, 23,  770, 0, 6, 1649702, 112548.32, 1, 274.44, 0: 4; 1: 120; 2: 108; 3: 50; 4: 39; 5: 22; 6: 3; 
CD4_T_cell_signaling, 286, 11, 18,  611, 0, 7, 1595667, 112548.32, 0, 274.44, 0: 4; 1: 146; 2: 144; 3: 37; 4: 11; 5: 3; 7: 1; 
CD4_T_cell_signaling, 731, 11, 18,  617, 0, 7, 1595663, 112548.32, 0, 274.44, 0: 4; 1: 144; 2: 142; 3: 43; 4: 8; 5: 3; 6: 1; 7: 1; 
CD4_T_cell_signaling, 818, 16, 12,  623, 0, 7, 1539691, 112548.32, 0, 274.44, 0: 4; 1: 152; 2: 124; 3: 48; 4: 13; 5: 4; 7: 1; 
CD4_T_cell_signaling, 288,  8, 24,  638, 0, 7, 1539722, 112548.32, 1, 274.44, 0: 4; 1: 154; 2: 120; 3: 41; 4: 18; 5: 6; 6: 2; 7: 1; 
CD4_T_cell_signaling, 823, 14, 14,  642, 0, 7, 1583835, 112548.32, 1, 274.44, 0: 4; 1: 149; 2: 124; 3: 44; 4: 16; 5: 6; 6: 2; 7: 1; 
CD4_T_cell_signaling, 905, 14, 14,  643, 0, 7, 1583775, 112548.32, 0, 274.44, 0: 4; 1: 149; 2: 119; 3: 50; 4: 16; 5: 7; 7: 1; 
CD4_T_cell_signaling,  84,  8, 25,  645, 0, 7, 1606687, 112548.32, 0, 274.44, 0: 4; 1: 111; 2: 173; 3: 47; 4: 10; 7: 1; 
