Seed 1656949570
ARCH 0|F_ID 1|LIMIT 3
before: 
4(255)
Melhor resultado nxn: B_bronchiseptica_and_T_retortaeformis_coinfectio, 375,  6, 10,  237, 0, 4, 470467, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 50; 3: 23; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 160,  7,  8,  260, 0, 5, 442651, 11992.95, 0, 77.38, 0: 6; 1: 46; 2: 49; 3: 21; 4: 12; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 670,  5, 13,  260, 0, 5, 499326, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 50; 3: 25; 4: 9; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 732,  5, 13,  260, 0, 5, 499455, 11992.95, 0, 77.38, 0: 6; 1: 48; 2: 43; 3: 27; 4: 10; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 863,  6, 10,  260, 0, 5, 470443, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 48; 3: 15; 4: 11; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 546,  6, 10,  260, 0, 5, 470355, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 56; 3: 12; 4: 9; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 471,  9,  6,  260, 0, 5, 427869, 11992.95, 0, 77.38, 0: 6; 1: 48; 2: 46; 3: 21; 4: 13; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 566,  9,  6,  260, 0, 5, 427869, 11992.95, 0, 77.38, 0: 6; 1: 51; 2: 44; 3: 18; 4: 13; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 330,  5, 12,  260, 0, 5, 470538, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 45; 3: 25; 4: 8; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  92,  9,  6,  260, 0, 5, 427869, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 49; 3: 22; 4: 6; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 951,  5, 13,  261, 0, 5, 499424, 11992.95, 0, 77.38, 0: 6; 1: 49; 2: 38; 3: 33; 4: 8; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 244,  7,  8,  261, 0, 5, 442673, 11992.95, 0, 77.38, 0: 6; 1: 55; 2: 35; 3: 24; 4: 11; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 422,  5, 12,  261, 0, 5, 470438, 11992.95, 0, 77.38, 0: 6; 1: 50; 2: 44; 3: 18; 4: 16; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 923,  5, 13,  261, 0, 5, 499537, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 46; 3: 28; 4: 6; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 206,  7,  8,  261, 0, 5, 442697, 11992.95, 0, 77.38, 0: 6; 1: 48; 2: 49; 3: 16; 4: 13; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   1,  5, 11,  261, 0, 5, 434819, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 49; 3: 22; 4: 9; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 765,  5, 13,  261, 0, 5, 499526, 11992.95, 0, 77.38, 0: 6; 1: 45; 2: 44; 3: 33; 4: 6; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 731,  5, 12,  261, 0, 5, 470506, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 46; 3: 20; 4: 10; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 104,  5, 13,  261, 0, 5, 499510, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 46; 3: 22; 4: 10; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 958,  5, 12,  261, 0, 5, 470424, 11992.95, 1, 77.38, 0: 6; 1: 54; 2: 38; 3: 22; 4: 10; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 621,  7,  8,  261, 0, 5, 442656, 11992.95, 1, 77.38, 0: 6; 1: 51; 2: 43; 3: 20; 4: 11; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  89,  7,  8,  261, 0, 5, 442685, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 51; 3: 17; 4: 9; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 283,  5, 12,  262, 0, 5, 470460, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 50; 3: 17; 4: 11; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 749,  6, 10,  262, 0, 5, 470527, 11992.95, 1, 77.38, 0: 6; 1: 43; 2: 53; 3: 22; 4: 8; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 242,  5, 11,  262, 0, 5, 434821, 11992.95, 1, 77.38, 0: 6; 1: 51; 2: 43; 3: 21; 4: 8; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 179,  8,  7,  262, 0, 5, 442638, 11992.95, 1, 77.38, 0: 6; 1: 45; 2: 53; 3: 19; 4: 6; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 273,  5, 13,  262, 0, 5, 499492, 11992.95, 0, 77.38, 0: 6; 1: 44; 2: 48; 3: 27; 4: 9; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 629,  5, 11,  262, 0, 5, 434827, 11992.95, 0, 77.38, 0: 6; 1: 47; 2: 46; 3: 23; 4: 11; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 439,  5, 13,  263, 0, 5, 499584, 11992.95, 1, 77.38, 0: 6; 1: 52; 2: 39; 3: 25; 4: 7; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 156,  5, 13,  263, 0, 5, 499236, 11992.95, 1, 77.38, 0: 6; 1: 56; 2: 30; 3: 29; 4: 10; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 966,  6, 10,  263, 0, 5, 470548, 11992.95, 1, 77.38, 0: 6; 1: 43; 2: 55; 3: 18; 4: 9; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 207,  5, 12,  263, 0, 5, 470438, 11992.95, 0, 77.38, 0: 6; 1: 46; 2: 47; 3: 23; 4: 11; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 655,  5, 11,  263, 0, 5, 434819, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 44; 3: 20; 4: 10; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 720,  7,  8,  263, 0, 5, 442679, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 39; 3: 27; 4: 11; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 444,  5, 12,  263, 0, 5, 470516, 11992.95, 1, 77.38, 0: 6; 1: 54; 2: 41; 3: 15; 4: 13; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 433,  6,  9,  263, 0, 5, 427869, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 49; 3: 26; 4: 7; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  43,  5, 11,  263, 0, 5, 434821, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 42; 3: 28; 4: 8; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 887,  5, 12,  264, 0, 5, 470483, 11992.95, 0, 77.38, 0: 6; 1: 46; 2: 46; 3: 25; 4: 9; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 169,  7,  8,  264, 0, 5, 442664, 11992.95, 0, 77.38, 0: 6; 1: 49; 2: 43; 3: 21; 4: 14; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 789,  9,  6,  264, 0, 5, 427869, 11992.95, 0, 77.38, 0: 6; 1: 47; 2: 51; 3: 13; 4: 14; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 829,  6,  9,  264, 0, 5, 427869, 11992.95, 0, 77.38, 0: 6; 1: 46; 2: 45; 3: 25; 4: 12; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 554,  5, 12,  264, 0, 5, 470436, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 48; 3: 20; 4: 9; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  44,  5, 12,  264, 0, 5, 470555, 11992.95, 1, 77.38, 0: 6; 1: 53; 2: 40; 3: 19; 4: 11; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 249,  5, 12,  264, 0, 5, 470390, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 45; 3: 24; 4: 10; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 704,  9,  6,  264, 0, 5, 427869, 11992.95, 1, 77.38, 0: 6; 1: 42; 2: 56; 3: 18; 4: 9; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 297,  5, 13,  264, 0, 5, 499475, 11992.95, 0, 77.38, 0: 6; 1: 49; 2: 41; 3: 26; 4: 10; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  77,  9,  6,  264, 0, 5, 427869, 11992.95, 0, 77.38, 0: 6; 1: 49; 2: 40; 3: 28; 4: 9; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 825,  7,  8,  264, 0, 5, 442667, 11992.95, 0, 77.38, 0: 6; 1: 48; 2: 41; 3: 27; 4: 12; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 425,  5, 12,  264, 0, 5, 470512, 11992.95, 0, 77.38, 0: 6; 1: 49; 2: 43; 3: 20; 4: 16; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 536,  5, 13,  265, 0, 5, 499358, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 42; 3: 30; 4: 10; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 970,  5, 12,  265, 0, 5, 470477, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 47; 3: 20; 4: 7; 5: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 205,  8,  7,  265, 0, 5, 442647, 11992.95, 0, 77.38, 0: 6; 1: 48; 2: 42; 3: 24; 4: 14; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 413,  6, 10,  265, 0, 5, 470408, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 47; 3: 20; 4: 7; 5: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 237,  5, 11,  265, 0, 5, 434805, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 42; 3: 21; 4: 12; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 547,  6,  9,  265, 0, 5, 427869, 11992.95, 1, 77.38, 0: 6; 1: 41; 2: 51; 3: 29; 4: 5; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 360,  5, 12,  265, 0, 5, 470469, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 46; 3: 20; 4: 10; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 107,  8,  7,  265, 0, 5, 442689, 11992.95, 0, 77.38, 0: 6; 1: 53; 2: 40; 3: 18; 4: 12; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 800,  6,  9,  265, 0, 5, 427869, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 43; 3: 23; 4: 13; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 292,  6, 10,  265, 0, 5, 470481, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 46; 3: 17; 4: 12; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 809,  5, 11,  266, 0, 5, 434842, 11992.95, 1, 77.38, 0: 6; 1: 45; 2: 46; 3: 27; 4: 7; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 717,  5, 11,  266, 0, 5, 434789, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 40; 3: 23; 4: 13; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   4,  5, 11,  266, 0, 5, 434807, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 48; 3: 25; 4: 9; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 515,  6,  9,  266, 0, 5, 427869, 11992.95, 0, 77.38, 0: 6; 1: 46; 2: 42; 3: 29; 4: 11; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 683,  5, 13,  266, 0, 5, 499294, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 47; 3: 19; 4: 12; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 551,  7,  8,  266, 0, 5, 442674, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 44; 3: 19; 4: 13; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 890,  5, 13,  267, 0, 5, 499295, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 46; 3: 28; 4: 8; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  70,  5, 13,  267, 0, 5, 499225, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 43; 3: 23; 4: 7; 5: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 677,  5, 11,  267, 0, 5, 434802, 11992.95, 0, 77.38, 0: 6; 1: 46; 2: 47; 3: 20; 4: 13; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 489,  5, 11,  267, 0, 5, 434816, 11992.95, 1, 77.38, 0: 6; 1: 51; 2: 41; 3: 20; 4: 11; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 365,  5, 13,  267, 0, 5, 499515, 11992.95, 0, 77.38, 0: 6; 1: 40; 2: 51; 3: 28; 4: 9; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 804,  5, 11,  267, 0, 5, 434794, 11992.95, 1, 77.38, 0: 6; 1: 43; 2: 50; 3: 23; 4: 10; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 563,  7,  8,  267, 0, 5, 442683, 11992.95, 1, 77.38, 0: 6; 1: 51; 2: 40; 3: 21; 4: 12; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 816,  6, 10,  267, 0, 5, 470422, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 42; 3: 28; 4: 8; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 857,  8,  7,  268, 0, 5, 442633, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 46; 3: 26; 4: 11; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 197,  5, 12,  268, 0, 5, 470498, 11992.95, 1, 77.38, 0: 6; 1: 42; 2: 52; 3: 22; 4: 9; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 694,  7,  8,  268, 0, 5, 442650, 11992.95, 1, 77.38, 0: 6; 1: 45; 2: 50; 3: 19; 4: 9; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 964,  9,  6,  268, 0, 5, 427869, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 46; 3: 22; 4: 11; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 911,  5, 13,  268, 0, 5, 499254, 11992.95, 0, 77.38, 0: 6; 1: 44; 2: 46; 3: 26; 4: 11; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 185,  5, 11,  268, 0, 5, 434829, 11992.95, 0, 77.38, 0: 6; 1: 47; 2: 45; 3: 19; 4: 16; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 258,  6, 10,  268, 0, 5, 470484, 11992.95, 0, 77.38, 0: 6; 1: 42; 2: 51; 3: 21; 4: 14; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 492,  5, 11,  269, 0, 5, 434815, 11992.95, 0, 77.38, 0: 6; 1: 44; 2: 48; 3: 22; 4: 12; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 316,  5, 11,  269, 0, 5, 434831, 11992.95, 0, 77.38, 0: 6; 1: 48; 2: 48; 3: 15; 4: 10; 5: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 210,  5, 12,  269, 0, 5, 470562, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 47; 3: 20; 4: 11; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  51,  5, 11,  269, 0, 5, 434825, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 44; 3: 22; 4: 12; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 336,  5, 11,  269, 0, 5, 434817, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 44; 3: 25; 4: 10; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 188,  5, 13,  269, 0, 5, 499431, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 42; 3: 21; 4: 12; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 844,  5, 13,  270, 0, 5, 499459, 11992.95, 1, 77.38, 0: 6; 1: 43; 2: 47; 3: 25; 4: 12; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 369,  7,  8,  270, 0, 5, 442628, 11992.95, 1, 77.38, 0: 6; 1: 45; 2: 51; 3: 14; 4: 14; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 674,  5, 11,  270, 0, 5, 434815, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 49; 3: 20; 4: 12; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 559,  5, 13,  270, 0, 5, 499571, 11992.95, 1, 77.38, 0: 6; 1: 51; 2: 36; 3: 26; 4: 11; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 963,  5, 13,  270, 0, 5, 499472, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 45; 3: 24; 4: 8; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 736,  5, 13,  270, 0, 5, 499553, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 38; 3: 24; 4: 13; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  10,  5, 11,  271, 0, 5, 434801, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 39; 3: 28; 4: 9; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  57,  5, 11,  271, 0, 5, 434799, 11992.95, 0, 77.38, 0: 6; 1: 47; 2: 38; 3: 31; 4: 10; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 354,  5, 13,  271, 0, 5, 499456, 11992.95, 1, 77.38, 0: 6; 1: 50; 2: 38; 3: 25; 4: 10; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 176,  5, 12,  271, 0, 5, 470501, 11992.95, 1, 77.38, 0: 6; 1: 40; 2: 53; 3: 23; 4: 9; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 747,  6,  9,  272, 0, 5, 427869, 11992.95, 1, 77.38, 0: 6; 1: 52; 2: 37; 3: 22; 4: 10; 5: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  19,  5, 12,  272, 0, 5, 470430, 11992.95, 0, 77.38, 0: 6; 1: 52; 2: 37; 3: 20; 4: 14; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 194,  5, 12,  272, 0, 5, 470558, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 44; 3: 17; 4: 15; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 874,  5, 11,  272, 0, 5, 434776, 11992.95, 1, 77.38, 0: 6; 1: 43; 2: 49; 3: 20; 4: 14; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 190,  4, 14,  272, 0, 5, 442626, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 40; 3: 20; 4: 17; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 737,  6,  9,  272, 0, 5, 427869, 11992.95, 0, 77.38, 0: 6; 1: 45; 2: 46; 3: 19; 4: 17; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 183,  5, 12,  272, 0, 5, 470491, 11992.95, 1, 77.38, 0: 6; 1: 42; 2: 50; 3: 23; 4: 9; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 289,  5, 13,  272, 0, 5, 499591, 11992.95, 1, 77.38, 0: 6; 1: 45; 2: 42; 3: 29; 4: 9; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 483,  5, 11,  272, 0, 5, 434777, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 39; 3: 26; 4: 8; 5: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 391,  5, 13,  273, 0, 5, 499415, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 43; 3: 21; 4: 13; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 349,  5, 13,  273, 0, 5, 499543, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 43; 3: 18; 4: 15; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 922,  5, 12,  273, 0, 5, 470542, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 42; 3: 25; 4: 12; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 867,  4, 14,  273, 0, 5, 442680, 11992.95, 0, 77.38, 0: 6; 1: 46; 2: 44; 3: 22; 4: 12; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 128,  6, 10,  273, 0, 5, 470494, 11992.95, 0, 77.38, 0: 6; 1: 45; 2: 48; 3: 17; 4: 14; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 407,  5, 12,  274, 0, 5, 470432, 11992.95, 0, 77.38, 0: 6; 1: 44; 2: 45; 3: 22; 4: 16; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 763,  5, 13,  274, 0, 5, 499439, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 46; 3: 22; 4: 13; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 696,  4, 14,  274, 0, 5, 442642, 11992.95, 1, 77.38, 0: 6; 1: 49; 2: 39; 3: 21; 4: 16; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 380,  5, 11,  274, 0, 5, 434824, 11992.95, 0, 77.38, 0: 6; 1: 45; 2: 43; 3: 23; 4: 16; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 996,  4, 14,  275, 0, 5, 442698, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 42; 3: 30; 4: 8; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 327,  5, 11,  275, 0, 5, 434782, 11992.95, 0, 77.38, 0: 6; 1: 51; 2: 32; 3: 28; 4: 14; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 476,  8,  7,  275, 0, 5, 442676, 11992.95, 0, 77.38, 0: 6; 1: 42; 2: 49; 3: 19; 4: 17; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 853,  5, 11,  275, 0, 5, 434821, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 44; 3: 20; 4: 14; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 921,  4, 14,  275, 0, 5, 442663, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 42; 3: 29; 4: 10; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 224,  4, 14,  276, 0, 5, 442581, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 46; 3: 20; 4: 15; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  32,  5, 11,  276, 0, 5, 434831, 11992.95, 1, 77.38, 0: 6; 1: 46; 2: 45; 3: 16; 4: 18; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 280,  5, 13,  277, 0, 5, 499452, 11992.95, 1, 77.38, 0: 6; 1: 40; 2: 52; 3: 19; 4: 14; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 172,  6, 10,  277, 0, 5, 470380, 11992.95, 1, 77.38, 0: 6; 1: 42; 2: 50; 3: 18; 4: 14; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 557,  5, 11,  277, 0, 5, 434835, 11992.95, 1, 77.38, 0: 6; 1: 42; 2: 48; 3: 22; 4: 12; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 940,  4, 14,  277, 0, 5, 442636, 11992.95, 0, 77.38, 0: 6; 1: 39; 2: 50; 3: 24; 4: 14; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 754,  7,  8,  278, 0, 5, 442638, 11992.95, 1, 77.38, 0: 6; 1: 44; 2: 46; 3: 23; 4: 7; 5: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 215,  4, 14,  278, 0, 5, 442641, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 40; 3: 22; 4: 11; 5: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  56,  4, 14,  279, 0, 5, 442681, 11992.95, 1, 77.38, 0: 6; 1: 45; 2: 42; 3: 25; 4: 10; 5: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 939,  4, 14,  279, 0, 5, 442667, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 37; 3: 24; 4: 15; 5: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 414,  4, 14,  279, 0, 5, 442674, 11992.95, 1, 77.38, 0: 6; 1: 45; 2: 42; 3: 24; 4: 12; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 227,  4, 14,  279, 0, 5, 442708, 11992.95, 1, 77.38, 0: 6; 1: 43; 2: 49; 3: 17; 4: 13; 5: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 935,  4, 14,  279, 0, 5, 442698, 11992.95, 1, 77.38, 0: 6; 1: 48; 2: 39; 3: 21; 4: 15; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 752,  8,  7,  280, 0, 5, 442621, 11992.95, 0, 77.38, 0: 6; 1: 42; 2: 45; 3: 24; 4: 14; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 480,  5, 11,  280, 0, 5, 434836, 11992.95, 0, 77.38, 0: 6; 1: 44; 2: 44; 3: 22; 4: 13; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  18,  5, 11,  280, 0, 5, 434820, 11992.95, 0, 77.38, 0: 6; 1: 44; 2: 43; 3: 20; 4: 20; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 567,  5, 11,  281, 0, 5, 434806, 11992.95, 1, 77.38, 0: 6; 1: 47; 2: 41; 3: 18; 4: 17; 5: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 831,  4, 14,  281, 0, 5, 442637, 11992.95, 1, 77.38, 0: 6; 1: 43; 2: 42; 3: 25; 4: 16; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 703,  4, 14,  281, 0, 5, 442662, 11992.95, 1, 77.38, 0: 6; 1: 45; 2: 42; 3: 22; 4: 14; 5: 6; 
