Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
74(1000)
Melhor resultado nxn: CD4_T_cell_signaling, 361, 14, 14,  519, 1, 4, 1583799, 45211.48, 0, 0.00, 1: 211; 2: 105; 3: 22; 4: 8; 
CD4_T_cell_signaling, 867,  8, 26,  633, 0, 6, 1664496, 45211.48, 1, 270.53, 0: 4; 1: 174; 2: 91; 3: 44; 4: 22; 5: 9; 6: 2; 
CD4_T_cell_signaling, 225, 10, 20,  633, 0, 6, 1606601, 45211.48, 0, 270.53, 0: 4; 1: 174; 2: 92; 3: 41; 4: 26; 5: 6; 6: 3; 
CD4_T_cell_signaling, 416, 14, 14,  634, 0, 6, 1583775, 45211.48, 1, 270.53, 0: 4; 1: 177; 2: 95; 3: 33; 4: 23; 5: 8; 6: 6; 
CD4_T_cell_signaling, 965, 12, 16,  635, 0, 6, 1539737, 45211.48, 1, 270.53, 0: 4; 1: 177; 2: 89; 3: 36; 4: 30; 5: 8; 6: 2; 
CD4_T_cell_signaling, 621, 10, 20,  636, 0, 6, 1606370, 45211.48, 1, 270.53, 0: 4; 1: 174; 2: 96; 3: 38; 4: 18; 5: 12; 6: 4; 
CD4_T_cell_signaling, 490, 14, 14,  637, 0, 6, 1583743, 45211.48, 1, 270.53, 0: 4; 1: 174; 2: 93; 3: 37; 4: 27; 5: 8; 6: 3; 
CD4_T_cell_signaling, 919, 16, 12,  638, 0, 6, 1539718, 45211.48, 1, 270.53, 0: 4; 1: 170; 2: 96; 3: 43; 4: 19; 5: 13; 6: 1; 
CD4_T_cell_signaling, 822,  8, 24,  638, 0, 6, 1539659, 45211.48, 0, 270.53, 0: 4; 1: 165; 2: 94; 3: 54; 4: 24; 5: 3; 6: 2; 
CD4_T_cell_signaling, 720,  8, 26,  639, 0, 6, 1664346, 45211.48, 1, 270.53, 0: 4; 1: 161; 2: 104; 3: 50; 4: 16; 5: 10; 6: 1; 
CD4_T_cell_signaling, 492,  8, 26,  639, 0, 6, 1664146, 45211.48, 1, 270.53, 0: 4; 1: 169; 2: 96; 3: 44; 4: 22; 5: 8; 6: 3; 
CD4_T_cell_signaling, 409, 16, 12,  640, 0, 6, 1539703, 45211.48, 0, 270.53, 0: 4; 1: 170; 2: 85; 3: 57; 4: 24; 5: 3; 6: 3; 
CD4_T_cell_signaling, 664, 11, 18,  641, 0, 6, 1595315, 45211.48, 1, 270.53, 0: 4; 1: 173; 2: 97; 3: 35; 4: 21; 5: 11; 6: 5; 
CD4_T_cell_signaling, 915, 10, 20,  641, 0, 6, 1606278, 45211.48, 1, 270.53, 0: 4; 1: 172; 2: 91; 3: 43; 4: 25; 5: 8; 6: 3; 
CD4_T_cell_signaling, 138, 10, 20,  642, 0, 6, 1606573, 45211.48, 0, 270.53, 0: 4; 1: 152; 2: 110; 3: 55; 4: 22; 5: 1; 6: 2; 
CD4_T_cell_signaling,  24,  8, 24,  643, 0, 6, 1539722, 45211.48, 1, 270.53, 0: 4; 1: 167; 2: 100; 3: 36; 4: 28; 5: 10; 6: 1; 
CD4_T_cell_signaling, 649, 10, 20,  644, 0, 6, 1606421, 45211.48, 1, 270.53, 0: 4; 1: 173; 2: 90; 3: 38; 4: 31; 5: 7; 6: 3; 
CD4_T_cell_signaling, 670, 12, 16,  645, 0, 6, 1539716, 45211.48, 1, 270.53, 0: 4; 1: 166; 2: 102; 3: 38; 4: 22; 5: 11; 6: 3; 
CD4_T_cell_signaling, 936,  8, 24,  645, 0, 6, 1539722, 45211.48, 0, 270.53, 0: 4; 1: 166; 2: 84; 3: 64; 4: 22; 5: 5; 6: 1; 
CD4_T_cell_signaling, 382, 10, 20,  646, 0, 6, 1606318, 45211.48, 1, 270.53, 0: 4; 1: 170; 2: 98; 3: 36; 4: 23; 5: 10; 6: 5; 
CD4_T_cell_signaling, 992,  8, 24,  649, 0, 6, 1539720, 45211.48, 1, 270.53, 0: 4; 1: 173; 2: 87; 3: 40; 4: 30; 5: 10; 6: 2; 
CD4_T_cell_signaling, 851, 10, 20,  649, 0, 6, 1606552, 45211.48, 1, 270.53, 0: 4; 1: 175; 2: 92; 3: 33; 4: 26; 5: 9; 6: 7; 
CD4_T_cell_signaling, 608,  9, 22,  650, 0, 6, 1595493, 45211.48, 1, 270.53, 0: 4; 1: 171; 2: 97; 3: 32; 4: 28; 5: 7; 6: 7; 
CD4_T_cell_signaling, 673, 10, 20,  652, 0, 6, 1606578, 45211.48, 1, 270.53, 0: 4; 1: 172; 2: 91; 3: 41; 4: 21; 5: 11; 6: 6; 
CD4_T_cell_signaling,  77,  8, 24,  652, 0, 6, 1539729, 45211.48, 0, 270.53, 0: 4; 1: 170; 2: 88; 3: 41; 4: 33; 5: 9; 6: 1; 
CD4_T_cell_signaling, 195, 14, 14,  652, 0, 6, 1583650, 45211.48, 0, 270.53, 0: 4; 1: 158; 2: 103; 3: 52; 4: 19; 5: 4; 6: 6; 
CD4_T_cell_signaling, 356, 11, 18,  655, 0, 6, 1595458, 45211.48, 1, 270.53, 0: 4; 1: 158; 2: 106; 3: 43; 4: 25; 5: 4; 6: 6; 
CD4_T_cell_signaling, 271, 10, 20,  656, 0, 6, 1606382, 45211.48, 1, 270.53, 0: 4; 1: 167; 2: 93; 3: 45; 4: 23; 5: 8; 6: 6; 
CD4_T_cell_signaling, 600,  8, 24,  657, 0, 6, 1539707, 45211.48, 0, 270.53, 0: 4; 1: 168; 2: 88; 3: 50; 4: 21; 5: 11; 6: 4; 
CD4_T_cell_signaling, 786,  8, 26,  657, 0, 6, 1664122, 45211.48, 1, 270.53, 0: 4; 1: 164; 2: 96; 3: 41; 4: 31; 5: 6; 6: 4; 
CD4_T_cell_signaling, 270,  8, 26,  658, 0, 6, 1664234, 45211.48, 1, 270.53, 0: 4; 1: 167; 2: 92; 3: 42; 4: 27; 5: 11; 6: 3; 
CD4_T_cell_signaling, 216, 15, 13,  661, 0, 6, 1568139, 45211.48, 0, 270.53, 0: 4; 1: 149; 2: 109; 3: 49; 4: 29; 5: 5; 6: 1; 
CD4_T_cell_signaling,  68,  8, 24,  665, 0, 6, 1539686, 45211.48, 1, 270.53, 0: 4; 1: 167; 2: 91; 3: 41; 4: 27; 5: 11; 6: 5; 
CD4_T_cell_signaling, 246, 12, 16,  670, 0, 6, 1539704, 45211.48, 1, 270.53, 0: 4; 1: 165; 2: 87; 3: 49; 4: 26; 5: 10; 6: 5; 
CD4_T_cell_signaling, 184,  9, 21,  673, 0, 6, 1527876, 45211.48, 1, 270.53, 0: 4; 1: 148; 2: 110; 3: 44; 4: 30; 5: 7; 6: 3; 
CD4_T_cell_signaling, 236, 13, 15,  674, 0, 6, 1568150, 45211.48, 0, 270.53, 0: 4; 1: 143; 2: 101; 3: 67; 4: 28; 5: 2; 6: 1; 
CD4_T_cell_signaling, 242,  9, 23,  675, 0, 6, 1649601, 45211.48, 1, 270.53, 0: 4; 1: 148; 2: 103; 3: 59; 4: 18; 5: 12; 6: 2; 
CD4_T_cell_signaling, 739,  8, 24,  678, 0, 6, 1539748, 45211.48, 1, 270.53, 0: 4; 1: 176; 2: 73; 3: 43; 4: 27; 5: 19; 6: 4; 
CD4_T_cell_signaling, 884, 12, 16,  678, 0, 6, 1539758, 45211.48, 1, 270.53, 0: 4; 1: 167; 2: 90; 3: 37; 4: 27; 5: 14; 6: 7; 
CD4_T_cell_signaling, 586, 10, 19,  680, 0, 6, 1526083, 45211.48, 1, 270.53, 0: 4; 1: 146; 2: 104; 3: 59; 4: 20; 5: 9; 6: 4; 
CD4_T_cell_signaling, 287,  9, 23,  681, 0, 6, 1649615, 45211.48, 1, 270.53, 0: 4; 1: 145; 2: 112; 3: 44; 4: 27; 5: 12; 6: 2; 
CD4_T_cell_signaling, 516,  9, 22,  683, 0, 6, 1595485, 45211.48, 1, 270.53, 0: 4; 1: 164; 2: 88; 3: 40; 4: 32; 5: 13; 6: 5; 
CD4_T_cell_signaling, 524,  9, 23,  683, 0, 6, 1649592, 45211.48, 1, 270.53, 0: 4; 1: 151; 2: 102; 3: 44; 4: 31; 5: 12; 6: 2; 
CD4_T_cell_signaling, 408, 13, 15,  683, 0, 6, 1568266, 45211.48, 1, 270.53, 0: 4; 1: 156; 2: 102; 3: 37; 4: 29; 5: 12; 6: 6; 
CD4_T_cell_signaling, 425, 11, 18,  683, 0, 6, 1595609, 45211.48, 1, 270.53, 0: 4; 1: 158; 2: 85; 3: 59; 4: 25; 5: 12; 6: 3; 
CD4_T_cell_signaling, 469,  8, 25,  684, 0, 6, 1606718, 45211.48, 1, 270.53, 0: 4; 1: 149; 2: 107; 3: 44; 4: 25; 5: 13; 6: 4; 
CD4_T_cell_signaling, 569,  9, 23,  685, 0, 6, 1649355, 45211.48, 1, 270.53, 0: 4; 1: 147; 2: 109; 3: 45; 4: 25; 5: 11; 6: 5; 
CD4_T_cell_signaling, 480, 12, 17,  685, 0, 6, 1626257, 45211.48, 1, 270.53, 0: 4; 1: 151; 2: 103; 3: 43; 4: 31; 5: 9; 6: 5; 
CD4_T_cell_signaling, 672, 13, 15,  685, 0, 6, 1568116, 45211.48, 1, 270.53, 0: 4; 1: 153; 2: 100; 3: 44; 4: 29; 5: 12; 6: 4; 
CD4_T_cell_signaling, 366,  9, 21,  687, 0, 6, 1527876, 45211.48, 1, 270.53, 0: 4; 1: 153; 2: 96; 3: 49; 4: 28; 5: 13; 6: 3; 
CD4_T_cell_signaling, 160, 12, 17,  687, 0, 6, 1626220, 45211.48, 1, 270.53, 0: 4; 1: 149; 2: 107; 3: 44; 4: 24; 5: 12; 6: 6; 
CD4_T_cell_signaling, 534,  9, 21,  687, 0, 6, 1527876, 45211.48, 1, 270.53, 0: 4; 1: 149; 2: 101; 3: 46; 4: 34; 5: 10; 6: 2; 
CD4_T_cell_signaling, 473,  9, 23,  687, 0, 6, 1649315, 45211.48, 1, 270.53, 0: 4; 1: 139; 2: 114; 3: 51; 4: 25; 5: 11; 6: 2; 
CD4_T_cell_signaling, 292, 10, 19,  688, 0, 6, 1526054, 45211.48, 1, 270.53, 0: 4; 1: 145; 2: 106; 3: 53; 4: 23; 5: 10; 6: 5; 
CD4_T_cell_signaling, 282,  9, 23,  689, 0, 6, 1649422, 45211.48, 1, 270.53, 0: 4; 1: 141; 2: 111; 3: 49; 4: 29; 5: 9; 6: 3; 
CD4_T_cell_signaling,  66, 10, 19,  689, 0, 6, 1526074, 45211.48, 1, 270.53, 0: 4; 1: 152; 2: 100; 3: 42; 4: 34; 5: 9; 6: 5; 
CD4_T_cell_signaling, 701,  9, 21,  690, 0, 6, 1527876, 45211.48, 1, 270.53, 0: 4; 1: 148; 2: 103; 3: 44; 4: 35; 5: 8; 6: 4; 
CD4_T_cell_signaling, 635, 15, 13,  690, 0, 6, 1568149, 45211.48, 1, 270.53, 0: 4; 1: 143; 2: 111; 3: 46; 4: 28; 5: 9; 6: 5; 
CD4_T_cell_signaling,  26, 10, 19,  691, 0, 6, 1526094, 45211.48, 0, 270.53, 0: 4; 1: 137; 2: 116; 3: 48; 4: 28; 5: 12; 6: 1; 
CD4_T_cell_signaling, 709, 11, 18,  693, 0, 6, 1595590, 45211.48, 0, 270.53, 0: 4; 1: 154; 2: 98; 3: 38; 4: 34; 5: 15; 6: 3; 
CD4_T_cell_signaling, 398,  8, 24,  694, 0, 6, 1539768, 45211.48, 1, 270.53, 0: 4; 1: 158; 2: 87; 3: 52; 4: 25; 5: 14; 6: 6; 
CD4_T_cell_signaling, 202,  9, 21,  695, 0, 6, 1527876, 45211.48, 1, 270.53, 0: 4; 1: 141; 2: 113; 3: 46; 4: 25; 5: 12; 6: 5; 
CD4_T_cell_signaling, 209,  9, 21,  696, 0, 6, 1527876, 45211.48, 1, 270.53, 0: 4; 1: 147; 2: 107; 3: 42; 4: 24; 5: 19; 6: 3; 
CD4_T_cell_signaling, 256,  8, 25,  696, 0, 6, 1606575, 45211.48, 1, 270.53, 0: 4; 1: 153; 2: 92; 3: 55; 4: 21; 5: 16; 6: 5; 
CD4_T_cell_signaling,  69, 10, 19,  696, 0, 6, 1526098, 45211.48, 1, 270.53, 0: 4; 1: 147; 2: 104; 3: 48; 4: 23; 5: 15; 6: 5; 
CD4_T_cell_signaling, 262,  9, 21,  696, 0, 6, 1527876, 45211.48, 1, 270.53, 0: 4; 1: 143; 2: 109; 3: 45; 4: 29; 5: 12; 6: 4; 
CD4_T_cell_signaling, 752,  9, 22,  696, 0, 6, 1595358, 45211.48, 1, 270.53, 0: 4; 1: 153; 2: 103; 3: 36; 4: 29; 5: 13; 6: 8; 
CD4_T_cell_signaling, 949, 15, 13,  697, 0, 6, 1568211, 45211.48, 1, 270.53, 0: 4; 1: 147; 2: 103; 3: 43; 4: 34; 5: 11; 6: 4; 
CD4_T_cell_signaling, 386,  9, 21,  698, 0, 6, 1527876, 45211.48, 1, 270.53, 0: 4; 1: 150; 2: 99; 3: 45; 4: 28; 5: 17; 6: 3; 
CD4_T_cell_signaling, 821, 15, 13,  699, 0, 6, 1568180, 45211.48, 1, 270.53, 0: 4; 1: 142; 2: 112; 3: 36; 4: 37; 5: 13; 6: 2; 
CD4_T_cell_signaling, 729,  9, 21,  699, 0, 6, 1527876, 45211.48, 1, 270.53, 0: 4; 1: 149; 2: 104; 3: 34; 4: 39; 5: 12; 6: 4; 
CD4_T_cell_signaling, 500,  9, 22,  701, 0, 6, 1595647, 45211.48, 1, 270.53, 0: 4; 1: 155; 2: 90; 3: 43; 4: 38; 5: 11; 6: 5; 
CD4_T_cell_signaling, 613, 10, 19,  702, 0, 6, 1526089, 45211.48, 1, 270.53, 0: 4; 1: 148; 2: 98; 3: 47; 4: 30; 5: 17; 6: 2; 
CD4_T_cell_signaling, 762, 15, 13,  703, 0, 6, 1568118, 45211.48, 1, 270.53, 0: 4; 1: 144; 2: 106; 3: 40; 4: 37; 5: 11; 6: 4; 
CD4_T_cell_signaling, 162,  8, 25,  704, 0, 6, 1606554, 45211.48, 1, 270.53, 0: 4; 1: 144; 2: 104; 3: 46; 4: 32; 5: 10; 6: 6; 
CD4_T_cell_signaling, 796, 15, 13,  704, 0, 6, 1568278, 45211.48, 1, 270.53, 0: 4; 1: 153; 2: 98; 3: 38; 4: 30; 5: 17; 6: 6; 
CD4_T_cell_signaling, 704, 13, 15,  705, 0, 6, 1568165, 45211.48, 1, 270.53, 0: 4; 1: 146; 2: 100; 3: 48; 4: 30; 5: 13; 6: 5; 
CD4_T_cell_signaling,   4,  9, 23,  707, 0, 6, 1649631, 45211.48, 1, 270.53, 0: 4; 1: 148; 2: 97; 3: 48; 4: 28; 5: 17; 6: 4; 
CD4_T_cell_signaling, 488, 10, 19,  709, 0, 6, 1526097, 45211.48, 1, 270.53, 0: 4; 1: 136; 2: 115; 3: 48; 4: 22; 5: 15; 6: 6; 
CD4_T_cell_signaling, 245, 12, 17,  709, 0, 6, 1626204, 45211.48, 1, 270.53, 0: 4; 1: 140; 2: 109; 3: 42; 4: 33; 5: 15; 6: 3; 
CD4_T_cell_signaling, 544,  9, 21,  709, 0, 6, 1527876, 45211.48, 1, 270.53, 0: 4; 1: 137; 2: 109; 3: 44; 4: 39; 5: 12; 6: 1; 
CD4_T_cell_signaling, 565,  9, 23,  710, 0, 6, 1649464, 45211.48, 1, 270.53, 0: 4; 1: 140; 2: 109; 3: 49; 4: 20; 5: 19; 6: 5; 
CD4_T_cell_signaling, 520,  9, 23,  712, 0, 6, 1649730, 45211.48, 1, 270.53, 0: 4; 1: 139; 2: 106; 3: 52; 4: 25; 5: 15; 6: 5; 
CD4_T_cell_signaling, 118, 12, 17,  713, 0, 6, 1626001, 45211.48, 1, 270.53, 0: 4; 1: 137; 2: 115; 3: 40; 4: 27; 5: 20; 6: 3; 
CD4_T_cell_signaling,  84,  8, 25,  714, 0, 6, 1606658, 45211.48, 1, 270.53, 0: 4; 1: 140; 2: 113; 3: 35; 4: 31; 5: 19; 6: 4; 
CD4_T_cell_signaling, 323, 15, 13,  717, 0, 6, 1568204, 45211.48, 1, 270.53, 0: 4; 1: 143; 2: 105; 3: 40; 4: 30; 5: 20; 6: 4; 
CD4_T_cell_signaling,  19,  9, 21,  718, 0, 6, 1527876, 45211.48, 1, 270.53, 0: 4; 1: 136; 2: 106; 3: 55; 4: 25; 5: 15; 6: 5; 
CD4_T_cell_signaling, 916, 10, 19,  718, 0, 6, 1526072, 45211.48, 1, 270.53, 0: 4; 1: 146; 2: 101; 3: 43; 4: 28; 5: 15; 6: 9; 
CD4_T_cell_signaling,  74, 13, 15,  719, 0, 6, 1568125, 45211.48, 1, 270.53, 0: 4; 1: 140; 2: 101; 3: 56; 4: 22; 5: 17; 6: 6; 
CD4_T_cell_signaling, 123,  8, 25,  719, 0, 6, 1606455, 45211.48, 1, 270.53, 0: 4; 1: 137; 2: 111; 3: 40; 4: 35; 5: 14; 6: 5; 
CD4_T_cell_signaling, 923, 15, 13,  721, 0, 6, 1568137, 45211.48, 1, 270.53, 0: 4; 1: 142; 2: 96; 3: 52; 4: 32; 5: 17; 6: 3; 
CD4_T_cell_signaling,  50,  8, 25,  723, 0, 6, 1606550, 45211.48, 1, 270.53, 0: 4; 1: 142; 2: 102; 3: 46; 4: 25; 5: 23; 6: 4; 
CD4_T_cell_signaling, 771, 13, 15,  723, 0, 6, 1568181, 45211.48, 1, 270.53, 0: 4; 1: 144; 2: 105; 3: 40; 4: 23; 5: 23; 6: 7; 
CD4_T_cell_signaling, 797, 15, 13,  724, 0, 6, 1568141, 45211.48, 1, 270.53, 0: 4; 1: 149; 2: 95; 3: 37; 4: 40; 5: 12; 6: 9; 
CD4_T_cell_signaling, 661,  8, 25,  726, 0, 6, 1606406, 45211.48, 1, 270.53, 0: 4; 1: 133; 2: 107; 3: 56; 4: 26; 5: 13; 6: 7; 
CD4_T_cell_signaling, 766,  9, 21,  729, 0, 6, 1527876, 45211.48, 1, 270.53, 0: 4; 1: 141; 2: 102; 3: 43; 4: 35; 5: 11; 6: 10; 
CD4_T_cell_signaling, 958, 13, 15,  730, 0, 6, 1568058, 45211.48, 1, 270.53, 0: 4; 1: 149; 2: 95; 3: 35; 4: 38; 5: 16; 6: 9; 
CD4_T_cell_signaling, 327,  8, 26,  730, 0, 6, 1664324, 45211.48, 1, 270.53, 0: 4; 1: 143; 2: 94; 3: 47; 4: 37; 5: 16; 6: 5; 
CD4_T_cell_signaling, 590, 15, 13,  737, 0, 6, 1568235, 45211.48, 1, 270.53, 0: 4; 1: 132; 2: 109; 3: 46; 4: 35; 5: 11; 6: 9; 
CD4_T_cell_signaling, 219,  9, 23,  738, 0, 6, 1649674, 45211.48, 1, 270.53, 0: 4; 1: 135; 2: 110; 3: 35; 4: 37; 5: 20; 6: 5; 
CD4_T_cell_signaling, 999,  9, 22,  746, 0, 6, 1595452, 45211.48, 0, 270.53, 0: 4; 1: 140; 2: 97; 3: 39; 4: 43; 5: 15; 6: 8; 
CD4_T_cell_signaling, 784,  8, 25,  749, 0, 6, 1606292, 45211.48, 1, 270.53, 0: 4; 1: 136; 2: 98; 3: 49; 4: 31; 5: 22; 6: 6; 
CD4_T_cell_signaling, 248, 12, 17,  750, 0, 6, 1626133, 45211.48, 1, 270.53, 0: 4; 1: 134; 2: 95; 3: 54; 4: 37; 5: 16; 6: 6; 
CD4_T_cell_signaling, 698,  8, 25,  751, 0, 6, 1606593, 45211.48, 1, 270.53, 0: 4; 1: 138; 2: 94; 3: 46; 4: 38; 5: 21; 6: 5; 
CD4_T_cell_signaling,   2, 10, 19,  752, 0, 6, 1526080, 45211.48, 1, 270.53, 0: 4; 1: 139; 2: 101; 3: 39; 4: 32; 5: 20; 6: 11; 
CD4_T_cell_signaling, 253,  8, 25,  761, 0, 6, 1606470, 45211.48, 1, 270.53, 0: 4; 1: 127; 2: 106; 3: 44; 4: 42; 5: 16; 6: 7; 
CD4_T_cell_signaling, 503,  8, 26,  614, 0, 7, 1664105, 45211.48, 1, 270.53, 0: 4; 1: 183; 2: 93; 3: 35; 4: 20; 5: 7; 6: 3; 7: 1; 
CD4_T_cell_signaling, 754, 10, 20,  618, 0, 7, 1606406, 45211.48, 0, 270.53, 0: 4; 1: 165; 2: 109; 3: 43; 4: 21; 5: 3; 7: 1; 
CD4_T_cell_signaling, 161, 10, 20,  625, 0, 7, 1606390, 45211.48, 1, 270.53, 0: 4; 1: 181; 2: 89; 3: 42; 4: 15; 5: 11; 6: 3; 7: 1; 
CD4_T_cell_signaling, 361, 14, 14,  625, 0, 7, 1583799, 45211.48, 1, 270.53, 0: 4; 1: 178; 2: 94; 3: 35; 4: 25; 5: 7; 6: 2; 7: 1; 
CD4_T_cell_signaling,  27, 14, 14,  626, 0, 7, 1583715, 45211.48, 0, 270.53, 0: 4; 1: 176; 2: 91; 3: 43; 4: 24; 5: 6; 6: 1; 7: 1; 
CD4_T_cell_signaling,  88, 12, 16,  627, 0, 7, 1539735, 45211.48, 1, 270.53, 0: 4; 1: 172; 2: 103; 3: 37; 4: 19; 5: 5; 6: 5; 7: 1; 
CD4_T_cell_signaling, 892,  8, 26,  630, 0, 7, 1664181, 45211.48, 1, 270.53, 0: 4; 1: 176; 2: 93; 3: 42; 4: 19; 5: 7; 6: 4; 7: 1; 
CD4_T_cell_signaling, 427,  8, 26,  630, 0, 7, 1664246, 45211.48, 1, 270.53, 0: 4; 1: 172; 2: 100; 3: 39; 4: 19; 5: 8; 6: 3; 7: 1; 
CD4_T_cell_signaling,  30,  8, 26,  634, 0, 7, 1664307, 45211.48, 1, 270.53, 0: 4; 1: 174; 2: 91; 3: 42; 4: 27; 5: 5; 6: 2; 7: 1; 
CD4_T_cell_signaling, 767, 10, 20,  634, 0, 7, 1606428, 45211.48, 1, 270.53, 0: 4; 1: 180; 2: 86; 3: 41; 4: 20; 5: 12; 6: 2; 7: 1; 
CD4_T_cell_signaling, 426, 11, 18,  634, 0, 7, 1595487, 45211.48, 1, 270.53, 0: 4; 1: 185; 2: 84; 3: 36; 4: 21; 5: 8; 6: 7; 7: 1; 
CD4_T_cell_signaling, 191, 16, 12,  635, 0, 7, 1539677, 45211.48, 1, 270.53, 0: 4; 1: 186; 2: 80; 3: 38; 4: 23; 5: 9; 6: 4; 7: 2; 
CD4_T_cell_signaling, 803, 16, 12,  637, 0, 7, 1539735, 45211.48, 1, 270.53, 0: 4; 1: 180; 2: 88; 3: 34; 4: 27; 5: 8; 6: 4; 7: 1; 
CD4_T_cell_signaling,  14,  8, 26,  637, 0, 7, 1664329, 45211.48, 1, 270.53, 0: 4; 1: 174; 2: 95; 3: 37; 4: 22; 5: 11; 6: 2; 7: 1; 
CD4_T_cell_signaling, 132,  8, 26,  637, 0, 7, 1664069, 45211.48, 1, 270.53, 0: 4; 1: 171; 2: 95; 3: 46; 4: 19; 5: 6; 6: 3; 7: 2; 
CD4_T_cell_signaling, 900,  8, 26,  638, 0, 7, 1663949, 45211.48, 1, 270.53, 0: 4; 1: 173; 2: 92; 3: 43; 4: 22; 5: 9; 6: 2; 7: 1; 
CD4_T_cell_signaling, 740,  8, 24,  641, 0, 7, 1539720, 45211.48, 1, 270.53, 0: 4; 1: 178; 2: 88; 3: 39; 4: 21; 5: 11; 6: 4; 7: 1; 
CD4_T_cell_signaling, 924, 11, 18,  641, 0, 7, 1595563, 45211.48, 1, 270.53, 0: 4; 1: 177; 2: 91; 3: 36; 4: 23; 5: 9; 6: 5; 7: 1; 
CD4_T_cell_signaling, 798,  8, 26,  641, 0, 7, 1664314, 45211.48, 1, 270.53, 0: 4; 1: 165; 2: 101; 3: 44; 4: 22; 5: 7; 6: 2; 7: 1; 
CD4_T_cell_signaling, 213, 10, 20,  642, 0, 7, 1606422, 45211.48, 1, 270.53, 0: 4; 1: 166; 2: 105; 3: 37; 4: 21; 5: 9; 6: 2; 7: 2; 
CD4_T_cell_signaling, 983, 10, 20,  642, 0, 7, 1606503, 45211.48, 0, 270.53, 0: 4; 1: 171; 2: 91; 3: 45; 4: 25; 5: 7; 6: 2; 7: 1; 
CD4_T_cell_signaling, 926,  8, 24,  643, 0, 7, 1539739, 45211.48, 1, 270.53, 0: 4; 1: 170; 2: 99; 3: 39; 4: 18; 5: 11; 6: 4; 7: 1; 
CD4_T_cell_signaling, 787,  8, 26,  643, 0, 7, 1664308, 45211.48, 1, 270.53, 0: 4; 1: 172; 2: 94; 3: 40; 4: 22; 5: 10; 6: 3; 7: 1; 
CD4_T_cell_signaling, 863,  9, 22,  644, 0, 7, 1595574, 45211.48, 1, 270.53, 0: 4; 1: 172; 2: 87; 3: 50; 4: 23; 5: 6; 6: 2; 7: 2; 
CD4_T_cell_signaling, 268, 14, 14,  646, 0, 7, 1583735, 45211.48, 1, 270.53, 0: 4; 1: 170; 2: 96; 3: 37; 4: 25; 5: 12; 6: 1; 7: 1; 
CD4_T_cell_signaling, 376,  9, 22,  646, 0, 7, 1595541, 45211.48, 0, 270.53, 0: 4; 1: 170; 2: 86; 3: 54; 4: 24; 5: 3; 6: 4; 7: 1; 
CD4_T_cell_signaling, 240,  8, 26,  647, 0, 7, 1664465, 45211.48, 1, 270.53, 0: 4; 1: 183; 2: 83; 3: 34; 4: 24; 5: 9; 6: 8; 7: 1; 
CD4_T_cell_signaling, 279, 11, 18,  648, 0, 7, 1595511, 45211.48, 1, 270.53, 0: 4; 1: 176; 2: 89; 3: 37; 4: 24; 5: 10; 6: 5; 7: 1; 
CD4_T_cell_signaling, 887, 16, 12,  648, 0, 7, 1539734, 45211.48, 0, 270.53, 0: 4; 1: 173; 2: 85; 3: 47; 4: 24; 5: 11; 6: 1; 7: 1; 
CD4_T_cell_signaling, 311, 14, 14,  649, 0, 7, 1583765, 45211.48, 0, 270.53, 0: 4; 1: 172; 2: 90; 3: 41; 4: 28; 5: 5; 6: 5; 7: 1; 
CD4_T_cell_signaling, 722, 12, 16,  649, 0, 7, 1539762, 45211.48, 1, 270.53, 0: 4; 1: 171; 2: 90; 3: 48; 4: 20; 5: 7; 6: 3; 7: 3; 
CD4_T_cell_signaling, 909,  8, 26,  651, 0, 7, 1664497, 45211.48, 1, 270.53, 0: 4; 1: 176; 2: 86; 3: 43; 4: 19; 5: 12; 6: 4; 7: 2; 
CD4_T_cell_signaling, 374, 12, 16,  652, 0, 7, 1539684, 45211.48, 0, 270.53, 0: 4; 1: 174; 2: 90; 3: 43; 4: 17; 5: 9; 6: 7; 7: 2; 
CD4_T_cell_signaling, 437, 10, 20,  653, 0, 7, 1606419, 45211.48, 1, 270.53, 0: 4; 1: 174; 2: 95; 3: 34; 4: 18; 5: 14; 6: 4; 7: 3; 
CD4_T_cell_signaling, 393, 12, 16,  653, 0, 7, 1539717, 45211.48, 1, 270.53, 0: 4; 1: 171; 2: 92; 3: 41; 4: 21; 5: 13; 6: 2; 7: 2; 
CD4_T_cell_signaling, 252, 10, 20,  653, 0, 7, 1606679, 45211.48, 0, 270.53, 0: 4; 1: 173; 2: 91; 3: 36; 4: 28; 5: 8; 6: 4; 7: 2; 
CD4_T_cell_signaling,  25,  8, 26,  654, 0, 7, 1664260, 45211.48, 1, 270.53, 0: 4; 1: 178; 2: 89; 3: 33; 4: 22; 5: 13; 6: 3; 7: 4; 
CD4_T_cell_signaling, 990, 14, 14,  654, 0, 7, 1583838, 45211.48, 1, 270.53, 0: 4; 1: 180; 2: 86; 3: 34; 4: 22; 5: 12; 6: 4; 7: 4; 
CD4_T_cell_signaling, 527, 11, 18,  654, 0, 7, 1595306, 45211.48, 1, 270.53, 0: 4; 1: 181; 2: 80; 3: 43; 4: 18; 5: 10; 6: 8; 7: 2; 
CD4_T_cell_signaling, 467,  8, 24,  655, 0, 7, 1539716, 45211.48, 1, 270.53, 0: 4; 1: 169; 2: 95; 3: 40; 4: 22; 5: 11; 6: 2; 7: 3; 
